Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4.4e-05,16.678766,[31  9] ; [ 9 22],[22.53521127 17.46478873] ; [17.46478873 13.53521127],1
u3,1,0.659658,0.193939,[2 8] ; [ 6 16],[2.5 7.5] ; [ 5.5 16.5],0
a6,1,0.689769,0.159335,[14 27] ; [12 19],[14.80555556 26.19444444] ; [11.19444444 19.80555556],0
n1,1,0.699454,0.149041,[ 7 10] ; [ 7 13],[ 6.43243243 10.56756757] ; [ 7.56756757 12.43243243],0
s6,1,0.702544,0.145839,[15 26] ; [10 21],[14.23611111 26.76388889] ; [10.76388889 20.23611111],0
u2,1,0.725359,0.123416,[3 7] ; [ 8 14],[3.4375 6.5625] ; [ 7.5625 14.4375],0
b5,1,0.811874,0.056648,[20 21] ; [16 15],[20.5 20.5] ; [15.5 15.5],0
r2,1,0.815379,0.054519,[21 18] ; [17 13],[21.47826087 17.52173913] ; [16.52173913 13.47826087],0
p6,1,0.828979,0.046661,[ 7 32] ; [ 6 24],[ 7.34782609 31.65217391] ; [ 5.65217391 24.34782609],0
b1,1,0.85373,0.033989,[26 15] ; [19 12],[25.625 15.375] ; [19.375 11.625],0
p12,1,0.854543,0.033608,[ 1 39] ; [ 1 30],[ 1.12676056 38.87323944] ; [ 0.87323944 30.12676056],0
n4,1,0.866349,0.028324,[27 14] ; [21 10],[27.33333333 13.66666667] ; [20.66666667 10.33333333],0
s1,1,0.886257,0.020461,[ 3 38] ; [ 2 29],[ 2.84722222 38.15277778] ; [ 2.15277778 28.84722222],0
n2,1,0.900339,0.015683,[9 8] ; [11  9],[9.18918919 7.81081081] ; [10.81081081  9.18918919],0
b2,1,0.90426,0.014468,[11 19] ; [ 7 13],[10.8 19.2] ; [ 7.2 12.8],0
b3,1,0.90426,0.014468,[11 19] ; [ 7 13],[10.8 19.2] ; [ 7.2 12.8],0
v2,1,0.945117,0.004739,[12 27] ; [ 9 21],[11.86956522 27.13043478] ; [ 9.13043478 20.86956522],0
p11,1,0.973619,0.001094,[21 20] ; [16 15],[21.06944444 19.93055556] ; [15.93055556 15.06944444],0
