Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000152,14.348502,[ 3 89] ; [11 35],[ 9.33333333 82.66666667] ; [ 4.66666667 41.33333333],1
r2,1,0.201913,1.628485,[76 22] ; [44  7],[78.9261745 19.0738255] ; [41.0738255  9.9261745],0
p5,1,0.226033,1.465653,[ 2 96] ; [ 3 49],[ 3.26666667 94.73333333] ; [ 1.73333333 50.26666667],0
b1,1,0.232704,1.424254,[52 47] ; [22 30],[48.51655629 50.48344371] ; [25.48344371 26.51655629],0
p6,1,0.232898,1.423077,[21 75] ; [16 36],[24. 72.] ; [13. 39.],0
p4,1,0.233682,1.41831,[34 65] ; [23 29],[37.37086093 61.62913907] ; [19.62913907 32.37086093],0
s1,1,0.249946,1.323608,[ 9 90] ; [ 2 49],[ 7.26 91.74] ; [ 3.74 47.26],0
u2,1,0.289442,1.122214,[22 28] ; [ 5 12],[20.14925373 29.85074627] ; [ 6.85074627 10.14925373],0
s2,1,0.300659,1.071267,[26 72] ; [18 34],[28.74666667 69.25333333] ; [15.25333333 36.74666667],0
a4,1,0.321964,0.980953,[36 62] ; [23 28],[38.80536913 59.19463087] ; [20.19463087 30.80536913],0
d1,1,0.346155,0.887503,[46 53] ; [20 32],[43.27152318 55.72847682] ; [22.72847682 29.27152318],0
v1,1,0.364321,0.822944,[26 73] ; [17 34],[28.38 70.62] ; [14.62 36.38],0
d2,1,0.369188,0.806396,[49 49] ; [22 30],[46.38666667 51.61333333] ; [24.61333333 27.38666667],0
u3,1,0.397529,0.715789,[24 27] ; [ 6 11],[22.5 28.5] ; [7.5 9.5],0
a5,1,0.40536,0.692368,[52 47] ; [31 21],[54.41721854 44.58278146] ; [28.58278146 23.41721854],0
n6,1,0.438452,0.600331,[57 41] ; [33 18],[59.19463087 38.80536913] ; [30.80536913 20.19463087],0
n5,1,0.462936,0.538787,[52 47] ; [30 21],[54.12 44.88] ; [27.88 23.12],0
d3,1,0.46951,0.52313,[51 48] ; [30 22],[53.10596026 45.89403974] ; [27.89403974 24.10596026],0
s4,1,0.471862,0.517612,[18 80] ; [ 7 44],[16.44295302 81.55704698] ; [ 8.55704698 42.44295302],0
v2,1,0.487146,0.482823,[30 67] ; [19 33],[31.89932886 65.10067114] ; [17.10067114 34.89932886],0
p8,1,0.49158,0.473065,[25 73] ; [16 36],[26.78666667 71.21333333] ; [14.21333333 37.78666667],0
p12,1,0.51366,0.426604,[ 2 96] ; [ 2 50],[ 2.61333333 95.38666667] ; [ 1.38666667 50.61333333],0
d4,1,0.54916,0.358825,[67 31] ; [38 14],[68.6 29.4] ; [36.4 15.6],0
p1,1,0.592451,0.286533,[ 8 90] ; [ 3 49],[ 7.18666667 90.81333333] ; [ 3.81333333 48.18666667],0
a1,1,0.60352,0.269719,[ 8 91] ; [ 3 49],[ 7.21192053 91.78807947] ; [ 3.78807947 48.21192053],0
r1,1,0.648729,0.207506,[61 38] ; [34 18],[62.28476821 36.71523179] ; [32.71523179 19.28476821],0
a6,1,0.670272,0.181284,[55 44] ; [27 25],[53.7615894 45.2384106] ; [28.2384106 23.7615894],0
d5,1,0.69369,0.15512,[66 33] ; [33 19],[64.90728477 34.09271523] ; [34.09271523 17.90728477],0
b3,1,0.70153,0.146885,[21 39] ; [14 22],[21.875 38.125] ; [13.125 22.875],0
b2,1,0.70153,0.146885,[21 39] ; [14 22],[21.875 38.125] ; [13.125 22.875],0
a2,1,0.730592,0.118569,[15 84] ; [ 9 43],[15.73509934 83.26490066] ; [ 8.26490066 43.73509934],0
b4,1,0.749264,0.10215,[56 43] ; [28 24],[55.07284768 43.92715232] ; [28.92715232 23.07284768],0
u1,1,0.77915,0.078639,[13 86] ; [ 6 46],[12.45695364 86.54304636] ; [ 6.54304636 45.45695364],0
a7,1,0.809155,0.05833,[57 42] ; [31 21],[57.69536424 41.30463576] ; [30.30463576 21.69536424],0
n4,1,0.972253,0.00121,[56 43] ; [29 22],[56.1 42.9] ; [28.9 22.1],0
p7,1,0.989013,0.00019,[42 57] ; [22 30],[41.9602649 57.0397351] ; [22.0397351 29.9602649],0
