Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.000662,[24 93] ; [96 95],[45.58441558 71.41558442] ; [ 74.41558442 116.58441558],1
p11,1,0.092237,2.834887,[76 41] ; [142  50],[82.54368932 34.45631068] ; [135.45631068  56.54368932],0
v2,1,0.098991,2.721721,[40 71] ; [83 98],[46.75684932 64.24315068] ; [ 76.24315068 104.75684932],0
d2,1,0.099032,2.721067,[22 95] ; [ 23 169],[17.03883495 99.96116505] ; [ 27.96116505 164.03883495],0
p4,1,0.146023,2.113317,[46 70] ; [92 99],[52.14332248 63.85667752] ; [ 85.85667752 105.14332248],0
s8,1,0.155198,2.020406,[36 81] ; [ 45 147],[30.66990291 86.33009709] ; [ 50.33009709 141.66990291],0
u2,1,0.162901,1.94709,[23 31] ; [46 38],[27. 27.] ; [42. 42.],0
p7,1,0.191149,1.708737,[57 58] ; [106  79],[62.48333333 52.51666667] ; [100.51666667  84.48333333],0
u1,1,0.193283,1.692415,[  1 116] ; [  6 186],[  2.65048544 114.34951456] ; [  4.34951456 187.65048544],0
a5,1,0.209836,1.572559,[56 61] ; [106  86],[61.33980583 55.66019417] ; [100.66019417  91.33980583],0
v1,1,0.245055,1.351276,[46 70] ; [86 99],[50.87043189 65.12956811] ; [ 81.12956811 103.87043189],0
n3,1,0.246722,1.34177,[28 14] ; [32  9],[30.36144578 11.63855422] ; [29.63855422 11.36144578],0
a2,1,0.284058,1.14757,[  5 112] ; [ 14 178],[  7.19417476 109.80582524] ; [ 11.80582524 180.19417476],0
b1,1,0.296587,1.089479,[54 63] ; [ 77 115],[49.60194175 67.39805825] ; [ 81.39805825 110.60194175],0
b4,1,0.319159,0.992389,[59 58] ; [108  84],[63.23300971 53.76699029] ; [103.76699029  88.23300971],0
s7,1,0.372816,0.794256,[39 73] ; [ 54 127],[35.54948805 76.45051195] ; [ 57.45051195 123.54948805],0
s4,1,0.510859,0.432306,[ 13 104] ; [ 26 164],[ 14.86319218 102.13680782] ; [ 24.13680782 165.86319218],0
s1,1,0.537612,0.379984,[  6 110] ; [  7 182],[  4.9442623 111.0557377] ; [  8.0557377 180.9442623],0
p5,1,0.579743,0.306651,[  5 111] ; [ 11 180],[  6.04560261 109.95439739] ; [  9.95439739 181.04560261],0
n2,1,0.592939,0.285778,[31 13] ; [31 10],[32.09411765 11.90588235] ; [29.90588235 11.09411765],0
v3,1,0.621302,0.244042,[35 79] ; [ 53 136],[33.10891089 80.89108911] ; [ 54.89108911 134.10891089],0
s3,1,0.6458,0.211237,[53 62] ; [ 82 107],[51.06907895 63.93092105] ; [ 83.93092105 105.06907895],0
n5,1,0.654713,0.20001,[82 34] ; [129  60],[80.24918033 35.75081967] ; [130.75081967  58.24918033],0
p1,1,0.66289,0.190031,[  7 109] ; [ 14 177],[  7.93485342 108.06514658] ; [ 13.06514658 177.93485342],0
n4,1,0.668339,0.183551,[75 42] ; [127  64],[76.73376623 40.26623377] ; [125.26623377  65.73376623],0
n1,1,0.689853,0.159245,[16 27] ; [17 24],[16.89285714 26.10714286] ; [16.10714286 24.89285714],0
n6,1,0.69323,0.155611,[82 34] ; [139  52],[83.50488599 32.49511401] ; [137.49511401  53.50488599],0
a8,1,0.706709,0.141586,[13 96] ; [ 19 162],[12.02758621 96.97241379] ; [ 19.97241379 161.02758621],0
a4,1,0.737753,0.112111,[26 90] ; [ 46 145],[27.20521173 88.79478827] ; [ 44.79478827 146.20521173],0
a3,1,0.808593,0.058681,[63 54] ; [105  85],[64.02605863 52.97394137] ; [103.97394137  86.02605863],0
s2,1,0.886729,0.020291,[36 81] ; [ 57 133],[35.44299674 81.55700326] ; [ 57.55700326 132.44299674],0
p12,1,0.896332,0.016977,[  4 112] ; [  6 183],[  3.80327869 112.19672131] ; [  6.19672131 182.80327869],0
