Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6.6e-05,15.912433,[53  7] ; [15 15],[45.33333333 14.66666667] ; [22.66666667  7.33333333],1
u3,1,0.240848,1.375624,[12 10] ; [9 3],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
a2,1,0.263552,1.25,[14 46] ; [ 4 26],[12. 48.] ; [ 6. 24.],0
s5,1,0.298243,1.082034,[19 38] ; [ 6 21],[16.96428571 40.03571429] ; [ 8.03571429 18.96428571],0
a6,1,0.353391,0.861244,[40 20] ; [17 13],[38. 22.] ; [19. 11.],0
p3,1,0.366799,0.81448,[36 24] ; [15 15],[34. 26.] ; [17. 13.],0
v4,1,0.370028,0.803571,[55  5] ; [29  1],[56.  4.] ; [28.  2.],0
s6,1,0.384375,0.756662,[40 19] ; [23  7],[41.76404494 17.23595506] ; [21.23595506  8.76404494],0
n1,1,0.402388,0.701178,[4 5] ; [2 6],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
r2,1,0.545744,0.364997,[56  4] ; [26  3],[55.28089888  4.71910112] ; [26.71910112  2.28089888],0
d4,1,0.57615,0.3125,[49 11] ; [23  7],[48. 12.] ; [24.  6.],0
v2,1,0.584365,0.299231,[30 25] ; [14 15],[28.80952381 26.19047619] ; [15.19047619 13.80952381],0
s3,1,0.635033,0.225297,[34 24] ; [16 14],[32.95454545 25.04545455] ; [17.04545455 12.95454545],0
d3,1,0.642636,0.215311,[37 23] ; [20 10],[38. 22.] ; [19. 11.],0
b4,1,0.642636,0.215311,[39 21] ; [18 12],[38. 22.] ; [19. 11.],0
a8,1,0.64542,0.211724,[ 8 49] ; [ 5 23],[ 8.71764706 48.28235294] ; [ 4.28235294 23.71764706],0
u1,1,0.649023,0.207135,[ 8 52] ; [ 3 27],[ 7.33333333 52.66666667] ; [ 3.66666667 26.33333333],0
b1,1,0.651815,0.20362,[27 33] ; [12 18],[26. 34.] ; [13. 17.],0
v3,1,0.66479,0.187757,[22 34] ; [10 19],[21.08235294 34.91764706] ; [10.91764706 18.08235294],0
p2,1,0.671528,0.17982,[52  8] ; [25  5],[51.33333333  8.66666667] ; [25.66666667  4.33333333],0
p5,1,0.71759,0.130814,[ 3 57] ; [ 1 29],[ 2.66666667 57.33333333] ; [ 1.33333333 28.66666667],0
r1,1,0.723108,0.125534,[49 10] ; [24  6],[48.39325843 10.60674157] ; [24.60674157  5.39325843],0
r4,1,0.744882,0.105882,[57  3] ; [28  2],[56.66666667  3.33333333] ; [28.33333333  1.66666667],0
a3,1,0.758486,0.094538,[38 22] ; [18 12],[37.33333333 22.66666667] ; [18.66666667 11.33333333],0
p12,1,0.764556,0.089703,[ 5 54] ; [ 2 28],[ 4.64044944 54.35955056] ; [ 2.35955056 27.64044944],0
p9,1,0.837062,0.042293,[51  9] ; [25  5],[50.66666667  9.33333333] ; [25.33333333  4.66666667],0
n3,1,0.857596,0.032197,[6 3] ; [5 3],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
b5,1,0.879594,0.022947,[35 25] ; [18 12],[35.33333333 24.66666667] ; [17.66666667 12.33333333],0
a4,1,0.880048,0.022773,[25 35] ; [13 17],[25.33333333 34.66666667] ; [12.66666667 17.33333333],0
a7,1,0.963773,0.002063,[43 16] ; [22  8],[43.08988764 15.91011236] ; [21.91011236  8.08988764],0
s2,1,0.991825,0.000105,[27 31] ; [14 16],[27.02272727 30.97727273] ; [13.97727273 16.02272727],0
p11,1,1.0,0.0,[52  8] ; [26  4],[52.  8.] ; [26.  4.],0
