Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.303704,[31  1] ; [34 38],[20. 12.] ; [45. 27.],1
d1,1,0.621598,0.243628,[19 13] ; [39 33],[17.84615385 14.15384615] ; [40.15384615 31.84615385],0
a4,1,0.622712,0.242075,[17 15] ; [34 37],[15.84466019 16.15533981] ; [35.15533981 35.84466019],0
b3,1,0.65885,0.194923,[ 9 13] ; [17 31],[ 8.17142857 13.82857143] ; [17.82857143 30.17142857],0
b2,1,0.65885,0.194923,[ 9 13] ; [17 31],[ 8.17142857 13.82857143] ; [17.82857143 30.17142857],0
d2,1,0.729198,0.119849,[16 15] ; [34 37],[15.19607843 15.80392157] ; [34.80392157 36.19607843],0
n5,1,0.767139,0.087686,[23  9] ; [53 18],[23.61165049  8.38834951] ; [52.38834951 18.61165049],0
a7,1,0.807324,0.059477,[21 11] ; [49 23],[21.53846154 10.46153846] ; [48.46153846 23.53846154],0
b1,1,0.816881,0.05362,[13 19] ; [31 41],[13.53846154 18.46153846] ; [30.46153846 41.53846154],0
a6,1,0.840854,0.040321,[19 12] ; [45 26],[19.45098039 11.54901961] ; [44.54901961 26.45098039],0
a1,1,0.861565,0.030409,[ 3 29] ; [ 6 66],[ 2.76923077 29.23076923] ; [ 6.23076923 65.76923077],0
s1,1,0.901663,0.015267,[ 2 30] ; [ 4 67],[ 1.86407767 30.13592233] ; [ 4.13592233 66.86407767],0
p11,1,0.913821,0.011712,[23  9] ; [51 21],[22.76923077  9.23076923] ; [51.23076923 20.76923077],0
n4,1,0.943541,0.005015,[22 10] ; [50 22],[22.15384615  9.84615385] ; [49.84615385 22.15384615],0
