Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.356152,[ 46 251] ; [18 19],[ 56.91017964 240.08982036] ; [ 7.08982036 29.91017964],1
d5,1,0.741632,0.108697,[232  68] ; [30 10],[231.17647059  68.82352941] ; [30.82352941  9.17647059],0
a4,1,0.78854,0.071935,[125 171] ; [16 24],[124.21428571 171.78571429] ; [16.78571429 23.21428571],0
n1,1,0.804447,0.061304,[33 39] ; [5 5],[33.36585366 38.63414634] ; [4.63414634 5.36585366],0
u2,1,0.842025,0.039722,[50 56] ; [7 7],[50.35 55.65] ; [6.65 7.35],0
s3,1,0.853078,0.034296,[ 71 227] ; [ 9 31],[ 70.53254438 227.46745562] ; [ 9.46745562 30.53254438],0
a6,1,0.930733,0.007556,[212  88] ; [28 12],[211.76470588  88.23529412] ; [28.23529412 11.76470588],0
n2,1,0.939411,0.005777,[53 21] ; [8 3],[53.10588235 20.89411765] ; [7.89411765 3.10588235],0
v4,1,0.951905,0.003638,[270  29] ; [36  4],[269.89380531  29.10619469] ; [36.10619469  3.89380531],0
a3,1,0.964969,0.001929,[192 105] ; [26 14],[192.12462908 104.87537092] ; [25.87537092 14.12462908],0
r1,1,0.966073,0.001809,[217  81] ; [29 11],[216.88757396  81.11242604] ; [29.11242604 10.88757396],0
d1,1,1.0,0.0,[150 150] ; [20 20],[150. 150.] ; [20. 20.],0
