Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,65.972822,[214  34] ; [70 75],[179.21628499  68.78371501] ; [104.78371501  40.21628499],1
n1,1,0.027034,4.888613,[30 23] ; [11 23],[24.97701149 28.02298851] ; [16.02298851 17.97701149],0
v2,1,0.040427,4.199882,[151  95] ; [72 70],[141.38659794 104.61340206] ; [81.61340206 60.38659794],0
p7,1,0.046779,3.953316,[176  74] ; [86 56],[167.09183673  82.90816327] ; [94.90816327 47.09183673],0
b3,1,0.061712,3.490763,[ 74 105] ; [22 54],[ 67.38823529 111.61176471] ; [28.61176471 47.38823529],0
b2,1,0.061712,3.490763,[ 74 105] ; [22 54],[ 67.38823529 111.61176471] ; [28.61176471 47.38823529],0
u3,1,0.064299,3.422872,[39 13] ; [27 20],[34.66666667 17.33333333] ; [31.33333333 15.66666667],0
p12,1,0.079137,3.08254,[ 36 222] ; [ 12 136],[ 30.50246305 227.49753695] ; [ 17.49753695 130.50246305],0
p11,1,0.082632,3.012359,[211  49] ; [110  39],[204.05867971  55.94132029] ; [116.94132029  32.05867971],0
s5,1,0.083832,2.989002,[128 116] ; [62 81],[119.79328165 124.20671835] ; [70.20671835 72.79328165],0
p2,1,0.171291,1.871608,[223  36] ; [119  28],[218.17241379  40.82758621] ; [123.82758621  23.17241379],0
a2,1,0.184586,1.760312,[ 75 185] ; [ 34 115],[ 69.29095355 190.70904645] ; [ 39.70904645 109.29095355],0
n4,1,0.196163,1.670713,[208  50] ; [112  37],[202.85012285  55.14987715] ; [117.14987715  31.85012285],0
p1,1,0.222957,1.485234,[ 29 229] ; [ 11 136],[ 25.48148148 232.51851852] ; [ 14.51851852 132.48148148],0
b4,1,0.238743,1.387998,[145 115] ; [92 57],[150.6601467 109.3398533] ; [86.3398533 62.6601467],0
b1,1,0.245355,1.349559,[113 147] ; [56 93],[107.43276284 152.56723716] ; [61.56723716 87.43276284],0
a6,1,0.246217,1.34464,[174  85] ; [91 57],[168.63636364  90.36363636] ; [96.36363636 51.63636364],0
s1,1,0.260697,1.265053,[ 11 247] ; [ 10 136],[ 13.41089109 244.58910891] ; [  7.58910891 138.41089109],0
u1,1,0.274913,1.192065,[ 59 201] ; [ 27 122],[ 54.66992665 205.33007335] ; [ 31.33007335 117.66992665],0
a4,1,0.345353,0.890457,[126 134] ; [65 84],[121.41809291 138.58190709] ; [69.58190709 79.41809291],0
n2,1,0.384507,0.756242,[42 12] ; [29  5],[43.56818182 10.43181818] ; [27.43181818  6.56818182],0
a8,1,0.433033,0.614674,[ 42 200] ; [ 20 120],[ 39.27748691 202.72251309] ; [ 22.72251309 117.27748691],0
s4,1,0.441303,0.592891,[ 62 197] ; [ 40 106],[ 65.22962963 193.77037037] ; [ 36.77037037 109.22962963],0
r2,1,0.468952,0.524445,[249   7] ; [142   6],[247.76237624   8.23762376] ; [143.23762376   4.76237624],0
a1,1,0.538528,0.378274,[ 16 244] ; [  7 142],[ 14.62102689 245.37897311] ; [  8.37897311 140.62102689],0
r1,1,0.649333,0.206742,[218  41] ; [122  26],[216.36363636  42.63636364] ; [123.63636364  24.36363636],0
b5,1,0.676987,0.173538,[159 101] ; [88 61],[157.01711491 102.98288509] ; [89.98288509 59.01711491],0
r3,1,0.739737,0.110358,[251   9] ; [140   6],[250.39408867   9.60591133] ; [140.60591133   5.39408867],0
n3,1,0.743043,0.10747,[40 14] ; [27  8],[40.65168539 13.34831461] ; [26.34831461  8.65168539],0
u2,1,0.747582,0.103574,[32 19] ; [28 19],[31.2244898 19.7755102] ; [28.7755102 18.2244898],0
d3,1,0.840596,0.040454,[182  78] ; [105  43],[182.89215686  77.10784314] ; [104.10784314  43.89215686],0
d4,1,0.935459,0.006557,[223  36] ; [127  21],[222.72727273  36.27272727] ; [127.27272727  20.72727273],0
