Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000374,12.65625,[19 30] ; [41 15],[28. 21.] ; [32. 24.],1
d5,1,0.406282,0.689655,[39 10] ; [48  8],[40.6  8.4] ; [46.4  9.6],0
d3,1,0.466174,0.531031,[29 20] ; [37 19],[30.8 18.2] ; [35.2 20.8],0
a7,1,0.500184,0.454545,[32 17] ; [40 16],[33.6 15.4] ; [38.4 17.6],0
n3,1,0.507256,0.439724,[13  6] ; [8 2],[13.75862069  5.24137931] ; [7.24137931 2.75862069],0
p10,1,0.521082,0.411751,[34 15] ; [42 14],[35.46666667 13.53333333] ; [40.53333333 15.46666667],0
s6,1,0.54,0.37554,[32 17] ; [39 16],[33.45192308 15.54807692] ; [37.54807692 17.45192308],0
u1,1,0.564704,0.331625,[10 39] ; [ 9 47],[ 8.86666667 40.13333333] ; [10.13333333 45.86666667],0
n4,1,0.564704,0.331625,[39 10] ; [47  9],[40.13333333  8.86666667] ; [45.86666667 10.13333333],0
d1,1,0.57615,0.3125,[28 21] ; [35 21],[29.4 19.6] ; [33.6 22.4],0
r3,1,0.57615,0.3125,[44  5] ; [52  4],[44.8  4.2] ; [51.2  4.8],0
a4,1,0.601508,0.272727,[22 27] ; [28 28],[23.33333333 25.66666667] ; [26.66666667 29.33333333],0
a6,1,0.606124,0.265858,[30 19] ; [37 19],[31.26666667 17.73333333] ; [35.73333333 20.26666667],0
u4,1,0.638592,0.220588,[ 1 48] ; [ 2 54],[ 1.4 47.6] ; [ 1.6 54.4],0
n5,1,0.694486,0.154272,[36 13] ; [43 13],[36.86666667 12.13333333] ; [42.13333333 13.86666667],0
d4,1,0.73981,0.110294,[39 10] ; [46 10],[39.66666667  9.33333333] ; [45.33333333 10.66666667],0
s5,1,0.780436,0.077702,[15 31] ; [18 33],[15.64948454 30.35051546] ; [17.35051546 33.64948454],0
p8,1,0.782055,0.076531,[17 32] ; [18 38],[16.33333333 32.66666667] ; [18.66666667 37.33333333],0
s7,1,0.793842,0.068291,[19 26] ; [22 27],[19.62765957 25.37234043] ; [21.37234043 27.62765957],0
r1,1,0.804243,0.061435,[37 11] ; [42 14],[36.46153846 11.53846154] ; [42.53846154 13.46153846],0
d2,1,0.808397,0.058804,[26 22] ; [29 27],[25.38461538 22.61538462] ; [29.61538462 26.38461538],0
s4,1,0.832477,0.044743,[ 8 41] ; [ 8 46],[ 7.61165049 41.38834951] ; [ 8.38834951 45.61165049],0
a2,1,0.868115,0.027574,[ 9 40] ; [11 45],[ 9.33333333 39.66666667] ; [10.66666667 45.33333333],0
n6,1,0.868115,0.027574,[40  9] ; [45 11],[39.66666667  9.33333333] ; [45.33333333 10.66666667],0
p4,1,0.878325,0.023438,[37 12] ; [43 13],[37.33333333 11.66666667] ; [42.66666667 13.33333333],0
p6,1,0.919021,0.010336,[12 37] ; [13 42],[11.77884615 37.22115385] ; [13.22115385 41.77884615],0
s3,1,0.936188,0.00641,[28 21] ; [31 24],[27.79807692 21.20192308] ; [31.20192308 23.79807692],0
a3,1,1.0,0.0,[35 14] ; [40 16],[35. 14.] ; [40. 16.],0
