Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6.7e-05,15.88718,[121  28] ; [51 38],[107.68067227  41.31932773] ; [64.31932773 24.68067227],1
b4,1,0.335299,0.928323,[96 55] ; [51 38],[92.4875 58.5125] ; [54.5125 34.4875],0
d3,1,0.33853,0.915989,[113  37] ; [62 27],[109.83263598  40.16736402] ; [65.16736402 23.83263598],0
p2,1,0.369785,0.804388,[128  22] ; [72 17],[125.52301255  24.47698745] ; [74.47698745 14.52301255],0
p1,1,0.380495,0.769102,[ 21 129] ; [ 9 80],[ 18.82845188 131.17154812] ; [11.17154812 77.82845188],0
p12,1,0.392297,0.731809,[ 23 127] ; [10 78],[ 20.79831933 129.20168067] ; [12.20168067 75.79831933],0
r1,1,0.404686,0.694357,[131  18] ; [74 14],[128.88185654  20.11814346] ; [76.11814346 11.88185654],0
u4,1,0.424173,0.638725,[  4 147] ; [ 1 88],[  3.14583333 147.85416667] ; [ 1.85416667 87.14583333],0
a8,1,0.426475,0.632404,[ 19 120] ; [ 8 72],[ 17.1369863 121.8630137] ; [ 9.8630137 70.1369863],0
a7,1,0.434214,0.611527,[109  42] ; [60 29],[106.32916667  44.67083333] ; [62.67083333 26.32916667],0
r2,1,0.503231,0.448115,[147   3] ; [85  3],[146.21848739   3.78151261] ; [85.78151261  2.21848739],0
a6,1,0.586879,0.295246,[97 52] ; [61 28],[98.91596639 50.08403361] ; [59.08403361 29.91596639],0
a4,1,0.603387,0.269918,[90 61] ; [50 39],[88.08333333 62.91666667] ; [51.91666667 37.08333333],0
s6,1,0.614719,0.25336,[131  19] ; [77  9],[132.20338983  17.79661017] ; [75.79661017 10.20338983],0
u2,1,0.642767,0.215142,[9 8] ; [10 12],[8.28205128 8.71794872] ; [10.71794872 11.28205128],0
n6,1,0.661664,0.191508,[136  11] ; [80  8],[135.11489362  11.88510638] ; [80.88510638  7.11489362],0
s7,1,0.67119,0.180214,[99 47] ; [54 29],[97.54585153 48.45414847] ; [55.45414847 27.54585153],0
d2,1,0.710304,0.137974,[94 55] ; [54 35],[92.65546218 56.34453782] ; [55.34453782 33.65546218],0
b1,1,0.754616,0.097693,[58 93] ; [36 53],[59.14166667 91.85833333] ; [34.85833333 54.14166667],0
a1,1,0.869028,0.02719,[ 11 140] ; [ 7 82],[ 11.325 139.675] ; [ 6.675 82.325],0
n1,1,0.894949,0.017436,[13 14] ; [12 12],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
s1,1,0.989964,0.000158,[  5 142] ; [ 3 86],[  4.98305085 142.01694915] ; [ 3.01694915 85.98305085],0
