Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.185185,[145   5] ; [26 14],[135.  15.] ; [36.  4.],1
a8,1,0.136684,2.214898,[ 18 105] ; [ 2 35],[ 15.375 107.625] ; [ 4.625 32.375],0
n5,1,0.177014,1.822521,[115  34] ; [26 13],[111.75  37.25] ; [29.25  9.75],0
a1,1,0.199387,1.64686,[  7 143] ; [ 4 36],[  8.68421053 141.31578947] ; [ 2.31578947 37.68421053],0
d2,1,0.200915,1.635708,[71 79] ; [14 25],[67.46031746 82.53968254] ; [17.53968254 21.46031746],0
n6,1,0.217134,1.523211,[127  23] ; [36  3],[129.36507937  20.63492063] ; [33.63492063  5.36507937],0
p9,1,0.25179,1.313343,[129  19] ; [32  8],[126.74468085  21.25531915] ; [34.25531915  5.74468085],0
p11,1,0.260294,1.267194,[121  29] ; [29 11],[118.42105263  31.57894737] ; [31.57894737  8.42105263],0
a7,1,0.274898,1.192141,[114  36] ; [27 13],[111.31578947  38.68421053] ; [29.68421053 10.31578947],0
u2,1,0.280186,1.166187,[23 21] ; [5 9],[21.24137931 22.75862069] ; [6.75862069 7.24137931],0
d5,1,0.281868,1.158063,[127  23] ; [31  9],[124.73684211  25.26315789] ; [33.26315789  6.73684211],0
n3,1,0.28637,1.136608,[19  4] ; [8 4],[17.74285714  5.25714286] ; [9.25714286 2.74285714],0
a3,1,0.292744,1.106957,[106  43] ; [25 15],[103.27513228  45.72486772] ; [27.72486772 12.27513228],0
p8,1,0.320982,0.984939,[97 50] ; [23 17],[94.3315508 52.6684492] ; [25.6684492 14.3315508],0
p2,1,0.348479,0.878989,[129  21] ; [32  8],[127.10526316  22.89473684] ; [33.89473684  6.10526316],0
a4,1,0.348816,0.877758,[72 77] ; [16 24],[69.37566138 79.62433862] ; [18.62433862 21.37566138],0
u3,1,0.361697,0.831991,[25 19] ; [6 8],[23.51724138 20.48275862] ; [7.48275862 6.51724138],0
b3,1,0.47714,0.505392,[38 54] ; [ 8 16],[36.48275862 55.51724138] ; [ 9.51724138 14.48275862],0
b2,1,0.47714,0.505392,[38 54] ; [ 8 16],[36.48275862 55.51724138] ; [ 9.51724138 14.48275862],0
s8,1,0.483473,0.491018,[49 98] ; [11 29],[47.1657754 99.8342246] ; [12.8342246 27.1657754],0
p6,1,0.509886,0.4343,[69 78] ; [16 23],[67.17741935 79.82258065] ; [17.82258065 21.17741935],0
s5,1,0.551684,0.354309,[ 46 101] ; [10 28],[ 44.4972973 102.5027027] ; [11.5027027 26.4972973],0
n1,1,0.652391,0.202899,[ 6 17] ; [4 8],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
b1,1,0.660823,0.192526,[62 88] ; [15 25],[60.78947368 89.21052632] ; [16.21052632 23.78947368],0
s6,1,0.664498,0.188105,[75 71] ; [19 21],[73.78494624 72.21505376] ; [20.21505376 19.78494624],0
p4,1,0.687033,0.162316,[117  33] ; [30 10],[116.05263158  33.94736842] ; [30.94736842  9.05263158],0
p12,1,0.693491,0.155332,[ 10 139] ; [ 2 38],[  9.46031746 139.53968254] ; [ 2.53968254 37.46031746],0
d4,1,0.727965,0.120988,[120  30] ; [31  9],[119.21052632  30.78947368] ; [31.78947368  8.21052632],0
b5,1,0.761498,0.092121,[86 64] ; [24 16],[86.84210526 63.15789474] ; [23.15789474 16.84210526],0
s7,1,0.814936,0.054786,[51 86] ; [13 24],[50.3908046 86.6091954] ; [13.6091954 23.3908046],0
p5,1,0.877523,0.02375,[ 24 126] ; [ 6 34],[ 23.68421053 126.31578947] ; [ 6.31578947 33.68421053],0
n2,1,0.944322,0.004877,[17  6] ; [9 3],[17.08571429  5.91428571] ; [8.91428571 3.08571429],0
b4,1,0.969981,0.001416,[82 68] ; [22 18],[82.10526316 67.89473684] ; [21.89473684 18.10526316],0
