Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.3e-05,18.955361,[44  7] ; [12 18],[35.25925926 15.74074074] ; [20.74074074  9.25925926],1
v2,1,0.490416,0.475614,[24 25] ; [11 16],[22.56578947 26.43421053] ; [12.43421053 14.56578947],0
b3,1,0.493291,0.46934,[ 7 22] ; [ 6 12],[ 8.0212766 20.9787234] ; [ 4.9787234 13.0212766],0
b2,1,0.493291,0.46934,[ 7 22] ; [ 6 12],[ 8.0212766 20.9787234] ; [ 4.9787234 13.0212766],0
p3,1,0.532811,0.389027,[14 38] ; [ 6 23],[12.83950617 39.16049383] ; [ 7.16049383 21.83950617],0
n3,1,0.551815,0.354075,[10  5] ; [9 7],[9.19354839 5.80645161] ; [9.80645161 6.19354839],0
v1,1,0.610267,0.259786,[20 29] ; [14 16],[21.08860759 27.91139241] ; [12.91139241 17.08860759],0
p1,1,0.621849,0.243277,[ 3 49] ; [ 1 29],[ 2.53658537 49.46341463] ; [ 1.46341463 28.53658537],0
s5,1,0.648503,0.207792,[ 8 42] ; [ 6 24],[ 8.75 41.25] ; [ 5.25 24.75],0
p12,1,0.682057,0.16782,[ 1 50] ; [ 1 28],[ 1.275 49.725] ; [ 0.725 28.275],0
a1,1,0.718683,0.129758,[ 4 48] ; [ 3 27],[ 4.43902439 47.56097561] ; [ 2.56097561 27.43902439],0
b4,1,0.771154,0.084603,[26 26] ; [16 14],[26.63414634 25.36585366] ; [15.36585366 14.63414634],0
p4,1,0.796773,0.06632,[20 32] ; [12 17],[20.54320988 31.45679012] ; [11.45679012 17.54320988],0
n4,1,0.832412,0.044778,[37 15] ; [22  8],[37.41463415 14.58536585] ; [21.58536585  8.41463415],0
p6,1,0.85162,0.034988,[12 38] ; [ 7 20],[12.33766234 37.66233766] ; [ 6.66233766 20.33766234],0
p2,1,0.921703,0.009661,[34 18] ; [18 10],[33.8 18.2] ; [18.2  9.8],0
s2,1,0.957779,0.002803,[19 32] ; [11 19],[18.88888889 32.11111111] ; [11.11111111 18.88888889],0
s4,1,0.986909,0.000269,[ 7 45] ; [ 4 26],[ 6.97560976 45.02439024] ; [ 4.02439024 25.97560976],0
n2,1,1.0,0.0,[12  4] ; [12  4],[12.  4.] ; [12.  4.],0
