Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.740037,[117  21] ; [14 18],[106.34117647  31.65882353] ; [24.65882353  7.34117647],1
a8,1,0.133174,2.255114,[ 17 115] ; [ 1 29],[ 14.66666667 117.33333333] ; [ 3.33333333 26.66666667],0
p8,1,0.174702,1.842129,[88 48] ; [16 15],[84.69461078 51.30538922] ; [19.30538922 11.69461078],0
v2,1,0.183663,1.767732,[75 61] ; [13 18],[71.66467066 64.33532934] ; [16.33532934 14.66467066],0
s5,1,0.270701,1.213189,[60 73] ; [11 21],[57.23030303 75.76969697] ; [13.76969697 18.23030303],0
p5,1,0.295333,1.09515,[ 23 114] ; [ 3 29],[ 21.07692308 115.92307692] ; [ 4.92307692 27.07692308],0
p2,1,0.323706,0.973913,[120  18] ; [24  6],[118.28571429  19.71428571] ; [25.71428571  4.28571429],0
v1,1,0.335929,0.925905,[76 59] ; [15 17],[73.56287425 61.43712575] ; [17.43712575 14.56287425],0
s1,1,0.359339,0.840201,[  4 133] ; [ 2 30],[  4.86390533 132.13609467] ; [ 1.13609467 30.86390533],0
a4,1,0.40942,0.680484,[58 79] ; [11 21],[55.93491124 81.06508876] ; [13.06508876 18.93491124],0
u3,1,0.428782,0.626119,[17 24] ; [8 7],[18.30357143 22.69642857] ; [6.69642857 8.30357143],0
u1,1,0.461872,0.541355,[  9 129] ; [ 1 31],[  8.11764706 129.88235294] ; [ 1.88235294 30.11764706],0
d2,1,0.523952,0.406107,[69 69] ; [14 18],[67.37647059 70.62352941] ; [15.62352941 16.37647059],0
p6,1,0.559388,0.340766,[67 70] ; [12 16],[65.59393939 71.40606061] ; [13.40606061 14.59393939],0
n3,1,0.621609,0.243612,[23  8] ; [8 4],[22.34883721  8.65116279] ; [8.65116279 3.34883721],0
s4,1,0.622534,0.242321,[ 29 109] ; [ 8 24],[ 30.03529412 107.96470588] ; [ 6.96470588 25.03529412],0
a6,1,0.671551,0.179794,[53 85] ; [11 21],[51.95294118 86.04705882] ; [12.04705882 19.95294118],0
p1,1,0.683097,0.16666,[ 10 128] ; [ 3 29],[ 10.55294118 127.44705882] ; [ 2.44705882 29.55294118],0
a2,1,0.741349,0.108944,[ 11 127] ; [ 2 30],[ 10.55294118 127.44705882] ; [ 2.44705882 29.55294118],0
d3,1,0.750055,0.101485,[69 69] ; [15 17],[68.18823529 69.81176471] ; [15.81176471 16.18823529],0
s3,1,0.818182,0.052847,[82 54] ; [20 12],[82.57142857 53.42857143] ; [19.42857143 12.57142857],0
p4,1,0.855936,0.03296,[86 51] ; [20 11],[86.44047619 50.55952381] ; [19.55952381 11.44047619],0
n1,1,0.890513,0.018949,[12 19] ; [4 7],[11.80952381 19.19047619] ; [4.19047619 6.80952381],0
a1,1,0.955104,0.00317,[  9 129] ; [ 2 30],[  8.92941176 129.07058824] ; [ 2.07058824 29.92941176],0
