Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.084545,[10 72] ; [17 12],[19.94594595 62.05405405] ; [ 7.05405405 21.94594595],1
n1,1,0.333342,0.935871,[12 21] ; [2 8],[10.74418605 22.25581395] ; [3.25581395 6.74418605],0
n4,1,0.343905,0.895819,[49 34] ; [20  9],[51.13392857 31.86607143] ; [17.86607143 11.13392857],0
n3,1,0.346581,0.885937,[17 15] ; [7 3],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
d3,1,0.362091,0.830627,[41 43] ; [17 12],[43.11504425 40.88495575] ; [14.88495575 14.11504425],0
b1,1,0.366036,0.817078,[40 44] ; [11 18],[37.91150442 46.08849558] ; [13.08849558 15.91150442],0
b4,1,0.426988,0.631003,[45 39] ; [18 11],[46.83185841 37.16814159] ; [16.16814159 12.83185841],0
p12,1,0.45281,0.563608,[ 3 81] ; [ 2 27],[ 3.71681416 80.28318584] ; [ 1.28318584 27.71681416],0
n5,1,0.467365,0.5282,[48 35] ; [19 10],[49.65178571 33.34821429] ; [17.34821429 11.65178571],0
a1,1,0.519963,0.413967,[ 8 76] ; [ 4 25],[ 8.92035398 75.07964602] ; [ 3.07964602 25.92035398],0
a2,1,0.522676,0.408609,[16 68] ; [ 4 25],[14.86725664 69.13274336] ; [ 5.13274336 23.86725664],0
s4,1,0.548641,0.359758,[11 72] ; [ 5 23],[11.96396396 71.03603604] ; [ 4.03603604 23.96396396],0
u3,1,0.559378,0.340782,[17 18] ; [7 5],[17.87234043 17.12765957] ; [6.12765957 5.87234043],0
p1,1,0.582932,0.301519,[ 6 78] ; [ 3 26],[ 6.69026549 77.30973451] ; [ 2.30973451 26.69026549],0
a7,1,0.609173,0.261381,[47 36] ; [18 11],[48.16964286 34.83035714] ; [16.83035714 12.16964286],0
a4,1,0.616184,0.251267,[30 53] ; [12 17],[31.125 51.875] ; [10.875 18.125],0
d1,1,0.693205,0.155637,[37 47] ; [14 15],[37.91150442 46.08849558] ; [13.08849558 15.91150442],0
d2,1,0.787858,0.072411,[38 45] ; [12 16],[37.38738739 45.61261261] ; [12.61261261 15.38738739],0
u1,1,0.820429,0.051526,[10 74] ; [ 3 26],[ 9.66371681 74.33628319] ; [ 3.33628319 25.66371681],0
u2,1,0.882937,0.021682,[15 19] ; [5 7],[14.7826087 19.2173913] ; [5.2173913 6.7826087],0
d4,1,0.897494,0.016597,[59 25] ; [20  9],[58.72566372 25.27433628] ; [20.27433628  8.72566372],0
d5,1,0.904822,0.014298,[54 30] ; [19 10],[54.26548673 29.73451327] ; [18.73451327 10.26548673],0
b3,1,0.917191,0.01081,[22 32] ; [ 8 11],[22.19178082 31.80821918] ; [ 7.80821918 11.19178082],0
b2,1,0.917191,0.01081,[22 32] ; [ 8 11],[22.19178082 31.80821918] ; [ 7.80821918 11.19178082],0
v3,1,0.943086,0.005097,[27 53] ; [10 19],[27.1559633 52.8440367] ; [ 9.8440367 19.1559633],0
a3,1,0.968772,0.001533,[49 34] ; [17 12],[48.91071429 34.08928571] ; [17.08928571 11.91071429],0
b5,1,0.969447,0.001467,[46 38] ; [16 13],[46.08849558 37.91150442] ; [15.91150442 13.08849558],0
