Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.424907,[45 14] ; [ 8 24],[34.36263736 24.63736264] ; [18.63736264 13.36263736],1
d3,1,0.550404,0.356594,[27 31] ; [17 15],[28.35555556 29.64444444] ; [15.64444444 16.35555556],0
p4,1,0.635706,0.224402,[21 37] ; [10 22],[19.97777778 38.02222222] ; [11.02222222 20.97777778],0
v4,1,0.688637,0.160564,[33 25] ; [19 12],[33.88764045 24.11235955] ; [18.11235955 12.88764045],0
b1,1,0.699057,0.149455,[27 32] ; [16 16],[27.87912088 31.12087912] ; [15.12087912 16.87912088],0
p7,1,0.713912,0.134401,[19 39] ; [11 19],[19.77272727 38.22727273] ; [10.22727273 19.77272727],0
d5,1,0.767206,0.087635,[35 24] ; [20 12],[35.65934066 23.34065934] ; [19.34065934 12.65934066],0
s3,1,0.838903,0.04133,[20 38] ; [11 19],[20.43181818 37.56818182] ; [10.56818182 19.43181818],0
s4,1,0.841156,0.040166,[14 45] ; [ 7 25],[13.61538462 45.38461538] ; [ 7.38461538 24.61538462],0
s5,1,0.857866,0.032074,[ 8 48] ; [ 4 27],[ 7.72413793 48.27586207] ; [ 4.27586207 26.72413793],0
r2,1,0.86181,0.030301,[32 25] ; [18 13],[32.38636364 24.61363636] ; [17.61363636 13.38636364],0
p10,1,0.884712,0.021025,[29 29] ; [15 16],[28.6741573 29.3258427] ; [15.3258427 15.6741573],0
u2,1,0.888117,0.019793,[10 15] ; [ 8 11],[10.22727273 14.77272727] ; [ 7.77272727 11.22727273],0
a2,1,0.903515,0.014695,[ 6 53] ; [ 3 29],[ 5.83516484 53.16483516] ; [ 3.16483516 28.83516484],0
s2,1,0.956436,0.002984,[16 42] ; [ 9 23],[16.11111111 41.88888889] ; [ 8.88888889 23.11111111],0
p11,1,0.957607,0.002826,[28 31] ; [15 17],[27.87912088 31.12087912] ; [15.12087912 16.87912088],0
d1,1,0.984085,0.000398,[22 37] ; [12 20],[22.04395604 36.95604396] ; [11.95604396 20.04395604],0
