Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.889481,[142   9] ; [44 19],[131.24299065  19.75700935] ; [54.75700935  8.24299065],1
p6,1,0.060977,3.510601,[ 46 104] ; [11 50],[ 40.52132701 109.47867299] ; [16.47867299 44.52132701],0
s6,1,0.070263,3.276857,[78 73] ; [24 39],[71.97196262 79.02803738] ; [30.02803738 32.97196262],0
b1,1,0.078983,3.085714,[ 51 102] ; [29 34],[56.66666667 96.33333333] ; [23.33333333 39.66666667],0
s7,1,0.080907,3.046585,[ 45 102] ; [11 48],[ 39.96116505 107.03883495] ; [16.03883495 42.96116505],0
n1,1,0.092333,2.833214,[ 9 30] ; [10 13],[11.9516129 27.0483871] ; [ 7.0483871 15.9516129],0
n5,1,0.177351,1.819679,[103  49] ; [36 26],[98.72897196 53.27102804] ; [40.27102804 21.72897196],0
n3,1,0.219638,1.506736,[28 11] ; [13 10],[25.79032258 13.20967742] ; [15.20967742  7.79032258],0
r2,1,0.248843,1.329789,[132  20] ; [50 12],[129.27102804  22.72897196] ; [52.72897196  9.27102804],0
v1,1,0.250084,1.322833,[59 88] ; [20 43],[55.3 91.7] ; [23.7 39.3],0
v2,1,0.26968,1.218376,[64 78] ; [22 38],[60.45544554 81.54455446] ; [25.54455446 34.45544554],0
s2,1,0.283327,1.151061,[55 97] ; [18 45],[ 51.60930233 100.39069767] ; [21.39069767 41.60930233],0
p5,1,0.33817,0.917355,[ 10 143] ; [ 2 60],[  8.53953488 144.46046512] ; [ 3.46046512 58.53953488],0
p12,1,0.374825,0.787607,[  6 146] ; [ 1 62],[  4.94883721 147.05116279] ; [ 2.05116279 60.94883721],0
a8,1,0.385972,0.751594,[ 15 127] ; [ 4 56],[ 13.35643564 128.64356436] ; [ 5.64356436 54.35643564],0
p1,1,0.418113,0.655613,[ 12 141] ; [ 3 60],[ 10.625 142.375] ; [ 4.375 58.625],0
d4,1,0.587598,0.294111,[100  52] ; [39 24],[98.26976744 53.73023256] ; [40.73023256 22.26976744],0
a4,1,0.65579,0.198678,[ 26 127] ; [ 9 53],[ 24.90697674 128.09302326] ; [10.09302326 51.90697674],0
n2,1,0.714078,0.134238,[23 15] ; [15  8],[23.67213115 14.32786885] ; [14.32786885  8.67213115],0
b5,1,0.746122,0.104819,[96 57] ; [41 22],[97.04166667 55.95833333] ; [39.95833333 23.04166667],0
v3,1,0.767427,0.087464,[ 45 102] ; [18 45],[ 44.1 102.9] ; [18.9 44.1],0
r1,1,0.806699,0.059872,[92 60] ; [37 26],[91.2 60.8] ; [37.8 25.2],0
n4,1,0.806699,0.059872,[92 60] ; [37 26],[91.2 60.8] ; [37.8 25.2],0
d1,1,0.860849,0.030728,[ 48 105] ; [19 44],[ 47.45833333 105.54166667] ; [19.54166667 43.45833333],0
u3,1,0.861821,0.030296,[42 45] ; [18 18],[42.43902439 44.56097561] ; [17.56097561 18.43902439],0
b4,1,0.869559,0.026968,[88 65] ; [37 26],[88.54166667 64.45833333] ; [36.45833333 26.54166667],0
b2,1,0.892452,0.01828,[22 58] ; [10 28],[21.69491525 58.30508475] ; [10.30508475 27.69491525],0
b3,1,0.892452,0.01828,[22 58] ; [10 28],[21.69491525 58.30508475] ; [10.30508475 27.69491525],0
a3,1,0.916173,0.011079,[65 87] ; [27 35],[65.34579439 86.65420561] ; [26.65420561 35.34579439],0
s4,1,0.942065,0.005282,[ 21 130] ; [ 9 54],[ 21.1682243 129.8317757] ; [ 8.8317757 54.1682243],0
u2,1,0.986866,0.000271,[45 40] ; [19 17],[44.95867769 40.04132231] ; [19.04132231 16.95867769],0
