Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-06,20.89428,[46  8] ; [92 91],[31.44303797 22.55696203] ; [106.55696203  76.44303797],1
n3,1,0.461889,0.541313,[10  4] ; [39 25],[8.79487179 5.20512821] ; [40.20512821 23.79487179],0
u3,1,0.466158,0.53107,[7 5] ; [30 34],[5.84210526 6.15789474] ; [31.15789474 32.84210526],0
v3,1,0.517091,0.419691,[19 32] ; [ 58 121],[17.07391304 33.92608696] ; [ 59.92608696 119.07391304],0
a6,1,0.527083,0.400011,[38 16] ; [121  63],[36.07563025 17.92436975] ; [122.92436975  61.07563025],0
u4,1,0.590001,0.290343,[ 1 53] ; [  6 178],[ 1.58823529 52.41176471] ; [  5.41176471 178.58823529],0
a8,1,0.607266,0.264176,[ 4 43] ; [ 19 152],[ 4.9587156 42.0412844] ; [ 18.0412844 152.9587156],0
v2,1,0.620985,0.244486,[24 28] ; [ 74 101],[22.44933921 29.55066079] ; [75.55066079 99.44933921],0
p2,1,0.626605,0.236693,[38 16] ; [123  61],[36.52941176 17.47058824] ; [124.47058824  59.52941176],0
r3,1,0.691307,0.157674,[44  9] ; [156  27],[44.91525424  8.08474576] ; [155.08474576  27.91525424],0
p9,1,0.69387,0.154928,[42 11] ; [138  42],[40.94420601 12.05579399] ; [139.05579399  40.94420601],0
a1,1,0.79726,0.065995,[ 3 51] ; [ 12 172],[ 3.40336134 50.59663866] ; [ 11.59663866 172.40336134],0
p11,1,0.823009,0.050031,[37 17] ; [129  55],[37.66386555 16.33613445] ; [128.33613445  55.66386555],0
a7,1,0.825508,0.048605,[36 17] ; [122  62],[35.33333333 17.66666667] ; [122.66666667  61.33333333],0
u2,1,0.973249,0.001125,[5 7] ; [27 37],[5.05263158 6.94736842] ; [26.94736842 37.05263158],0
