Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.01128,6.42059,[ 2 11] ; [12  8],[5.51515152 7.48484848] ; [ 8.48484848 11.51515152],0
a2,1,0.310611,1.028077,[ 2 11] ; [ 1 19],[ 1.18181818 11.81818182] ; [ 1.81818182 18.18181818],0
a3,1,0.313616,1.015385,[10  3] ; [12  8],[8.66666667 4.33333333] ; [13.33333333  6.66666667],0
d2,1,0.352957,0.862797,[5 8] ; [11  9],[6.3030303 6.6969697] ; [ 9.6969697 10.3030303],0
s5,1,0.355363,0.854214,[ 2 10] ; [ 6 13],[3.09677419 8.90322581] ; [ 4.90322581 14.09677419],0
a4,1,0.410966,0.676003,[5 8] ; [ 5 15],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
p8,1,0.466608,0.529996,[5 8] ; [ 5 14],[4.0625 8.9375] ; [ 5.9375 13.0625],0
p9,1,0.529686,0.394993,[12  1] ; [17  3],[11.42424242  1.57575758] ; [17.57575758  2.42424242],0
p1,1,0.529686,0.394993,[ 1 12] ; [ 3 17],[ 1.57575758 11.42424242] ; [ 2.42424242 17.57575758],0
n6,1,0.580912,0.304762,[10  2] ; [15  5],[9.375 2.625] ; [15.625  4.375],0
r4,1,0.59015,0.29011,[4 9] ; [ 8 12],[4.72727273 8.27272727] ; [ 7.27272727 12.72727273],0
s2,1,0.61438,0.253846,[5 8] ; [ 6 14],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
s8,1,0.61438,0.253846,[5 8] ; [ 6 14],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
v2,1,0.619304,0.246847,[7 6] ; [ 9 11],[6.3030303 6.6969697] ; [ 9.6969697 10.3030303],0
n4,1,0.71615,0.132212,[9 4] ; [15  5],[9.45454545 3.54545455] ; [14.54545455  5.45454545],0
p12,1,0.780394,0.077733,[ 1 12] ; [ 1 18],[ 0.8125 12.1875] ; [ 1.1875 17.8125],0
a5,1,0.801106,0.063462,[9 4] ; [13  7],[8.66666667 4.33333333] ; [13.33333333  6.66666667],0
r2,1,0.820627,0.051411,[7 6] ; [11  8],[7.3125 5.6875] ; [10.6875  8.3125],0
u1,1,0.82173,0.050769,[ 1 12] ; [ 2 18],[ 1.18181818 11.81818182] ; [ 1.81818182 18.18181818],0
a7,1,0.828975,0.046663,[6 7] ; [10 10],[6.3030303 6.6969697] ; [ 9.6969697 10.3030303],0
b5,1,0.828975,0.046663,[7 6] ; [10 10],[6.6969697 6.3030303] ; [10.3030303  9.6969697],0
n2,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
s6,1,0.88644,0.020395,[6 6] ; [ 9 10],[5.80645161 6.19354839] ; [9.19354839 9.80645161],0
u2,1,0.898195,0.016369,[1 2] ; [3 5],[1.09090909 1.90909091] ; [2.90909091 5.09090909],0
n5,1,0.899765,0.015865,[10  3] ; [15  5],[9.84848485 3.15151515] ; [15.15151515  4.84848485],0
p5,1,0.97598,0.000907,[ 2 11] ; [ 3 17],[ 1.96969697 11.03030303] ; [ 3.03030303 16.96969697],0
