Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,47.80129,[227  92] ; [ 89 127],[188.41869159 130.58130841] ; [127.58130841  88.41869159],1
s4,1,0.616449,0.25089,[ 49 273] ; [ 37 183],[ 51.09225092 270.90774908] ; [ 34.90774908 185.09225092],0
n1,1,0.636923,0.222789,[25 29] ; [26 36],[23.74137931 30.25862069] ; [27.25862069 34.74137931],0
a8,1,0.643581,0.214089,[ 49 245] ; [ 31 174],[ 47.13426854 246.86573146] ; [ 32.86573146 172.13426854],0
p1,1,0.660611,0.192783,[ 26 301] ; [ 20 202],[ 27.3989071 299.6010929] ; [ 18.6010929 203.3989071],0
s3,1,0.752501,0.099441,[190 133] ; [127  94],[188.21875 134.78125] ; [128.78125  92.21875],0
n2,1,0.759294,0.093886,[42 12] ; [49 16],[41.29411765 12.70588235] ; [49.70588235 15.29411765],0
u2,1,0.767138,0.087687,[36 28] ; [33 23],[36.8 27.2] ; [32.2 23.8],0
a4,1,0.831377,0.045342,[168 159] ; [112 110],[166.77595628 160.22404372] ; [113.22404372 108.77595628],0
a6,1,0.834864,0.043459,[230  97] ; [155  68],[228.9  98.1] ; [156.1  66.9],0
a7,1,0.873237,0.025456,[237  90] ; [163  60],[237.81818182  89.18181818] ; [162.18181818  60.81818182],0
n3,1,0.926633,0.008479,[35 19] ; [42 22],[35.23728814 18.76271186] ; [41.76271186 22.23728814],0
a1,1,0.985492,0.000331,[ 19 309] ; [ 13 210],[ 19.04900181 308.95099819] ; [ 12.95099819 210.04900181],0
