Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.194835,[20  8] ; [31 90],[ 9.58389262 18.41610738] ; [41.41610738 79.58389262],1
r4,1,0.152783,2.044247,[22  6] ; [80 44],[18.78947368  9.21052632] ; [83.21052632 40.78947368],0
p1,1,0.159993,1.974295,[ 3 25] ; [  5 117],[ 1.49333333 26.50666667] ; [  6.50666667 115.49333333],0
r2,1,0.197019,1.664338,[25  2] ; [100  21],[22.80405405  4.19594595] ; [102.19594595  18.80405405],0
b5,1,0.218118,1.516708,[20  8] ; [73 51],[17.13157895 10.86842105] ; [75.86842105 48.13157895],0
n4,1,0.267038,1.231897,[20  8] ; [74 49],[17.43046358 10.56953642] ; [76.56953642 46.43046358],0
v3,1,0.27237,1.204772,[10 18] ; [30 88],[ 7.67123288 20.32876712] ; [32.32876712 85.67123288],0
b3,1,0.296486,1.089932,[6 8] ; [24 59],[4.32989691 9.67010309] ; [25.67010309 57.32989691],0
b2,1,0.296486,1.089932,[6 8] ; [24 59],[4.32989691 9.67010309] ; [25.67010309 57.32989691],0
a1,1,0.296721,1.088874,[ 1 27] ; [ 12 112],[ 2.39473684 25.60526316] ; [ 10.60526316 113.39473684],0
d4,1,0.377683,0.77823,[22  6] ; [85 36],[20.10738255  7.89261745] ; [86.89261745 34.10738255],0
n5,1,0.385293,0.753747,[18 10] ; [68 55],[15.94701987 12.05298013] ; [70.05298013 52.94701987],0
s6,1,0.408672,0.682662,[13 14] ; [49 75],[11.08609272 15.91390728] ; [50.91390728 73.08609272],0
n6,1,0.449936,0.570814,[19  9] ; [74 49],[17.24503311 10.75496689] ; [75.75496689 47.24503311],0
u1,1,0.470199,0.521509,[ 3 25] ; [ 20 104],[ 4.23684211 23.76315789] ; [ 18.76315789 105.23684211],0
b1,1,0.52069,0.412526,[11 17] ; [57 67],[12.52631579 15.47368421] ; [55.47368421 68.52631579],0
d3,1,0.524091,0.405835,[18 10] ; [71 52],[16.50331126 11.49668874] ; [72.49668874 50.50331126],0
a4,1,0.525386,0.403309,[11 17] ; [56 66],[12.50666667 15.49333333] ; [54.49333333 67.50666667],0
v2,1,0.536151,0.38272,[12 15] ; [46 75],[10.58108108 16.41891892] ; [47.41891892 73.58108108],0
s1,1,0.562982,0.334567,[ 2 24] ; [  6 117],[ 1.39597315 24.60402685] ; [  6.60402685 116.39597315],0
a7,1,0.607749,0.263466,[18 10] ; [72 50],[16.8 11.2] ; [73.2 48.8],0
d2,1,0.646348,0.210535,[13 15] ; [62 59],[14.09395973 13.90604027] ; [60.90604027 60.09395973],0
v1,1,0.672141,0.179107,[10 17] ; [40 82],[ 9.06040268 17.93959732] ; [40.93959732 81.06040268],0
n1,1,0.672889,0.178241,[5 7] ; [19 35],[4.36363636 7.63636364] ; [19.63636364 34.36363636],0
d5,1,0.685476,0.164026,[20  8] ; [83 40],[19.09933775  8.90066225] ; [83.90066225 39.09933775],0
u4,1,0.730863,0.118321,[ 1 27] ; [  3 121],[ 0.73684211 27.26315789] ; [  3.26315789 120.73684211],0
u3,1,0.750223,0.101344,[6 9] ; [21 26],[6.53225806 8.46774194] ; [20.46774194 26.53225806],0
a8,1,0.760573,0.09286,[ 4 23] ; [14 97],[ 3.52173913 23.47826087] ; [14.47826087 96.52173913],0
s4,1,0.875276,0.024637,[ 3 24] ; [ 15 108],[ 3.24 23.76] ; [ 14.76 108.24],0
r1,1,0.882206,0.021956,[19  9] ; [81 41],[18.66666667  9.33333333] ; [81.33333333 40.66666667],0
s5,1,0.896126,0.017045,[ 4 21] ; [ 21 102],[ 4.22297297 20.77702703] ; [ 20.77702703 102.22297297],0
b4,1,0.928909,0.00796,[16 12] ; [72 52],[16.21052632 11.78947368] ; [71.78947368 52.21052632],0
u2,1,0.945411,0.004688,[7 8] ; [21 25],[6.8852459 8.1147541] ; [21.1147541 24.8852459],0
a6,1,0.957062,0.002899,[17 11] ; [74 49],[16.87417219 11.12582781] ; [74.12582781 48.87417219],0
d1,1,0.964755,0.001953,[13 15] ; [57 67],[12.89473684 15.10526316] ; [57.10526316 66.89473684],0
