Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,25.281433,[ 71 181] ; [118 116],[ 98. 154.] ; [ 91. 143.],1
a7,1,0.401022,0.705261,[197  67] ; [174  70],[192.80314961  71.19685039] ; [178.19685039  65.80314961],0
s3,1,0.458017,0.550737,[136 125] ; [133 107],[140.13772455 120.86227545] ; [128.86227545 111.13772455],0
u2,1,0.501246,0.452297,[47 44] ; [36 27],[49.04545455 41.95454545] ; [33.95454545 29.04545455],0
d5,1,0.561725,0.336727,[208  55] ; [198  46],[210.60749507  52.39250493] ; [195.39250493  48.60749507],0
r3,1,0.607651,0.263609,[258   6] ; [240   4],[258.80314961   5.19685039] ; [239.19685039   4.80314961],0
d4,1,0.619692,0.246301,[208  54] ; [198  46],[210.22134387  51.77865613] ; [195.77865613  48.22134387],0
d3,1,0.753325,0.098758,[177  86] ; [161  83],[175.33333333  87.66666667] ; [162.66666667  81.33333333],0
a6,1,0.796105,0.066766,[186  77] ; [170  74],[184.67061144  78.32938856] ; [171.32938856  72.67061144],0
n3,1,0.842879,0.039288,[54 18] ; [36 11],[54.45378151 17.54621849] ; [35.54621849 11.45378151],0
n1,1,0.858851,0.031626,[27 45] ; [18 28],[27.45762712 44.54237288] ; [17.54237288 28.45762712],0
a1,1,0.881161,0.02235,[  7 257] ; [  7 237],[  7.27559055 256.72440945] ; [  6.72440945 237.27559055],0
s4,1,0.956145,0.003024,[ 41 222] ; [ 38 203],[ 41.22420635 221.77579365] ; [ 37.77579365 203.22420635],0
