Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.8e-05,16.154449,[18 14] ; [13 61],[ 9.35849057 22.64150943] ; [21.64150943 52.35849057],1
v3,1,0.485372,0.48677,[ 6 22] ; [22 56],[ 7.39622642 20.60377358] ; [20.60377358 57.39622642],0
d3,1,0.498267,0.458625,[19 12] ; [45 38],[17.40350877 13.59649123] ; [46.59649123 36.40350877],0
p8,1,0.519611,0.414666,[ 9 22] ; [19 63],[ 7.68141593 23.31858407] ; [20.31858407 61.68141593],0
r1,1,0.559536,0.340509,[18 14] ; [51 31],[19.36842105 12.63157895] ; [49.63157895 32.36842105],0
n4,1,0.562359,0.335636,[20 11] ; [48 34],[18.65486726 12.34513274] ; [49.34513274 32.65486726],0
b1,1,0.565652,0.330011,[17 15] ; [49 34],[18.36521739 13.63478261] ; [47.63478261 35.36521739],0
u2,1,0.670575,0.18093,[3 6] ; [16 23],[3.5625 5.4375] ; [15.4375 23.5625],0
a6,1,0.713148,0.135153,[18 13] ; [45 38],[17.13157895 13.86842105] ; [45.86842105 37.13157895],0
u1,1,0.741868,0.108491,[ 5 27] ; [11 72],[ 4.45217391 27.54782609] ; [11.54782609 71.45217391],0
b2,1,0.747542,0.103608,[ 6 14] ; [17 33],[ 6.57142857 13.42857143] ; [16.42857143 33.57142857],0
b3,1,0.747542,0.103608,[ 6 14] ; [17 33],[ 6.57142857 13.42857143] ; [16.42857143 33.57142857],0
v1,1,0.765949,0.088613,[11 20] ; [27 56],[10.33333333 20.66666667] ; [27.66666667 55.33333333],0
a7,1,0.787682,0.072534,[20 12] ; [49 33],[19.36842105 12.63157895] ; [49.63157895 32.36842105],0
d2,1,0.845847,0.037799,[15 16] ; [38 44],[14.53982301 16.46017699] ; [38.46017699 43.53982301],0
s4,1,0.852108,0.034756,[ 5 27] ; [14 68],[ 5.33333333 26.66666667] ; [13.66666667 68.33333333],0
u3,1,0.886079,0.020525,[4 6] ; [17 23],[4.2 5.8] ; [16.8 23.2],0
n6,1,0.91058,0.012613,[17 14] ; [44 38],[16.73451327 14.26548673] ; [44.26548673 37.73451327],0
d5,1,0.92405,0.009088,[21 10] ; [57 26],[21.21052632  9.78947368] ; [56.78947368 26.21052632],0
s1,1,0.950624,0.003835,[ 3 29] ; [ 8 74],[ 3.0877193 28.9122807] ; [ 7.9122807 74.0877193],0
v2,1,0.974884,0.000991,[11 20] ; [29 52],[11.07142857 19.92857143] ; [28.92857143 52.07142857],0
