Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.2e-05,16.756883,[28 10] ; [ 6 21],[19.87692308 18.12307692] ; [14.12307692 12.87692308],1
p8,1,0.836093,0.042805,[20 18] ; [13 13],[19.59375 18.40625] ; [13.40625 12.59375],0
n4,1,0.866741,0.028157,[26 12] ; [19  8],[26.30769231 11.69230769] ; [18.69230769  8.30769231],0
n2,1,0.890106,0.019091,[8 3] ; [7 3],[7.85714286 3.14285714] ; [7.14285714 2.85714286],0
p6,1,0.893828,0.017812,[20 16] ; [14 12],[19.74193548 16.25806452] ; [14.25806452 11.74193548],0
p3,1,0.9124,0.012102,[22 16] ; [16 11],[22.21538462 15.78461538] ; [15.78461538 11.21538462],0
p11,1,0.914531,0.011519,[32  6] ; [23  4],[32.15384615  5.84615385] ; [22.84615385  4.15384615],0
s1,1,0.917839,0.010641,[ 3 34] ; [ 2 25],[ 2.890625 34.109375] ; [ 2.109375 24.890625],0
s7,1,0.933411,0.006981,[27  9] ; [20  7],[26.85714286  9.14285714] ; [20.14285714  6.85714286],0
a3,1,0.941288,0.005425,[25 13] ; [18  9],[25.13846154 12.86153846] ; [17.86153846  9.13846154],0
v2,1,0.952297,0.003579,[19 17] ; [13 12],[18.8852459 17.1147541] ; [13.1147541 11.8852459],0
s3,1,0.971884,0.001242,[28 10] ; [20  7],[28.06153846  9.93846154] ; [19.93846154  7.06153846],0
v3,1,0.972806,0.001162,[14 22] ; [10 16],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
