Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.001745,9.8,[22 14] ; [13 35],[15. 21.] ; [20. 28.],0
u1,1,0.76738,0.0875,[ 2 34] ; [ 2 46],[ 1.71428571 34.28571429] ; [ 2.28571429 45.71428571],0
a8,1,0.793787,0.068328,[ 1 31] ; [ 1 45],[ 0.82051282 31.17948718] ; [ 1.17948718 44.82051282],0
p3,1,0.805138,0.060862,[11 23] ; [14 33],[10.49382716 23.50617284] ; [14.50617284 32.49382716],0
u3,1,0.813381,0.055728,[6 6] ; [11 13],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
s5,1,0.823406,0.049803,[ 5 28] ; [ 8 39],[ 5.3625 27.6375] ; [ 7.6375 39.3625],0
a5,1,0.850065,0.035735,[18 18] ; [23 25],[17.57142857 18.42857143] ; [23.42857143 24.57142857],0
u2,1,0.887931,0.019859,[6 5] ; [13 12],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
a4,1,0.890415,0.018983,[11 25] ; [14 34],[10.71428571 25.28571429] ; [14.28571429 33.71428571],0
r2,1,0.893448,0.01794,[22 11] ; [30 16],[21.72151899 11.27848101] ; [30.27848101 15.72151899],0
p5,1,0.977018,0.00083,[ 3 33] ; [ 4 43],[ 3.03614458 32.96385542] ; [ 3.96385542 43.03614458],0
s8,1,1.0,0.0,[ 9 27] ; [12 36],[ 9. 27.] ; [12. 36.],0
r1,1,1.0,0.0,[ 9 27] ; [12 36],[ 9. 27.] ; [12. 36.],0
