Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.3e-05,19.0327,[ 8 71] ; [14 15],[16.09259259 62.90740741] ; [ 5.90740741 23.09259259],1
b1,1,0.213567,1.547081,[35 44] ; [ 9 20],[32.18518519 46.81481481] ; [11.81481481 17.18518519],0
p9,1,0.238697,1.388272,[53 23] ; [22  5],[55.33980583 20.66019417] ; [19.66019417  7.33980583],0
p2,1,0.251154,1.316873,[42 37] ; [19 10],[44.62037037 34.37962963] ; [16.37962963 12.62037037],0
n4,1,0.263774,1.248842,[48 31] ; [21  8],[50.47222222 28.52777778] ; [18.52777778 10.47222222],0
b5,1,0.263774,1.248842,[48 31] ; [21  8],[50.47222222 28.52777778] ; [18.52777778 10.47222222],0
n3,1,0.278958,1.172161,[14 12] ; [10  4],[15.6 10.4] ; [8.4 5.6],0
p1,1,0.319883,0.989426,[11 68] ; [ 2 27],[ 9.50925926 69.49074074] ; [ 3.49074074 25.50925926],0
a4,1,0.331803,0.941847,[27 51] ; [13 16],[29.1588785 48.8411215] ; [10.8411215 18.1588785],0
d1,1,0.334247,0.932374,[30 49] ; [14 15],[32.18518519 46.81481481] ; [11.81481481 17.18518519],0
a1,1,0.341165,0.90605,[ 7 72] ; [ 1 28],[ 5.85185185 73.14814815] ; [ 2.14814815 26.85185185],0
p3,1,0.349686,0.874596,[15 63] ; [ 8 21],[16.76635514 61.23364486] ; [ 6.23364486 22.76635514],0
u2,1,0.454785,0.558699,[14 25] ; [4 4],[14.93617021 24.06382979] ; [3.06382979 4.93617021],0
v3,1,0.48966,0.477273,[17 60] ; [ 8 20],[18.33333333 58.66666667] ; [ 6.66666667 21.33333333],0
r3,1,0.509357,0.435387,[57 21] ; [23  6],[58.31775701 19.68224299] ; [21.68224299  7.31775701],0
n5,1,0.516593,0.420689,[52 27] ; [21  8],[53.39814815 25.60185185] ; [19.60185185  9.39814815],0
n6,1,0.525108,0.403848,[55 24] ; [22  7],[56.32407407 22.67592593] ; [20.67592593  8.32407407],0
v2,1,0.533547,0.387632,[22 53] ; [10 18],[23.30097087 51.69902913] ; [ 8.69902913 19.30097087],0
r4,1,0.57017,0.322398,[36 43] ; [15 14],[37.30555556 41.69444444] ; [13.69444444 15.30555556],0
d5,1,0.668761,0.183055,[51 28] ; [20  9],[51.93518519 27.06481481] ; [19.06481481  9.93518519],0
n2,1,0.697078,0.151529,[17  9] ; [10  4],[17.55  8.45] ; [9.45 4.55],0
p5,1,0.747917,0.10329,[ 4 75] ; [ 1 27],[ 3.69158879 75.30841121] ; [ 1.30841121 26.69158879],0
b3,1,0.762991,0.090936,[17 20] ; [11 11],[17.55932203 19.44067797] ; [10.44067797 11.55932203],0
b2,1,0.762991,0.090936,[17 20] ; [11 11],[17.55932203 19.44067797] ; [10.44067797 11.55932203],0
p8,1,0.779885,0.078103,[15 64] ; [ 6 22],[15.5046729 63.4953271] ; [ 5.4953271 22.5046729],0
s1,1,0.805479,0.060645,[ 2 76] ; [ 1 28],[ 2.18691589 75.81308411] ; [ 0.81308411 28.18691589],0
p10,1,0.827022,0.047752,[46 31] ; [18 11],[46.49056604 30.50943396] ; [17.50943396 11.49056604],0
a6,1,0.828115,0.047141,[39 40] ; [15 14],[39.5 39.5] ; [14.5 14.5],0
b4,1,0.840514,0.040496,[48 31] ; [17 12],[47.5462963 31.4537037] ; [17.4537037 11.5462963],0
a7,1,0.867958,0.02764,[45 34] ; [16 13],[44.62037037 34.37962963] ; [16.37962963 12.62037037],0
a8,1,0.949095,0.004076,[ 8 67] ; [ 3 24],[ 8.08823529 66.91176471] ; [ 2.91176471 24.08823529],0
d3,1,0.987159,0.000259,[38 41] ; [14 15],[38.03703704 40.96296296] ; [13.96296296 15.03703704],0
