Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.4e-05,17.81685,[40  8] ; [10 18],[31.57894737 16.42105263] ; [18.42105263  9.57894737],1
p6,1,0.150024,2.072007,[25 23] ; [ 9 17],[22.05405405 25.94594595] ; [11.94594595 14.05405405],0
s5,1,0.220475,1.501277,[18 29] ; [ 6 19],[15.66666667 31.33333333] ; [ 8.33333333 16.66666667],0
s3,1,0.227727,1.455002,[30 18] ; [13 14],[27.52 20.48] ; [15.48 11.52],0
d1,1,0.285743,1.139569,[ 5 43] ; [ 1 27],[ 3.78947368 44.21052632] ; [ 2.21052632 25.78947368],0
u3,1,0.310494,1.028571,[9 6] ; [ 9 12],[7.5 7.5] ; [10.5 10.5],0
n4,1,0.37827,0.776318,[37 11] ; [19  9],[35.36842105 12.63157895] ; [20.63157895  7.36842105],0
b4,1,0.409679,0.679733,[28 20] ; [19  9],[29.68421053 18.31578947] ; [17.31578947 10.68421053],0
p2,1,0.444032,0.585842,[38 10] ; [20  8],[36.63157895 11.36842105] ; [21.36842105  6.63157895],0
p5,1,0.47753,0.504499,[10 38] ; [ 4 24],[ 8.84210526 39.15789474] ; [ 5.15789474 22.84210526],0
b5,1,0.48094,0.496732,[28 20] ; [14 14],[26.52631579 21.47368421] ; [15.47368421 12.52631579],0
d4,1,0.54745,0.361905,[24 24] ; [12 16],[22.73684211 25.26315789] ; [13.26315789 14.73684211],0
n5,1,0.553612,0.350885,[34 14] ; [18 10],[32.84210526 15.15789474] ; [19.15789474  8.84210526],0
a1,1,0.613949,0.254464,[ 3 45] ; [ 1 27],[ 2.52631579 45.47368421] ; [ 1.47368421 26.52631579],0
p7,1,0.723891,0.124795,[36 12] ; [22  6],[36.63157895 11.36842105] ; [21.36842105  6.63157895],0
b1,1,0.725645,0.123148,[22 26] ; [14 14],[22.73684211 25.26315789] ; [13.26315789 14.73684211],0
v4,1,0.729159,0.119886,[44  4] ; [25  3],[43.57894737  4.42105263] ; [25.42105263  2.57894737],0
u2,1,0.76738,0.0875,[9 6] ; [11  9],[8.57142857 6.42857143] ; [11.42857143  8.57142857],0
s6,1,0.773775,0.082622,[28 19] ; [17 10],[28.58108108 18.41891892] ; [16.41891892 10.58108108],0
p1,1,0.777171,0.080094,[ 9 39] ; [ 6 22],[ 9.47368421 38.52631579] ; [ 5.52631579 22.47368421],0
a8,1,0.791695,0.069754,[ 4 41] ; [ 2 26],[ 3.69863014 41.30136986] ; [ 2.30136986 25.69863014],0
n2,1,0.818971,0.052381,[4 2] ; [3 2],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
n1,1,0.818971,0.052381,[2 4] ; [2 3],[2.18181818 3.81818182] ; [1.81818182 3.18181818],0
d2,1,0.836736,0.042465,[11 37] ; [ 7 21],[11.36842105 36.63157895] ; [ 6.63157895 21.36842105],0
r2,1,0.852717,0.034467,[44  4] ; [26  2],[44.21052632  3.78947368] ; [25.78947368  2.21052632],0
s4,1,0.894234,0.017675,[ 8 40] ; [ 5 23],[ 8.21052632 39.78947368] ; [ 4.78947368 23.21052632],0
v1,1,0.939616,0.005738,[21 27] ; [12 16],[20.84210526 27.15789474] ; [12.15789474 15.84210526],0
n6,1,0.951041,0.00377,[38 10] ; [22  6],[37.89473684 10.10526316] ; [22.10526316  5.89473684],0
