Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.5e-05,17.740463,[ 8 24] ; [50 22],[17.84615385 14.15384615] ; [40.15384615 31.84615385],1
s8,1,0.416162,0.661128,[ 7 25] ; [21 50],[ 8.69902913 23.30097087] ; [19.30097087 51.69902913],0
a7,1,0.425214,0.635861,[20 12] ; [50 21],[21.74757282 10.25242718] ; [48.25242718 22.74757282],0
v4,1,0.457502,0.551999,[28  3] ; [67  4],[28.87254902  2.12745098] ; [66.12745098  4.87254902],0
d4,1,0.46005,0.545773,[20 11] ; [51 20],[21.57843137  9.42156863] ; [49.42156863 21.57843137],0
a6,1,0.473448,0.513917,[19 13] ; [48 24],[20.61538462 11.38461538] ; [46.38461538 25.61538462],0
a4,1,0.479104,0.500902,[ 9 23] ; [25 46],[10.5631068 21.4368932] ; [23.4368932 47.5631068],0
p8,1,0.529665,0.395034,[15 17] ; [29 43],[13.53846154 18.46153846] ; [30.46153846 41.53846154],0
s5,1,0.537623,0.379964,[ 5 26] ; [15 55],[ 6.13861386 24.86138614] ; [13.86138614 56.13861386],0
b4,1,0.563962,0.33289,[19 13] ; [47 25],[20.30769231 11.69230769] ; [45.69230769 26.30769231],0
n2,1,0.626688,0.236579,[12  5] ; [14  4],[12.62857143  4.37142857] ; [13.37142857  4.62857143],0
n3,1,0.640654,0.217887,[12  6] ; [14  5],[12.64864865  5.35135135] ; [13.35135135  5.64864865],0
p7,1,0.649608,0.206394,[20 12] ; [41 30],[18.95145631 13.04854369] ; [42.04854369 28.95145631],0
u2,1,0.673214,0.177866,[7 8] ; [16 14],[7.66666667 7.33333333] ; [15.33333333 14.66666667],0
d2,1,0.696885,0.151733,[14 18] ; [34 37],[14.91262136 17.08737864] ; [33.08737864 37.91262136],0
a8,1,0.711233,0.137048,[ 2 26] ; [ 6 57],[ 2.46153846 25.53846154] ; [ 5.53846154 57.46153846],0
a3,1,0.717379,0.131018,[17 15] ; [41 31],[17.84615385 14.15384615] ; [40.15384615 31.84615385],0
p6,1,0.774638,0.081975,[ 8 23] ; [20 50],[ 8.59405941 22.40594059] ; [19.40594059 50.59405941],0
p3,1,0.822718,0.050198,[12 20] ; [25 46],[11.49514563 20.50485437] ; [25.50485437 45.49514563],0
p4,1,0.870085,0.026749,[17 15] ; [37 35],[16.61538462 15.38461538] ; [37.38461538 34.61538462],0
s1,1,0.940777,0.005519,[ 1 31] ; [ 2 68],[ 0.94117647 31.05882353] ; [ 2.05882353 67.94117647],0
d1,1,0.973881,0.001072,[15 17] ; [34 38],[15.07692308 16.92307692] ; [33.92307692 38.07692308],0
