Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,45.109608,[105 125] ; [96 19],[134.  96.] ; [67. 48.],1
b4,1,0.290163,1.118866,[127 105] ; [71 46],[131.6217765 100.3782235] ; [66.3782235 50.6217765],0
a3,1,0.300811,1.070594,[147  85] ; [80 36],[151.33333333  80.66666667] ; [75.66666667 40.33333333],0
p12,1,0.308972,1.035066,[ 10 221] ; [  8 108],[ 11.98270893 219.01729107] ; [  6.01729107 109.98270893],0
b1,1,0.312682,1.019313,[ 84 148] ; [36 81],[ 79.77077364 152.22922636] ; [40.22922636 76.77077364],0
b3,1,0.317077,1.000967,[46 85] ; [32 44],[49.36231884 81.63768116] ; [28.63768116 47.36231884],0
b2,1,0.317077,1.000967,[46 85] ; [32 44],[49.36231884 81.63768116] ; [28.63768116 47.36231884],0
r1,1,0.353283,0.861631,[167  64] ; [90 27],[170.59482759  60.40517241] ; [86.40517241 30.59482759],0
n3,1,0.353384,0.861269,[41 23] ; [20  7],[42.9010989 21.0989011] ; [18.0989011  8.9010989],0
a5,1,0.373138,0.793188,[164  68] ; [88 29],[167.51862464  64.48137536] ; [84.48137536 32.51862464],0
s4,1,0.393683,0.727538,[ 25 205] ; [16 98],[ 27.4127907 202.5872093] ; [ 13.5872093 100.4127907],0
d3,1,0.470212,0.521479,[151  81] ; [80 36],[154.  78.] ; [77. 39.],0
a4,1,0.476892,0.505962,[ 95 135] ; [53 64],[ 98.09798271 131.90201729] ; [49.90201729 67.09798271],0
a1,1,0.493197,0.469544,[ 10 222] ; [  7 110],[ 11.3008596 220.6991404] ; [  5.6991404 111.3008596],0
d1,1,0.498899,0.457278,[124 108] ; [67 50],[126.96848138 105.03151862] ; [64.03151862 52.96848138],0
u4,1,0.620609,0.245012,[  1 231] ; [  1 116],[  1.32951289 230.67048711] ; [  0.67048711 116.32951289],0
b5,1,0.710918,0.137362,[142  90] ; [74 43],[143.58739255  88.41260745] ; [72.41260745 44.58739255],0
a2,1,0.730453,0.118696,[ 44 188] ; [24 93],[ 45.2034384 186.7965616] ; [22.7965616 94.2034384],0
a6,1,0.789,0.071615,[156  76] ; [77 40],[154.88825215  77.11174785] ; [78.11174785 38.88825215],0
n1,1,0.878408,0.023405,[19 44] ; [ 8 20],[18.69230769 44.30769231] ; [ 8.30769231 19.69230769],0
d4,1,0.879708,0.022904,[186  45] ; [95 22],[186.52586207  44.47413793] ; [94.47413793 22.52586207],0
n5,1,0.912562,0.012058,[174  57] ; [88 28],[174.41498559  56.58501441] ; [87.58501441 28.41498559],0
a8,1,0.948216,0.004218,[ 25 183] ; [12 90],[ 24.82580645 183.17419355] ; [12.17419355 89.82580645],0
