Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,28.37026,[ 6 17] ; [57 10],[16.1  6.9] ; [46.9 20.1],1
p4,1,0.409895,0.679104,[12 12] ; [40 27],[13.71428571 10.28571429] ; [38.28571429 28.71428571],0
p6,1,0.47331,0.514237,[ 9 14] ; [32 35],[10.47777778 12.52222222] ; [30.52222222 36.47777778],0
d4,1,0.474549,0.511364,[18  6] ; [54 12],[19.2  4.8] ; [52.8 13.2],0
r2,1,0.487842,0.481283,[22  2] ; [63  3],[22.66666667  1.33333333] ; [62.33333333  3.66666667],0
a6,1,0.514438,0.42503,[16  8] ; [39 27],[14.66666667  9.33333333] ; [40.33333333 25.66666667],0
p3,1,0.536537,0.381996,[ 9 15] ; [30 37],[10.28571429 13.71428571] ; [28.71428571 38.28571429],0
b1,1,0.547578,0.361674,[13 11] ; [41 26],[14.24175824  9.75824176] ; [39.75824176 27.24175824],0
r3,1,0.572827,0.317975,[20  3] ; [61  6],[20.7  2.3] ; [60.3  6.7],0
a1,1,0.576639,0.3117,[ 1 23] ; [ 5 62],[ 1.58241758 22.41758242] ; [ 4.41758242 62.58241758],0
b5,1,0.611482,0.258022,[14 10] ; [43 24],[15.03296703  8.96703297] ; [41.96703297 25.03296703],0
d5,1,0.633553,0.227273,[20  4] ; [52 14],[19.2  4.8] ; [52.8 13.2],0
a3,1,0.635766,0.224323,[17  7] ; [50 16],[17.86666667  6.13333333] ; [49.13333333 16.86666667],0
p10,1,0.639055,0.21998,[16  7] ; [43 24],[15.07777778  7.92222222] ; [43.92222222 23.07777778],0
p1,1,0.641256,0.217103,[ 4 19] ; [ 9 58],[ 3.32222222 19.67777778] ; [ 9.67777778 57.32222222],0
a2,1,0.651726,0.203731,[ 6 18] ; [20 47],[ 6.85714286 17.14285714] ; [19.14285714 47.85714286],0
v4,1,0.688942,0.160233,[22  2] ; [63  4],[22.41758242  1.58241758] ; [62.58241758  4.41758242],0
s6,1,0.692903,0.155961,[19  5] ; [53 11],[19.63636364  4.36363636] ; [52.36363636 11.63636364],0
p8,1,0.731311,0.117912,[ 8 15] ; [26 41],[ 8.68888889 14.31111111] ; [25.31111111 41.68888889],0
p9,1,0.783361,0.075593,[18  4] ; [53 14],[17.5505618  4.4494382] ; [53.4494382 13.5505618],0
s5,1,0.842275,0.039595,[10 13] ; [28 33],[10.4047619 12.5952381] ; [27.5952381 33.4047619],0
v2,1,0.850845,0.035359,[12 10] ; [35 32],[11.61797753 10.38202247] ; [35.38202247 31.61797753],0
n3,1,0.850962,0.035303,[7 5] ; [16 10],[7.26315789 4.73684211] ; [15.73684211 10.26315789],0
v1,1,0.87105,0.026349,[13 11] ; [35 32],[12.65934066 11.34065934] ; [35.34065934 31.65934066],0
r4,1,0.907736,0.013432,[21  3] ; [58  9],[20.83516484  3.16483516] ; [58.16483516  8.83516484],0
s8,1,0.910156,0.012733,[15  9] ; [41 26],[14.76923077  9.23076923] ; [41.23076923 25.76923077],0
p12,1,0.94916,0.004066,[ 1 23] ; [ 3 64],[ 1.05494505 22.94505495] ; [ 2.94505495 64.05494505],0
p2,1,0.971209,0.001303,[18  6] ; [50 17],[17.93406593  6.06593407] ; [50.06593407 16.93406593],0
b4,1,0.991541,0.000112,[14 10] ; [39 28],[13.97802198 10.02197802] ; [39.02197802 27.97802198],0
