Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002351,9.253125,[13  4] ; [140 216],[ 6.97319035 10.02680965] ; [146.02680965 209.97319035],0
a7,1,0.305016,1.052133,[11  7] ; [258  99],[12.912  5.088] ; [256.088 100.912],0
p11,1,0.327237,0.959801,[14  4] ; [238 119],[12.096  5.904] ; [239.904 117.096],0
v4,1,0.351599,0.867677,[15  3] ; [320  35],[16.16621984  1.83378016] ; [318.83378016  36.16621984],0
a6,1,0.453426,0.562074,[14  4] ; [248 109],[12.576  5.424] ; [249.424 107.576],0
s3,1,0.486591,0.484056,[ 8 10] ; [186 166],[9.43783784 8.56216216] ; [184.56216216 167.43783784],0
d1,1,0.499193,0.456652,[13  5] ; [230 127],[11.664  6.336] ; [231.336 125.664],0
u3,1,0.527126,0.39993,[3 1] ; [58 40],[2.39215686 1.60784314] ; [58.60784314 39.39215686],0
r3,1,0.549246,0.35867,[16  2] ; [330  26],[16.65240642  1.34759358] ; [329.34759358  26.65240642],0
n4,1,0.554827,0.348741,[14  4] ; [254 102],[12.89839572  5.10160428] ; [255.10160428 100.89839572],0
s4,1,0.575697,0.313243,[ 2 15] ; [ 60 294],[ 2.84097035 14.15902965] ; [ 59.15902965 294.84097035],0
u1,1,0.60217,0.271736,[ 3 15] ; [ 78 279],[ 3.888 14.112] ; [ 77.112 279.888],0
b3,1,0.604935,0.267616,[ 5 10] ; [ 85 127],[5.94713656 9.05286344] ; [ 84.05286344 127.94713656],0
b2,1,0.604935,0.267616,[ 5 10] ; [ 85 127],[5.94713656 9.05286344] ; [ 84.05286344 127.94713656],0
s6,1,0.614671,0.253429,[12  6] ; [215 139],[10.98387097  7.01612903] ; [216.01612903 137.98387097],0
a3,1,0.621915,0.243186,[14  4] ; [258  98],[13.09090909  4.90909091] ; [258.90909091  97.09090909],0
r4,1,0.644471,0.212942,[14  4] ; [293  64],[14.736  3.264] ; [292.264  64.736],0
p6,1,0.646316,0.210576,[ 3 14] ; [ 79 274],[ 3.76756757 13.23243243] ; [ 78.23243243 274.76756757],0
u2,1,0.670314,0.181235,[2 2] ; [57 37],[2.40816327 1.59183673] ; [56.59183673 37.40816327],0
n1,1,0.680589,0.169464,[1 1] ; [42 75],[0.72268908 1.27731092] ; [42.27731092 74.72268908],0
v3,1,0.695193,0.153521,[ 5 12] ; [116 225],[ 5.74581006 11.25418994] ; [115.25418994 225.74581006],0
r1,1,0.726894,0.121982,[13  5] ; [270  86],[13.62032086  4.37967914] ; [269.37967914  86.62032086],0
s7,1,0.748347,0.102925,[8 9] ; [147 194],[7.3603352 9.6396648] ; [147.6396648 193.3603352],0
b5,1,0.755766,0.096749,[11  7] ; [231 126],[11.616  6.384] ; [230.384 126.616],0
a8,1,0.79969,0.064388,[ 2 13] ; [ 37 293],[ 1.69565217 13.30434783] ; [ 37.30434783 292.69565217],0
s8,1,0.85839,0.031835,[ 6 12] ; [126 230],[ 6.35294118 11.64705882] ; [125.64705882 230.35294118],0
n6,1,0.904731,0.014325,[14  4] ; [271  83],[13.79032258  4.20967742] ; [271.20967742  82.79032258],0
a5,1,0.942002,0.005293,[13  5] ; [255 102],[12.864  5.136] ; [255.136 101.864],0
v2,1,0.94466,0.004818,[9 8] ; [184 158],[9.13927577 7.86072423] ; [183.86072423 158.13927577],0
n3,1,0.949888,0.00395,[2 1] ; [80 37],[2.05 0.95] ; [79.95 37.05],0
a1,1,0.965698,0.001849,[ 1 17] ; [ 19 338],[ 0.96 17.04] ; [ 19.04 337.96],0
p12,1,0.970182,0.001397,[ 1 17] ; [ 19 336],[ 0.96514745 17.03485255] ; [ 19.03485255 335.96514745],0
n2,1,0.975412,0.00095,[2 1] ; [77 40],[1.975 1.025] ; [77.025 39.975],0
b4,1,0.984169,0.000394,[11  7] ; [219 138],[11.04  6.96] ; [218.96 138.04],0
