Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.526823,[ 86 197] ; [122  99],[116.79365079 166.20634921] ; [ 91.20634921 129.79365079],1
d2,1,0.480831,0.496978,[125 166] ; [105 123],[128.95953757 162.04046243] ; [101.04046243 126.95953757],0
d1,1,0.508293,0.43758,[149 143] ; [123 105],[152.73846154 139.26153846] ; [119.26153846 108.73846154],0
a7,1,0.516039,0.421802,[203  88] ; [165  63],[206.33526012  84.66473988] ; [161.66473988  66.33526012],0
b4,1,0.596911,0.279681,[161 131] ; [131  97],[163.96923077 128.03076923] ; [128.03076923  99.96923077],0
p11,1,0.603211,0.27018,[221  71] ; [177  51],[223.49230769  68.50769231] ; [174.50769231  53.49230769],0
s4,1,0.613893,0.254545,[ 55 233] ; [ 47 178],[ 57.26315789 230.73684211] ; [ 44.73684211 180.26315789],0
d3,1,0.70444,0.143894,[190 100] ; [153  75],[192.02702703  97.97297297] ; [150.97297297  77.02702703],0
s3,1,0.718725,0.129717,[151 141] ; [121 106],[153.0327553 138.9672447] ; [118.9672447 108.0327553],0
n3,1,0.745762,0.105127,[62 25] ; [34 12],[62.79699248 24.20300752] ; [33.20300752 12.79699248],0
u2,1,0.804452,0.061301,[57 54] ; [32 28],[57.77192982 53.22807018] ; [31.22807018 28.77192982],0
p1,1,0.853133,0.03427,[ 18 272] ; [ 15 212],[ 18.5106383 271.4893617] ; [ 14.4893617 212.5106383],0
s1,1,0.9009,0.015506,[ 11 280] ; [  8 216],[ 10.73592233 280.26407767] ; [  8.26407767 215.73592233],0
a6,1,0.956339,0.002997,[194  98] ; [152  76],[194.29230769  97.70769231] ; [151.70769231  76.29230769],0
a1,1,0.993718,6.2e-05,[  9 283] ; [  7 221],[  8.98461538 283.01538462] ; [  7.01538462 220.98461538],0
