Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.075021,[118  30] ; [12 21],[106.29834254  41.70165746] ; [23.70165746  9.29834254],1
s4,1,0.413067,0.669955,[ 21 124] ; [ 3 30],[ 19.5505618 125.4494382] ; [ 4.4494382 28.5505618],0
s3,1,0.414175,0.666785,[75 70] ; [14 18],[72.90960452 72.09039548] ; [16.09039548 15.90960452],0
s2,1,0.430514,0.621437,[71 76] ; [13 19],[68.98324022 78.01675978] ; [15.01675978 16.98324022],0
s7,1,0.438632,0.59986,[63 81] ; [12 21],[61.01694915 82.98305085] ; [13.98305085 19.01694915],0
d2,1,0.459902,0.546133,[60 89] ; [11 22],[58.12637363 90.87362637] ; [12.87362637 20.12637363],0
p5,1,0.533973,0.386826,[ 14 134] ; [ 2 31],[ 13.08287293 134.91712707] ; [ 2.91712707 30.08287293],0
b4,1,0.562381,0.335598,[85 64] ; [17 16],[83.50549451 65.49450549] ; [18.49450549 14.50549451],0
p12,1,0.662688,0.190275,[  7 140] ; [ 1 32],[  6.53333333 140.46666667] ; [ 1.46666667 31.53333333],0
p6,1,0.665596,0.186797,[51 98] ; [10 23],[49.93956044 99.06043956] ; [11.06043956 21.93956044],0
p1,1,0.683589,0.166114,[ 12 135] ; [ 2 31],[ 11.43333333 135.56666667] ; [ 2.56666667 30.43333333],0
n2,1,0.687423,0.16189,[29  5] ; [8 2],[28.59090909  5.40909091] ; [8.40909091 1.59090909],0
a2,1,0.694528,0.154227,[ 22 127] ; [ 4 29],[ 21.28571429 127.71428571] ; [ 4.71428571 28.28571429],0
v2,1,0.71376,0.13455,[72 71] ; [14 16],[71.0867052 71.9132948] ; [14.9132948 15.0867052],0
d5,1,0.718221,0.130204,[113  36] ; [26  7],[113.7967033  35.2032967] ; [25.2032967  7.7967033],0
p7,1,0.732614,0.116725,[102  42] ; [21 10],[101.21142857  42.78857143] ; [21.78857143  9.21142857],0
d3,1,0.774249,0.082266,[100  49] ; [23 10],[100.6978022  48.3021978] ; [22.3021978 10.6978022],0
b2,1,0.796615,0.066425,[25 56] ; [ 5 13],[24.54545455 56.45454545] ; [ 5.45454545 12.54545455],0
b3,1,0.796615,0.066425,[25 56] ; [ 5 13],[24.54545455 56.45454545] ; [ 5.45454545 12.54545455],0
n3,1,0.866236,0.028372,[24  9] ; [7 3],[23.79069767  9.20930233] ; [7.20930233 2.79069767],0
a7,1,0.880126,0.022744,[111  38] ; [25  8],[111.34065934  37.65934066] ; [24.65934066  8.34065934],0
p4,1,0.902895,0.014885,[73 74] ; [16 17],[72.68333333 74.31666667] ; [16.31666667 16.68333333],0
s8,1,0.903364,0.014741,[60 88] ; [13 20],[59.69060773 88.30939227] ; [13.30939227 19.69060773],0
a1,1,0.912456,0.012087,[  4 145] ; [ 1 32],[  4.09340659 144.90659341] ; [ 0.90659341 32.09340659],0
