Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,51.526062,[12 92] ; [116 101],[41.47040498 62.52959502] ; [ 86.52959502 130.47040498],1
n6,1,0.41272,0.670952,[78 26] ; [170  45],[80.85266458 23.14733542] ; [167.14733542  47.85266458],0
n3,1,0.423778,0.639815,[23  6] ; [45 18],[21.43478261  7.56521739] ; [46.56521739 16.43478261],0
n1,1,0.536705,0.381681,[ 9 20] ; [23 38],[10.31111111 18.68888889] ; [21.68888889 39.31111111],0
u2,1,0.548426,0.360144,[24 26] ; [27 23],[25.5 24.5] ; [25.5 24.5],0
r3,1,0.594989,0.28262,[97  6] ; [199  16],[95.87421384  7.12578616] ; [200.12578616  14.87421384],0
p6,1,0.633297,0.227616,[26 77] ; [ 60 156],[27.76802508 75.23197492] ; [ 58.23197492 157.76802508],0
b5,1,0.656246,0.198116,[65 39] ; [130  87],[63.17757009 40.82242991] ; [131.82242991  85.17757009],0
s3,1,0.676237,0.174393,[53 50] ; [116  99],[54.73899371 48.26100629] ; [114.26100629 100.73899371],0
u3,1,0.753033,0.099,[27 23] ; [28 21],[27.77777778 22.22222222] ; [27.22222222 21.77777778],0
p8,1,0.76767,0.087276,[47 56] ; [ 93 119],[45.77777778 57.22222222] ; [ 94.22222222 117.77777778],0
s2,1,0.769229,0.086074,[49 55] ; [ 98 118],[47.775 56.225] ; [ 99.225 116.775],0
p1,1,0.837246,0.042196,[ 6 96] ; [ 14 202],[ 6.41509434 95.58490566] ; [ 13.58490566 202.41509434],0
s1,1,0.892262,0.018345,[ 4 99] ; [  9 205],[ 4.22397476 98.77602524] ; [  8.77602524 205.22397476],0
a8,1,0.901122,0.015437,[12 87] ; [ 25 173],[12.33333333 86.66666667] ; [ 24.66666667 173.33333333],0
b1,1,0.954527,0.003252,[38 66] ; [ 80 137],[38.2305296 65.7694704] ; [ 79.7694704 137.2305296],0
p2,1,0.958978,0.002646,[79 24] ; [167  50],[79.18125 23.81875] ; [166.81875  50.18125],0
p11,1,0.972559,0.001183,[74 30] ; [154  63],[73.86915888 30.13084112] ; [154.13084112  62.86915888],0
