Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,120.551563,[259   9] ; [16 25],[238.51132686  29.48867314] ; [36.48867314  4.51132686],1
b3,1,0.679335,0.170875,[ 67 107] ; [10 19],[ 66. 108.] ; [11. 18.],0
d2,1,0.679718,0.170443,[153 115] ; [22 19],[151.77993528 116.22006472] ; [23.22006472 17.77993528],0
a2,1,0.70304,0.145328,[ 80 189] ; [11 30],[ 78.96451613 190.03548387] ; [12.03548387 28.96451613],0
a4,1,0.712793,0.135504,[129 139] ; [21 20],[130.09708738 137.90291262] ; [19.90291262 21.09708738],0
a1,1,0.719971,0.128521,[ 17 252] ; [ 2 39],[ 16.48709677 252.51290323] ; [ 2.51290323 38.48709677],0
a8,1,0.744721,0.10602,[ 33 206] ; [ 4 30],[ 32.39194139 206.60805861] ; [ 4.60805861 29.39194139],0
n1,1,0.745851,0.105051,[16 23] ; [6 7],[16.5 22.5] ; [5.5 7.5],0
d3,1,0.756903,0.095821,[204  65] ; [32  9],[204.78709677  64.21290323] ; [31.21290323  9.78709677],0
n3,1,0.812154,0.056477,[32  8] ; [10  3],[31.69811321  8.30188679] ; [10.30188679  2.69811321],0
s4,1,0.846069,0.037689,[ 37 230] ; [ 6 34],[ 37.39739414 229.60260586] ; [ 5.60260586 34.39739414],0
r2,1,0.917748,0.010665,[252  14] ; [39  2],[252.13680782  13.86319218] ; [38.86319218  2.13680782],0
