Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.920998,[144  41] ; [16 24],[131.55555556  53.44444444] ; [28.44444444 11.55555556],1
a2,1,0.436142,0.606411,[ 47 139] ; [ 8 33],[ 45.0660793 140.9339207] ; [ 9.9339207 31.0660793],0
n3,1,0.461679,0.54182,[29 12] ; [9 2],[29.96153846 11.03846154] ; [8.03846154 2.96153846],0
p2,1,0.488431,0.479981,[152  34] ; [30  9],[150.45333333  35.54666667] ; [31.54666667  7.45333333],0
n2,1,0.567741,0.326477,[29 11] ; [7 4],[28.23529412 11.76470588] ; [7.76470588 3.23529412],0
d5,1,0.581203,0.304293,[157  29] ; [36  5],[158.14096916  27.85903084] ; [34.85903084  6.14096916],0
r1,1,0.587061,0.294957,[152  34] ; [32  9],[150.76651982  35.23348018] ; [33.23348018  7.76651982],0
a6,1,0.630618,0.231224,[134  52] ; [28 13],[132.74008811  53.25991189] ; [29.25991189 11.74008811],0
b3,1,0.654322,0.200495,[45 77] ; [ 6 13],[44.12765957 77.87234043] ; [ 6.87234043 12.12765957],0
b2,1,0.654322,0.200495,[45 77] ; [ 6 13],[44.12765957 77.87234043] ; [ 6.87234043 12.12765957],0
a7,1,0.716577,0.131797,[136  49] ; [29 12],[135.06637168  49.93362832] ; [29.93362832 11.06637168],0
s2,1,0.729492,0.119579,[ 31 153] ; [ 6 35],[ 30.25777778 153.74222222] ; [ 6.74222222 34.25777778],0
u3,1,0.756992,0.095749,[28 28] ; [4 5],[27.56923077 28.43076923] ; [4.43076923 4.56923077],0
u2,1,0.757591,0.095262,[27 27] ; [5 4],[27.42857143 26.57142857] ; [4.57142857 4.42857143],0
a5,1,0.779149,0.07864,[140  46] ; [30 11],[139.29515419  46.70484581] ; [30.70484581 10.29515419],0
b5,1,0.792871,0.068951,[113  73] ; [24 17],[112.25550661  73.74449339] ; [24.74449339 16.25550661],0
p8,1,0.803116,0.062159,[94 88] ; [21 18],[94.70588235 87.29411765] ; [20.29411765 18.70588235],0
p5,1,0.813408,0.055711,[ 21 165] ; [ 4 36],[ 20.57522124 165.42477876] ; [ 4.42477876 35.57522124],0
p1,1,0.839974,0.040775,[ 12 174] ; [ 3 38],[ 12.2907489 173.7092511] ; [ 2.7092511 38.2907489],0
s4,1,0.926203,0.008579,[ 17 166] ; [ 4 37],[ 17.15625 165.84375] ; [ 3.84375 37.15625],0
