Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000231,13.561398,[11 68] ; [16 19],[18.71052632 60.28947368] ; [ 8.28947368 26.71052632],1
p8,1,0.475201,0.509858,[27 57] ; [14 22],[28.7 55.3] ; [12.3 23.7],0
a7,1,0.491065,0.474193,[56 28] ; [27 10],[57.61983471 26.38016529] ; [25.38016529 11.61983471],0
b2,1,0.498672,0.457761,[14 33] ; [ 8 13],[15.20588235 31.79411765] ; [ 6.79411765 14.20588235],0
b3,1,0.498672,0.457761,[14 33] ; [ 8 13],[15.20588235 31.79411765] ; [ 6.79411765 14.20588235],0
p6,1,0.500067,0.454794,[15 68] ; [ 8 26],[16.31623932 66.68376068] ; [ 6.68376068 27.31623932],0
d2,1,0.513896,0.426125,[27 58] ; [14 23],[28.56557377 56.43442623] ; [12.43442623 24.56557377],0
v4,1,0.529747,0.394876,[71 13] ; [32  4],[72.1 11.9] ; [30.9  5.1],0
r3,1,0.61892,0.247389,[73 12] ; [33  4],[73.85245902 11.14754098] ; [32.14754098  4.85245902],0
b5,1,0.641123,0.217277,[49 36] ; [23 14],[50.16393443 34.83606557] ; [21.83606557 15.16393443],0
p10,1,0.645863,0.211156,[40 43] ; [19 17],[41.1512605 41.8487395] ; [17.8487395 18.1512605],0
a2,1,0.647988,0.208446,[ 7 78] ; [ 4 33],[ 7.66393443 77.33606557] ; [ 3.33606557 33.66393443],0
s7,1,0.648587,0.207687,[15 65] ; [ 5 28],[14.15929204 65.84070796] ; [ 5.84070796 27.15929204],0
u3,1,0.654641,0.200099,[17 19] ; [5 4],[17.6 18.4] ; [4.4 4.6],0
s4,1,0.672411,0.178795,[ 9 76] ; [ 3 34],[ 8.36065574 76.63934426] ; [ 3.63934426 33.36065574],0
p9,1,0.718074,0.130346,[46 38] ; [21 15],[46.9 37.1] ; [20.1 15.9],0
n3,1,0.721761,0.126812,[18 10] ; [5 2],[18.4  9.6] ; [4.6 2.4],0
p7,1,0.762554,0.091282,[39 44] ; [18 18],[39.75630252 43.24369748] ; [17.24369748 18.75630252],0
u2,1,0.765538,0.088933,[18 18] ; [5 4],[18.4 17.6] ; [4.6 4.4],0
n1,1,0.771159,0.084599,[ 7 23] ; [2 5],[ 7.2972973 22.7027027] ; [1.7027027 5.2972973],0
n2,1,0.796602,0.066434,[15 14] ; [4 3],[15.30555556 13.69444444] ; [3.69444444 3.30555556],0
b4,1,0.976616,0.000859,[48 37] ; [21 16],[48.07377049 36.92622951] ; [20.92622951 16.07377049],0
a6,1,0.976616,0.000859,[48 37] ; [21 16],[48.07377049 36.92622951] ; [20.92622951 16.07377049],0
