Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3.9e-05,16.930063,[40 11] ; [ 7 17],[31.96 19.04] ; [15.04  8.96],1
s5,1,0.246808,1.341282,[ 9 39] ; [ 2 22],[ 7.33333333 40.66666667] ; [ 3.66666667 20.33333333],0
n5,1,0.275013,1.19157,[25 26] ; [15  9],[27.2 23.8] ; [12.8 11.2],0
n3,1,0.297156,1.086913,[15  7] ; [6 6],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
p11,1,0.315829,1.00614,[21 30] ; [ 7 17],[19.04 31.96] ; [ 8.96 15.04],0
n4,1,0.349881,0.873887,[26 25] ; [15  9],[27.88 23.12] ; [13.12 10.88],0
d3,1,0.362287,0.829951,[27 24] ; [10 14],[25.16 25.84] ; [11.84 12.16],0
s7,1,0.370474,0.802073,[13 35] ; [ 4 19],[11.49295775 36.50704225] ; [ 5.50704225 17.49295775],0
d4,1,0.381965,0.76437,[33 18] ; [13 11],[31.28 19.72] ; [14.72  9.28],0
a1,1,0.393575,0.727867,[ 5 46] ; [ 4 20],[ 6.12 44.88] ; [ 2.88 21.12],0
s1,1,0.440291,0.595524,[ 2 48] ; [ 2 22],[ 2.7027027 47.2972973] ; [ 1.2972973 22.7027027],0
a5,1,0.472699,0.515661,[21 30] ; [12 12],[22.44 28.56] ; [10.56 13.44],0
a2,1,0.517818,0.418237,[ 4 47] ; [ 3 21],[ 4.76 46.24] ; [ 2.24 21.76],0
a6,1,0.551567,0.354517,[26 25] ; [14 10],[27.2 23.8] ; [12.8 11.2],0
p5,1,0.557834,0.343469,[ 1 50] ; [ 1 22],[ 1.37837838 49.62162162] ; [ 0.62162162 22.37837838],0
d2,1,0.572578,0.318388,[23 28] ; [12 11],[24.12162162 26.87837838] ; [10.87837838 12.12162162],0
p12,1,0.580174,0.305953,[ 1 50] ; [ 1 23],[ 1.36 49.64] ; [ 0.64 23.36],0
s4,1,0.620548,0.245098,[11 40] ; [ 4 20],[10.2 40.8] ; [ 4.8 19.2],0
a3,1,0.627798,0.235059,[28 22] ; [12 12],[27.02702703 22.97297297] ; [12.97297297 11.02702703],0
d5,1,0.703671,0.144681,[30 21] ; [13 11],[29.24 21.76] ; [13.76 10.24],0
d1,1,0.72357,0.125098,[17 34] ; [ 9 15],[17.68 33.32] ; [ 8.32 15.68],0
a8,1,0.725355,0.123419,[ 3 46] ; [ 2 22],[ 3.35616438 45.64383562] ; [ 1.64383562 22.35616438],0
u1,1,0.757732,0.095148,[ 3 48] ; [ 1 23],[ 2.72 48.28] ; [ 1.28 22.72],0
v1,1,0.797759,0.065663,[12 37] ; [ 5 18],[11.56944444 37.43055556] ; [ 5.43055556 17.56944444],0
a4,1,0.805278,0.060773,[17 34] ; [ 7 16],[16.54054054 34.45945946] ; [ 7.45945946 15.54054054],0
b1,1,0.826324,0.048144,[29 22] ; [13 11],[28.56 22.44] ; [13.44 10.56],0
b5,1,0.839828,0.04085,[31 20] ; [14 10],[30.6 20.4] ; [14.4  9.6],0
b2,1,0.894275,0.017661,[10 22] ; [ 5 12],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
b3,1,0.894275,0.017661,[10 22] ; [ 5 12],[ 9.79591837 22.20408163] ; [ 5.20408163 11.79591837],0
a7,1,0.904391,0.014428,[22 29] ; [10 14],[21.76 29.24] ; [10.24 13.76],0
v3,1,0.986843,0.000272,[11 40] ; [ 5 18],[11.02702703 39.97297297] ; [ 4.97297297 18.02702703],0
n1,1,1.0,0.0,[ 7 14] ; [4 8],[ 7. 14.] ; [4. 8.],0
