Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,4.2e-05,16.78193,[45 14] ; [ 9 20],[36.20454545 22.79545455] ; [17.79545455 11.20454545],1
p4,1,0.226376,1.463489,[18 39] ; [13 16],[20.54651163 36.45348837] ; [10.45348837 18.54651163],0
p3,1,0.249544,1.325853,[24 34] ; [ 8 20],[21.58139535 36.41860465] ; [10.41860465 17.58139535],0
s4,1,0.287803,1.12987,[12 46] ; [ 9 20],[14. 44.] ; [ 7. 22.],0
d2,1,0.288505,1.126586,[31 27] ; [12 17],[28.66666667 29.33333333] ; [14.33333333 14.66666667],0
p8,1,0.301224,1.068766,[16 43] ; [11 18],[18.10227273 40.89772727] ; [ 8.89772727 20.10227273],0
r2,1,0.306461,1.045868,[53  4] ; [25  4],[51.69767442  5.30232558] ; [26.30232558  2.69767442],0
a4,1,0.313647,1.015256,[27 32] ; [10 19],[24.80681818 34.19318182] ; [12.19318182 16.80681818],0
v4,1,0.345738,0.889037,[53  6] ; [24  5],[51.625  7.375] ; [25.375  3.625],0
a6,1,0.355722,0.852941,[36 22] ; [15 14],[34. 24.] ; [17. 12.],0
u2,1,0.359339,0.840201,[11  8] ; [4 6],[9.82758621 9.17241379] ; [5.17241379 4.82758621],0
s1,1,0.469099,0.524096,[ 2 56] ; [ 2 27],[ 2.66666667 55.33333333] ; [ 1.33333333 27.66666667],0
n1,1,0.472423,0.516303,[5 9] ; [ 3 10],[4.14814815 9.85185185] ; [3.85185185 9.14814815],0
p12,1,0.499304,0.456416,[ 7 52] ; [ 2 26],[ 6.10344828 52.89655172] ; [ 2.89655172 25.10344828],0
s6,1,0.516147,0.421585,[40 19] ; [17 11],[38.65517241 20.34482759] ; [18.34482759  9.65517241],0
v3,1,0.524902,0.404251,[27 31] ; [11 17],[25.62790698 32.37209302] ; [12.37209302 15.62790698],0
p5,1,0.525721,0.402656,[ 4 55] ; [ 1 28],[ 3.35227273 55.64772727] ; [ 1.64772727 27.35227273],0
d3,1,0.536312,0.382418,[36 22] ; [16 13],[34.66666667 23.33333333] ; [17.33333333 11.66666667],0
d4,1,0.547121,0.3625,[49  9] ; [23  6],[48. 10.] ; [24.  5.],0
s5,1,0.583567,0.300504,[17 40] ; [10 18],[18.10588235 38.89411765] ; [ 8.89411765 19.10588235],0
b3,1,0.614097,0.254252,[13 29] ; [5 8],[13.74545455 28.25454545] ; [4.25454545 8.74545455],0
b2,1,0.614097,0.254252,[13 29] ; [5 8],[13.74545455 28.25454545] ; [4.25454545 8.74545455],0
b4,1,0.690364,0.158692,[34 25] ; [18 11],[34.86363636 24.13636364] ; [17.13636364 11.86363636],0
s3,1,0.706652,0.141644,[31 28] ; [14 15],[30.17045455 28.82954545] ; [14.82954545 14.17045455],0
b5,1,0.710883,0.137397,[35 24] ; [16 13],[34.19318182 24.80681818] ; [16.80681818 12.19318182],0
p1,1,0.730014,0.119099,[ 3 56] ; [ 2 27],[ 3.35227273 55.64772727] ; [ 1.64772727 27.35227273],0
p6,1,0.799569,0.064468,[16 42] ; [ 7 21],[15.51162791 42.48837209] ; [ 7.48837209 20.51162791],0
a5,1,0.830045,0.046072,[42 17] ; [20  9],[41.56818182 17.43181818] ; [20.43181818  8.56818182],0
d5,1,0.857016,0.032463,[45 13] ; [22  7],[44.66666667 13.33333333] ; [22.33333333  6.66666667],0
v1,1,0.879098,0.023138,[27 31] ; [13 16],[26.66666667 31.33333333] ; [13.33333333 15.66666667],0
a3,1,0.956642,0.002956,[39 20] ; [19 10],[38.88636364 20.11363636] ; [19.11363636  9.88636364],0
r3,1,0.983686,0.000418,[55  4] ; [27  2],[54.97727273  4.02272727] ; [27.02272727  1.97727273],0
u3,1,1.0,0.0,[12  8] ; [6 4],[12.  8.] ; [6. 4.],0
