Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,6e-06,20.634833,[ 6 27] ; [25  9],[15.26865672 17.73134328] ; [15.73134328 18.26865672],1
p5,1,0.527359,0.399477,[ 4 29] ; [ 3 36],[ 3.20833333 29.79166667] ; [ 3.79166667 35.20833333],0
a1,1,0.532152,0.39028,[ 4 30] ; [ 3 37],[ 3.21621622 30.78378378] ; [ 3.78378378 36.21621622],0
p8,1,0.533342,0.388019,[12 21] ; [17 22],[13.29166667 19.70833333] ; [15.70833333 23.29166667],0
p7,1,0.601781,0.272318,[14 18] ; [19 19],[15.08571429 16.91428571] ; [17.91428571 20.08571429],0
b1,1,0.640839,0.217647,[16 18] ; [21 19],[17. 17.] ; [20. 20.],0
s1,1,0.760066,0.093266,[ 2 32] ; [ 3 36],[ 2.32876712 31.67123288] ; [ 2.67123288 36.32876712],0
a8,1,0.783706,0.075347,[ 3 29] ; [ 4 31],[ 3.34328358 28.65671642] ; [ 3.65671642 31.34328358],0
b5,1,0.800069,0.064139,[22 12] ; [27 13],[22.51351351 11.48648649] ; [26.48648649 13.51351351],0
b4,1,0.800069,0.064139,[22 12] ; [27 13],[22.51351351 11.48648649] ; [26.48648649 13.51351351],0
u3,1,0.821348,0.050991,[7 7] ; [5 6],[6.72 7.28] ; [5.28 5.72],0
r2,1,0.842908,0.039273,[31  2] ; [38  2],[31.19178082  1.80821918] ; [37.80821918  2.19178082],0
p1,1,0.860658,0.030813,[ 3 31] ; [ 3 36],[ 2.79452055 31.20547945] ; [ 3.20547945 35.79452055],0
b2,1,0.91483,0.011438,[ 5 12] ; [ 5 13],[ 4.85714286 12.14285714] ; [ 5.14285714 12.85714286],0
b3,1,0.91483,0.011438,[ 5 12] ; [ 5 13],[ 4.85714286 12.14285714] ; [ 5.14285714 12.85714286],0
v4,1,0.923169,0.009301,[30  4] ; [35  5],[29.86486486  4.13513514] ; [35.13513514  4.86486486],0
s4,1,0.986782,0.000274,[ 6 28] ; [ 7 33],[ 5.97297297 28.02702703] ; [ 7.02702703 32.97297297],0
