Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.3e-05,17.248,[ 6 24] ; [19  6],[13.63636364 16.36363636] ; [11.36363636 13.63636364],1
r4,1,0.219475,1.507801,[ 7 23] ; [10 16],[ 9.10714286 20.89285714] ; [ 7.89285714 18.10714286],0
b5,1,0.283818,1.148718,[13 17] ; [15 11],[15. 15.] ; [13. 13.],0
d1,1,0.327231,0.959824,[10 20] ; [12 14],[11.78571429 18.21428571] ; [10.21428571 15.78571429],0
r1,1,0.327231,0.959824,[10 20] ; [12 14],[11.78571429 18.21428571] ; [10.21428571 15.78571429],0
b4,1,0.332762,0.93812,[17 13] ; [18  8],[18.75 11.25] ; [16.25  9.75],0
p4,1,0.35131,0.868718,[ 7 23] ; [ 9 17],[ 8.57142857 21.42857143] ; [ 7.42857143 18.57142857],0
b3,1,0.356356,0.850694,[11 13] ; [ 5 11],[ 9.6 14.4] ; [6.4 9.6],0
b2,1,0.356356,0.850694,[11 13] ; [ 5 11],[ 9.6 14.4] ; [6.4 9.6],0
a5,1,0.386358,0.750372,[15 15] ; [16 10],[16.60714286 13.39285714] ; [14.39285714 11.60714286],0
a3,1,0.440219,0.595712,[16 13] ; [17  9],[17.4 11.6] ; [15.6 10.4],0
b1,1,0.452808,0.563613,[18 12] ; [13 13],[16.60714286 13.39285714] ; [14.39285714 11.60714286],0
d3,1,0.452808,0.563613,[12 18] ; [13 13],[13.39285714 16.60714286] ; [11.60714286 14.39285714],0
a8,1,0.462433,0.54,[ 4 26] ; [ 5 19],[ 5. 25.] ; [ 4. 20.],0
a2,1,0.496078,0.463316,[ 4 26] ; [ 2 24],[ 3.21428571 26.78571429] ; [ 2.78571429 23.21428571],0
d2,1,0.504166,0.446157,[13 16] ; [14 12],[14.23636364 14.76363636] ; [12.76363636 13.23636364],0
n4,1,0.504785,0.444863,[21  9] ; [16 10],[19.82142857 10.17857143] ; [17.17857143  8.82142857],0
s5,1,0.505758,0.442834,[ 4 26] ; [ 5 20],[ 4.90909091 25.09090909] ; [ 4.09090909 20.90909091],0
r2,1,0.522829,0.408308,[17 11] ; [13 12],[15.8490566 12.1509434] ; [14.1509434 10.8490566],0
p6,1,0.537302,0.380564,[ 3 26] ; [ 4 21],[ 3.75925926 25.24074074] ; [ 3.24074074 21.75925926],0
p3,1,0.547066,0.3626,[ 5 25] ; [ 6 20],[ 5.89285714 24.10714286] ; [ 5.10714286 20.89285714],0
a4,1,0.550944,0.355629,[10 19] ; [11 15],[11.07272727 17.92727273] ; [ 9.92727273 16.07272727],0
p1,1,0.584419,0.299145,[ 5 25] ; [ 3 23],[ 4.28571429 25.71428571] ; [ 3.71428571 22.28571429],0
a7,1,0.592034,0.287179,[16 14] ; [12 14],[15. 15.] ; [13. 13.],0
a6,1,0.617859,0.248889,[13 17] ; [13 13],[13.92857143 16.07142857] ; [12.07142857 13.92857143],0
n5,1,0.666417,0.185822,[19 11] ; [15 11],[18.21428571 11.78571429] ; [15.78571429 10.21428571],0
n2,1,0.789561,0.071225,[8 8] ; [4 5],[7.68 8.32] ; [4.32 4.68],0
n1,1,0.789561,0.071225,[8 8] ; [4 5],[7.68 8.32] ; [4.32 4.68],0
s3,1,0.812864,0.056043,[ 7 22] ; [ 7 19],[ 7.38181818 21.61818182] ; [ 6.61818182 19.38181818],0
v1,1,0.821154,0.051103,[ 8 22] ; [ 6 19],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
s4,1,0.839488,0.041026,[ 4 26] ; [ 3 23],[ 3.75 26.25] ; [ 3.25 22.75],0
v3,1,0.867259,0.027936,[ 4 25] ; [ 4 22],[ 4.21818182 24.78181818] ; [ 3.78181818 22.21818182],0
s1,1,0.881846,0.022091,[ 2 28] ; [ 2 24],[ 2.14285714 27.85714286] ; [ 1.85714286 24.14285714],0
p12,1,0.89537,0.017296,[ 1 29] ; [ 1 24],[ 1.09090909 28.90909091] ; [ 0.90909091 24.09090909],0
