Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000532,12.0,[ 2 30] ; [14 18],[ 8. 24.] ; [ 8. 24.],1
b1,1,0.530895,0.392678,[14 18] ; [17 16],[15.26153846 16.73846154] ; [15.73846154 17.26153846],0
a4,1,0.530895,0.392678,[14 18] ; [17 16],[15.26153846 16.73846154] ; [15.73846154 17.26153846],0
p5,1,0.536239,0.382555,[ 2 30] ; [ 1 32],[ 1.47692308 30.52307692] ; [ 1.52307692 31.47692308],0
u3,1,0.632585,0.228571,[11  3] ; [7 3],[10.5  3.5] ; [7.5 2.5],0
u2,1,0.632585,0.228571,[11  3] ; [7 3],[10.5  3.5] ; [7.5 2.5],0
a8,1,0.695508,0.153187,[ 3 29] ; [ 2 28],[ 2.58064516 29.41935484] ; [ 2.41935484 27.58064516],0
d4,1,0.698885,0.149634,[26  6] ; [28  5],[26.58461538  5.41538462] ; [27.41538462  5.58461538],0
s7,1,0.706873,0.141421,[17 15] ; [15 16],[16.25396825 15.74603175] ; [15.74603175 15.25396825],0
p2,1,0.709782,0.138494,[25  7] ; [27  6],[25.6  6.4] ; [26.4  6.6],0
s6,1,0.720894,0.127637,[19 12] ; [21 11],[19.68253968 11.31746032] ; [20.31746032 11.68253968],0
s4,1,0.724488,0.124233,[10 22] ; [ 9 24],[ 9.35384615 22.64615385] ; [ 9.64615385 23.35384615],0
n2,1,0.727943,0.121008,[11  4] ; [6 3],[10.625  4.375] ; [6.375 2.625],0
n1,1,0.743971,0.106667,[6 9] ; [3 6],[5.625 9.375] ; [3.375 5.625],0
s5,1,0.751696,0.100111,[11 18] ; [13 18],[11.6 17.4] ; [12.4 18.6],0
n3,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
p7,1,0.946301,0.004536,[24  7] ; [25  7],[24.11111111  6.88888889] ; [24.88888889  7.11111111],0
a1,1,0.974659,0.001009,[ 2 30] ; [ 2 31],[ 1.96923077 30.03076923] ; [ 2.03076923 30.96923077],0
v4,1,0.974659,0.001009,[30  2] ; [31  2],[30.03076923  1.96923077] ; [30.96923077  2.03076923],0
