Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.003288,8.640097,[15 10] ; [12 36],[ 9.24657534 15.75342466] ; [17.75342466 30.24657534],0
p10,1,0.737301,0.112513,[ 6 19] ; [13 34],[ 6.59722222 18.40277778] ; [12.40277778 34.59722222],0
r3,1,0.739306,0.110738,[23  2] ; [43  5],[22.60273973  2.39726027] ; [43.39726027  4.60273973],0
a3,1,0.740537,0.109655,[13 12] ; [23 25],[12.32876712 12.67123288] ; [23.67123288 24.32876712],0
d5,1,0.756292,0.096319,[19  6] ; [38 10],[19.52054795  5.47945205] ; [37.47945205 10.52054795],0
a6,1,0.758391,0.094614,[15 10] ; [27 21],[14.38356164 10.61643836] ; [27.61643836 20.38356164],0
p2,1,0.775718,0.08117,[19  6] ; [35 13],[18.49315068  6.50684932] ; [35.50684932 12.49315068],0
a7,1,0.802314,0.062677,[17  8] ; [34 14],[17.46575342  7.53424658] ; [33.53424658 14.46575342],0
p3,1,0.804489,0.061277,[13 12] ; [23 24],[12.5 12.5] ; [23.5 23.5],0
v4,1,0.837177,0.042232,[22  3] ; [43  5],[22.26027397  2.73972603] ; [42.73972603  5.26027397],0
a4,1,0.846133,0.037657,[ 8 17] ; [14 33],[ 7.63888889 17.36111111] ; [14.36111111 32.63888889],0
n3,1,0.857561,0.032213,[4 2] ; [12  5],[4.17391304 1.82608696] ; [11.82608696  5.17391304],0
p7,1,0.865081,0.028869,[14 10] ; [29 19],[14.33333333  9.66666667] ; [28.66666667 19.33333333],0
d4,1,0.947809,0.004285,[17  8] ; [33 15],[17.12328767  7.87671233] ; [32.87671233 15.12328767],0
r2,1,0.950833,0.003802,[22  3] ; [42  6],[21.91780822  3.08219178] ; [42.08219178  5.91780822],0
d2,1,0.994604,4.6e-05,[12 13] ; [23 25],[11.98630137 13.01369863] ; [23.01369863 24.98630137],0
