Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.020094,5.403745,[10 21] ; [13 82],[ 5.65873016 25.34126984] ; [17.34126984 77.65873016],0
a6,1,0.664368,0.188261,[18 13] ; [52 45],[16.953125 14.046875] ; [53.046875 43.953125],0
d4,1,0.697845,0.150724,[21 10] ; [62 35],[20.1015625 10.8984375] ; [62.8984375 34.1015625],0
p1,1,0.735208,0.114383,[ 2 29] ; [ 8 88],[ 2.44094488 28.55905512] ; [ 7.55905512 88.44094488],0
n5,1,0.75379,0.098374,[18 13] ; [60 38],[18.74418605 12.25581395] ; [59.25581395 38.74418605],0
p7,1,0.75379,0.098374,[13 18] ; [38 60],[12.25581395 18.74418605] ; [38.74418605 59.25581395],0
b2,1,0.753945,0.098246,[ 7 13] ; [20 44],[ 6.42857143 13.57142857] ; [20.57142857 43.42857143],0
b3,1,0.753945,0.098246,[ 7 13] ; [20 44],[ 6.42857143 13.57142857] ; [20.57142857 43.42857143],0
n6,1,0.784649,0.074674,[18 13] ; [59 38],[18.6484375 12.3515625] ; [58.3515625 38.6484375],0
p9,1,0.798767,0.064996,[10 20] ; [29 65],[ 9.43548387 20.56451613] ; [29.56451613 64.43548387],0
s4,1,0.814263,0.055192,[ 5 25] ; [18 79],[ 5.43307087 24.56692913] ; [17.56692913 79.43307087],0
s7,1,0.828462,0.046948,[ 8 21] ; [23 67],[ 7.55462185 21.44537815] ; [23.44537815 66.55462185],0
d5,1,0.86985,0.026846,[20 11] ; [61 36],[19.6171875 11.3828125] ; [61.3828125 35.6171875],0
p2,1,0.888045,0.019818,[16 15] ; [52 46],[16.34108527 14.65891473] ; [51.65891473 46.34108527],0
s8,1,0.913468,0.011808,[ 5 25] ; [17 80],[ 5.19685039 24.80314961] ; [16.80314961 80.19685039],0
s1,1,0.919245,0.010279,[ 3 28] ; [10 87],[ 3.1484375 27.8515625] ; [ 9.8515625 87.1484375],0
b4,1,0.979505,0.00066,[17 14] ; [54 44],[17.0620155 13.9379845] ; [53.9379845 44.0620155],0
d3,1,0.994853,4.2e-05,[16 15] ; [50 47],[15.984375 15.015625] ; [50.015625 46.984375],0
