Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,27.180528,[ 5 23] ; [52 17],[16.45360825 11.54639175] ; [40.54639175 28.45360825],1
a4,1,0.608059,0.263011,[13 15] ; [36 33],[14.1443299 13.8556701] ; [34.8556701 34.1443299],0
n5,1,0.609774,0.260504,[21  7] ; [55 14],[21.93814433  6.06185567] ; [54.06185567 14.93814433],0
d5,1,0.620609,0.245012,[25  3] ; [59 10],[24.24742268  3.75257732] ; [59.75257732  9.24742268],0
p6,1,0.656444,0.197872,[18 10] ; [41 28],[17.03092784 10.96907216] ; [41.96907216 27.03092784],0
p9,1,0.677935,0.172459,[23  5] ; [59 10],[23.67010309  4.32989691] ; [58.32989691 10.67010309],0
d4,1,0.708814,0.139464,[24  4] ; [57 12],[23.3814433  4.6185567] ; [57.6185567 11.3814433],0
p2,1,0.715241,0.133098,[24  4] ; [61  8],[24.53608247  3.46391753] ; [60.46391753  8.53608247],0
s3,1,0.717038,0.131348,[20  8] ; [51 17],[20.70833333  7.29166667] ; [50.29166667 17.70833333],0
u3,1,0.806824,0.059792,[6 4] ; [11  6],[6.2962963 3.7037037] ; [10.7037037  6.2962963],0
r3,1,0.816609,0.053782,[26  2] ; [64  4],[26.25  1.75] ; [63.75  4.25],0
p10,1,0.817864,0.053035,[23  5] ; [58 11],[23.3814433  4.6185567] ; [57.6185567 11.3814433],0
b2,1,0.823368,0.049825,[ 4 15] ; [ 9 29],[ 4.33333333 14.66666667] ; [ 8.66666667 29.33333333],0
b3,1,0.823368,0.049825,[ 4 15] ; [ 9 29],[ 4.33333333 14.66666667] ; [ 8.66666667 29.33333333],0
d1,1,0.869,0.027202,[19  9] ; [48 21],[19.34020619  8.65979381] ; [47.65979381 21.34020619],0
p5,1,0.870727,0.026483,[ 4 24] ; [ 9 60],[ 3.75257732 24.24742268] ; [ 9.24742268 59.75257732],0
p11,1,0.970108,0.001404,[21  7] ; [52 17],[21.07216495  6.92783505] ; [51.92783505 17.07216495],0
