Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,76.922117,[100   6] ; [29 55],[71.96842105 34.03157895] ; [57.03157895 26.96842105],1
v4,1,0.28721,1.132652,[103   3] ; [79  5],[101.53684211   4.46315789] ; [80.46315789  3.53684211],0
n6,1,0.298869,1.079235,[93 12] ; [70 14],[90.55555556 14.44444444] ; [72.44444444 11.55555556],0
p12,1,0.317054,1.001059,[  5 100] ; [ 7 77],[ 6.66666667 98.33333333] ; [ 5.33333333 78.66666667],0
s4,1,0.333752,0.934284,[13 89] ; [ 7 77],[10.96774194 91.03225806] ; [ 9.03225806 74.96774194],0
p2,1,0.376124,0.783331,[92 14] ; [69 15],[89.82105263 16.17894737] ; [71.17894737 12.82105263],0
b1,1,0.378801,0.77459,[40 66] ; [37 47],[42.95789474 63.04210526] ; [34.04210526 49.95789474],0
p6,1,0.385607,0.752749,[50 53] ; [35 48],[47.06989247 55.93010753] ; [37.93010753 45.06989247],0
n5,1,0.395826,0.720969,[82 24] ; [59 23],[79.5 26.5] ; [61.5 20.5],0
a7,1,0.435216,0.608862,[81 25] ; [60 24],[78.66315789 27.33684211] ; [62.33684211 21.66315789],0
a8,1,0.436896,0.604421,[12 71] ; [ 8 69],[10.375 72.625] ; [ 9.625 67.375],0
v3,1,0.447079,0.578047,[46 59] ; [31 50],[43.46774194 61.53225806] ; [33.53225806 47.46774194],0
s1,1,0.462647,0.539482,[  2 104] ; [ 3 80],[  2.8042328 103.1957672] ; [ 2.1957672 80.8042328],0
r2,1,0.465513,0.532606,[99  6] ; [76  7],[97.7393617  7.2606383] ; [77.2606383  5.7393617],0
s6,1,0.470914,0.519831,[55 49] ; [39 43],[52.55913978 51.44086022] ; [41.44086022 40.55913978],0
n3,1,0.475624,0.508881,[13  5] ; [14  3],[13.88571429  4.11428571] ; [13.11428571  3.88571429],0
a1,1,0.477038,0.505627,[  5 101] ; [ 6 78],[ 6.13684211 99.86315789] ; [ 4.86315789 79.13684211],0
p4,1,0.487358,0.482354,[84 22] ; [63 21],[82.01052632 23.98947368] ; [64.98947368 19.01052632],0
p11,1,0.546193,0.364181,[82 24] ; [68 16],[83.68421053 22.31578947] ; [66.31578947 17.68421053],0
s2,1,0.593259,0.285283,[18 87] ; [12 72],[16.66666667 88.33333333] ; [13.33333333 70.66666667],0
p1,1,0.603192,0.270208,[ 9 97] ; [ 9 75],[10.04210526 95.95789474] ; [ 7.95789474 76.04210526],0
p9,1,0.651113,0.2045,[91 14] ; [70 13],[89.92021277 15.07978723] ; [71.07978723 11.92021277],0
u3,1,0.703651,0.144702,[13 10] ; [18 17],[12.29310345 10.70689655] ; [18.70689655 16.29310345],0
b4,1,0.764441,0.089793,[57 49] ; [47 37],[58.02105263 47.97894737] ; [45.97894737 38.02105263],0
p5,1,0.767854,0.087133,[16 90] ; [14 70],[16.73684211 89.26315789] ; [13.26315789 70.73684211],0
r4,1,0.845573,0.037936,[95 11] ; [76  8],[95.4 10.6] ; [75.6  8.4],0
b2,1,0.868449,0.027433,[27 40] ; [19 30],[26.56896552 40.43103448] ; [19.43103448 29.56896552],0
b3,1,0.868449,0.027433,[27 40] ; [19 30],[26.56896552 40.43103448] ; [19.43103448 29.56896552],0
r3,1,0.883785,0.021367,[99  7] ; [78  6],[98.74736842  7.25263158] ; [78.25263158  5.74736842],0
n1,1,0.91483,0.011438,[ 5 13] ; [ 5 12],[ 5.14285714 12.85714286] ; [ 4.85714286 12.14285714],0
