Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.310059,[69 32] ; [ 9 27],[57.50364964 43.49635036] ; [20.49635036 15.50364964],1
s8,1,0.761341,0.092246,[48 54] ; [18 18],[48.7826087 53.2173913] ; [17.2173913 18.7826087],0
a4,1,0.782458,0.076241,[45 56] ; [17 19],[45.7080292 55.2919708] ; [16.2919708 19.7080292],0
u3,1,0.851038,0.035266,[21 12] ; [8 4],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
u2,1,0.853364,0.034161,[17 15] ; [6 6],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
p6,1,0.88342,0.021502,[32 68] ; [12 24],[32.35294118 67.64705882] ; [11.64705882 24.35294118],0
v2,1,0.886508,0.02037,[52 44] ; [20 16],[52.36363636 43.63636364] ; [19.63636364 16.36363636],0
s7,1,0.92535,0.008779,[55 39] ; [19 14],[54.77165354 39.22834646] ; [19.22834646 13.77165354],0
a5,1,0.927497,0.00828,[70 32] ; [25 11],[70.2173913 31.7826087] ; [24.7826087 11.2173913],0
p12,1,0.953024,0.00347,[ 3 98] ; [ 1 35],[ 2.94890511 98.05109489] ; [ 1.05109489 34.94890511],0
s4,1,0.953655,0.003378,[26 76] ; [ 9 27],[25.86956522 76.13043478] ; [ 9.13043478 26.86956522],0
u4,1,0.95993,0.002524,[ 3 99] ; [ 1 35],[ 2.95652174 99.04347826] ; [ 1.04347826 34.95652174],0
a3,1,0.971281,0.001296,[67 34] ; [24 12],[67.08759124 33.91240876] ; [23.91240876 12.08759124],0
s2,1,1.0,0.0,[68 34] ; [24 12],[68. 34.] ; [24. 12.],0
