Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.013875,6.053915,[ 3 45] ; [4 9],[ 5.50819672 42.49180328] ; [ 1.49180328 11.50819672],0
p3,1,0.559305,0.340909,[12 36] ; [4 8],[12.8 35.2] ; [3.2 8.8],0
a3,1,0.561715,0.336744,[27 20] ; [8 4],[27.88135593 19.11864407] ; [7.11864407 4.88135593],0
b1,1,0.571001,0.321011,[30 18] ; [7 6],[29.1147541 18.8852459] ; [7.8852459 5.1147541],0
p12,1,0.602047,0.27192,[ 2 46] ; [ 1 12],[ 2.36065574 45.63934426] ; [ 0.63934426 12.36065574],0
d3,1,0.607826,0.263352,[22 26] ; [7 6],[22.81967213 25.18032787] ; [6.18032787 6.81967213],0
a2,1,0.618113,0.248529,[ 5 43] ; [ 2 11],[ 5.50819672 42.49180328] ; [ 1.49180328 11.50819672],0
u3,1,0.618757,0.247619,[ 6 15] ; [2 3],[ 6.46153846 14.53846154] ; [1.53846154 3.46153846],0
v2,1,0.653122,0.201986,[ 9 38] ; [3 9],[ 9.55932203 37.44067797] ; [2.44067797 9.55932203],0
p10,1,0.7108,0.13748,[19 28] ; [6 7],[19.58333333 27.41666667] ; [5.41666667 7.58333333],0
s1,1,0.769833,0.085611,[ 5 43] ; [ 1 12],[ 4.72131148 43.27868852] ; [ 1.27868852 11.72131148],0
p1,1,0.769833,0.085611,[ 5 43] ; [ 1 12],[ 4.72131148 43.27868852] ; [ 1.27868852 11.72131148],0
u2,1,0.778244,0.079303,[ 7 14] ; [2 3],[ 7.26923077 13.73076923] ; [1.73076923 3.26923077],0
n3,1,0.781745,0.076754,[12 15] ; [4 4],[12.34285714 14.65714286] ; [3.65714286 4.34285714],0
a1,1,0.784612,0.074701,[ 6 42] ; [ 2 11],[ 6.29508197 41.70491803] ; [ 1.70491803 11.29508197],0
r2,1,0.78722,0.072858,[30 16] ; [9 4],[30.40677966 15.59322034] ; [8.59322034 4.40677966],0
p2,1,0.790602,0.070505,[18 30] ; [5 7],[18.4 29.6] ; [4.6 7.4],0
a5,1,0.805635,0.060546,[24 24] ; [7 6],[24.39344262 23.60655738] ; [6.60655738 6.39344262],0
p7,1,0.921373,0.009743,[16 30] ; [4 7],[16.14035088 29.85964912] ; [3.85964912 7.14035088],0
a4,1,0.925222,0.008809,[15 32] ; [4 8],[15.13559322 31.86440678] ; [3.86440678 8.13559322],0
p4,1,0.945481,0.004676,[14 33] ; [4 9],[14.1 32.9] ; [3.9 9.1],0
n5,1,0.973512,0.001103,[33 15] ; [9 4],[33.04918033 14.95081967] ; [8.95081967 4.04918033],0
a6,1,0.983587,0.000423,[22 26] ; [6 7],[22.03278689 25.96721311] ; [5.96721311 7.03278689],0
p5,1,0.984296,0.000387,[ 4 43] ; [ 1 11],[ 3.98305085 43.01694915] ; [ 1.01694915 10.98305085],0
