Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.000723,11.428571,[7 3] ; [ 2 18],[3. 7.] ; [ 6. 14.],1
u1,1,0.541907,0.372016,[ 2 22] ; [ 2 41],[ 1.43283582 22.56716418] ; [ 2.56716418 40.43283582],0
b4,1,0.547883,0.361124,[11 13] ; [23 20],[12.17910448 11.82089552] ; [21.82089552 21.17910448],0
d3,1,0.56249,0.335411,[ 8 15] ; [12 31],[ 6.96969697 16.03030303] ; [13.03030303 29.96969697],0
n6,1,0.677248,0.173241,[21  3] ; [36  7],[20.41791045  3.58208955] ; [36.58208955  6.41791045],0
r3,1,0.681596,0.168335,[21  3] ; [39  4],[21.49253731  2.50746269] ; [38.50746269  4.49253731],0
s6,1,0.697203,0.151398,[19  4] ; [33  9],[18.4  4.6] ; [33.6  8.4],0
a3,1,0.702172,0.146222,[14 10] ; [23 20],[13.25373134 10.74626866] ; [23.74626866 19.25373134],0
a2,1,0.839446,0.041048,[ 2 22] ; [ 3 40],[ 1.79104478 22.20895522] ; [ 3.20895522 39.79104478],0
s1,1,0.871436,0.02619,[ 2 22] ; [ 4 38],[ 2.18181818 21.81818182] ; [ 3.81818182 38.18181818],0
v1,1,0.896557,0.016903,[11 13] ; [19 24],[10.74626866 13.25373134] ; [19.25373134 23.74626866],0
r2,1,0.91108,0.012472,[23  1] ; [40  2],[22.90909091  1.09090909] ; [40.09090909  1.90909091],0
p2,1,0.915273,0.011319,[18  6] ; [31 11],[17.81818182  6.18181818] ; [31.18181818 10.81818182],0
b5,1,0.957421,0.002851,[13 11] ; [23 20],[12.89552239 11.10447761] ; [23.10447761 19.89552239],0
r4,1,0.967244,0.001686,[20  4] ; [36  7],[20.05970149  3.94029851] ; [35.94029851  7.05970149],0
a7,1,0.974439,0.001027,[14  9] ; [26 17],[13.93939394  9.06060606] ; [26.06060606 16.93939394],0
