Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.040974,4.177096,[16 58] ; [11 15],[19.98 54.02] ; [ 7.02 18.98],0
a7,1,0.501345,0.452088,[44 32] ; [17  9],[45.45098039 30.54901961] ; [15.54901961 10.45098039],0
u2,1,0.507335,0.43956,[12 20] ; [2 6],[11.2 20.8] ; [2.8 5.2],0
a6,1,0.534924,0.385028,[48 29] ; [15 12],[46.64423077 30.35576923] ; [16.35576923 10.64423077],0
a1,1,0.59765,0.278555,[ 6 71] ; [ 3 24],[ 6.66346154 70.33653846] ; [ 2.33653846 24.66346154],0
n5,1,0.611802,0.25756,[43 34] ; [16 10],[44.10679612 32.89320388] ; [14.89320388 11.10679612],0
a8,1,0.645935,0.211063,[ 5 66] ; [ 1 22],[ 4.53191489 66.46808511] ; [ 1.46808511 21.53191489],0
a2,1,0.646688,0.210101,[14 63] ; [ 6 21],[14.80769231 62.19230769] ; [ 5.19230769 21.80769231],0
d5,1,0.655388,0.199174,[47 29] ; [18  9],[47.96116505 28.03883495] ; [17.03883495  9.96116505],0
s4,1,0.67253,0.178657,[ 9 68] ; [ 4 23],[ 9.625 67.375] ; [ 3.375 23.625],0
d2,1,0.719144,0.129314,[34 42] ; [11 16],[33.2038835 42.7961165] ; [11.7961165 15.2038835],0
r4,1,0.733966,0.115501,[37 40] ; [14 13],[37.75961538 39.24038462] ; [13.24038462 13.75961538],0
s8,1,0.759308,0.093875,[ 7 70] ; [ 3 24],[ 7.40384615 69.59615385] ; [ 2.59615385 24.40384615],0
p8,1,0.766004,0.088569,[18 57] ; [ 7 19],[18.56435644 56.43564356] ; [ 6.43564356 19.56435644],0
d1,1,0.793954,0.068215,[32 45] ; [12 15],[32.57692308 44.42307692] ; [11.42307692 15.57692308],0
b1,1,0.823021,0.050024,[38 39] ; [14 13],[38.5 38.5] ; [13.5 13.5],0
s3,1,0.835946,0.042883,[21 54] ; [ 7 20],[20.58823529 54.41176471] ; [ 7.41176471 19.58823529],0
d4,1,0.837351,0.042141,[49 27] ; [18  9],[49.4368932 26.5631068] ; [17.5631068  9.4368932],0
v4,1,0.843422,0.039013,[54 22] ; [19  7],[54.39215686 21.60784314] ; [18.60784314  7.39215686],0
n6,1,0.906564,0.013777,[38 39] ; [12 13],[37.74509804 39.25490196] ; [12.25490196 12.74509804],0
p7,1,0.934057,0.006846,[25 51] ; [ 8 17],[24.83168317 51.16831683] ; [ 8.16831683 16.83168317],0
p4,1,0.965713,0.001848,[17 58] ; [ 6 20],[17.07920792 57.92079208] ; [ 5.92079208 20.07920792],0
