Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.715928,[17 32] ; [117  47],[30.82629108 18.17370892] ; [103.17370892  60.82629108],1
s5,1,0.716577,0.131796,[14 35] ; [ 41 117],[13.01932367 35.98067633] ; [ 41.98067633 116.01932367],0
n2,1,0.719121,0.129336,[13  5] ; [27 13],[12.4137931  5.5862069] ; [27.5862069 12.4137931],0
p6,1,0.737981,0.111909,[17 30] ; [ 54 107],[16.04326923 30.95673077] ; [ 54.95673077 106.04326923],0
n3,1,0.754857,0.097495,[12  6] ; [29 12],[12.50847458  5.49152542] ; [28.49152542 12.50847458],0
b5,1,0.760435,0.09297,[30 19] ; [97 68],[29.07943925 19.92056075] ; [97.92056075 67.07943925],0
d5,1,0.817904,0.053011,[32 17] ; [110  54],[32.66666667 16.33333333] ; [109.33333333  54.66666667],0
a1,1,0.87602,0.024341,[ 1 48] ; [  4 161],[ 1.14485981 47.85514019] ; [  3.85514019 161.14485981],0
s3,1,0.894756,0.0175,[27 22] ; [91 71],[27.4028436 21.5971564] ; [90.5971564 71.4028436],0
v1,1,0.939048,0.005847,[21 27] ; [71 89],[21.23076923 26.76923077] ; [70.76923077 89.23076923],0
b4,1,0.979008,0.000692,[29 20] ; [98 67],[29.07943925 19.92056075] ; [97.92056075 67.07943925],0
d4,1,0.983995,0.000402,[33 15] ; [113  51],[33.05660377 14.94339623] ; [112.94339623  51.05660377],0
s7,1,0.989263,0.000181,[18 28] ; [62 96],[18.03921569 27.96078431] ; [61.96078431 96.03921569],0
