Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,22.947156,[32  4] ; [ 6 16],[23.5862069 12.4137931] ; [14.4137931  7.5862069],1
u3,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
a4,1,0.283113,1.152087,[21 14] ; [10 12],[19.03508772 15.96491228] ; [11.96491228 10.03508772],0
a3,1,0.285281,1.141758,[29  7] ; [15  7],[27.31034483  8.68965517] ; [16.68965517  5.31034483],0
s1,1,0.292173,1.109581,[ 1 35] ; [ 2 20],[ 1.86206897 34.13793103] ; [ 1.13793103 20.86206897],0
s6,1,0.32263,0.978253,[11 23] ; [10 12],[12.75 21.25] ; [ 8.25 13.75],0
d2,1,0.343212,0.898396,[27  7] ; [15  7],[25.5  8.5] ; [16.5  5.5],0
n1,1,0.368042,0.810264,[ 5 12] ; [ 2 11],[ 3.96666667 13.03333333] ; [3.03333333 9.96666667],0
s5,1,0.37065,0.801484,[ 6 27] ; [ 6 15],[ 7.33333333 25.66666667] ; [ 4.66666667 16.33333333],0
a2,1,0.407299,0.686672,[10 26] ; [ 4 18],[ 8.68965517 27.31034483] ; [ 5.31034483 16.68965517],0
b5,1,0.417792,0.656517,[19 17] ; [14  8],[20.48275862 15.51724138] ; [12.51724138  9.48275862],0
s7,1,0.438882,0.599203,[14 19] ; [ 6 13],[12.69230769 20.30769231] ; [ 7.30769231 11.69230769],0
v1,1,0.47987,0.49916,[11 22] ; [ 9 12],[12.22222222 20.77777778] ; [ 7.77777778 13.22222222],0
v2,1,0.514906,0.424084,[18 16] ; [13  8],[19.16363636 14.83636364] ; [11.83636364  9.16363636],0
a5,1,0.572947,0.317776,[27  9] ; [15  7],[26.06896552  9.93103448] ; [15.93103448  6.06896552],0
v3,1,0.579223,0.307493,[12 23] ; [ 6 16],[11.05263158 23.94736842] ; [ 6.94736842 15.05263158],0
r1,1,0.681753,0.168159,[13 22] ; [ 7 15],[12.28070175 22.71929825] ; [ 7.71929825 14.28070175],0
b3,1,0.68547,0.164033,[ 7 19] ; [4 8],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
b2,1,0.68547,0.164033,[ 7 19] ; [4 8],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
r2,1,0.692501,0.156391,[24  8] ; [14  6],[23.38461538  8.61538462] ; [14.61538462  5.38461538],0
a6,1,0.71481,0.13352,[23 13] ; [13  9],[22.34482759 13.65517241] ; [13.65517241  8.34482759],0
b4,1,0.71481,0.13352,[23 13] ; [13  9],[22.34482759 13.65517241] ; [13.65517241  8.34482759],0
b1,1,0.736769,0.112987,[18 18] ; [12 10],[18.62068966 17.37931034] ; [11.37931034 10.62068966],0
v4,1,0.756873,0.095846,[23 11] ; [14  8],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
a8,1,0.803809,0.061713,[ 1 30] ; [ 1 21],[ 1.16981132 29.83018868] ; [ 0.83018868 21.16981132],0
s2,1,0.820724,0.051354,[13 20] ; [ 8 14],[12.6 20.4] ; [ 8.4 13.6],0
s3,1,0.824315,0.049283,[14 19] ; [10 12],[14.4 18.6] ; [ 9.6 12.4],0
p3,1,0.881893,0.022073,[12 22] ; [ 7 14],[11.74545455 22.25454545] ; [ 7.25454545 13.74545455],0
p2,1,0.912319,0.012125,[17 16] ; [11 11],[16.8 16.2] ; [11.2 10.8],0
