Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.000844,11.142388,[  5 112] ; [15 64],[ 11.93877551 105.06122449] ; [ 8.06122449 70.93877551],1
a7,1,0.465412,0.532847,[71 46] ; [52 27],[73.42346939 43.57653061] ; [49.57653061 29.42346939],0
a2,1,0.515275,0.42334,[ 10 108] ; [ 9 71],[ 11.32323232 106.67676768] ; [ 7.67676768 72.32323232],0
p8,1,0.536695,0.3817,[56 59] ; [34 43],[53.90625 61.09375] ; [36.09375 40.90625],0
a5,1,0.570306,0.322171,[69 49] ; [50 30],[70.91919192 47.08080808] ; [48.08080808 31.91919192],0
r2,1,0.571955,0.319422,[106  10] ; [73  5],[107.03092784   8.96907216] ; [71.96907216  6.03092784],0
p4,1,0.582149,0.302774,[59 58] ; [43 36],[60.8877551 56.1122449] ; [41.1122449 37.8877551],0
p3,1,0.583934,0.299917,[55 62] ; [34 45],[53.12755102 63.87244898] ; [35.87244898 43.12755102],0
r4,1,0.599265,0.276106,[102  16] ; [67 13],[100.71717172  17.28282828] ; [68.28282828 11.71717172],0
u1,1,0.606552,0.265227,[  8 110] ; [ 4 76],[  7.15151515 110.84848485] ; [ 4.84848485 75.15151515],0
b1,1,0.659861,0.193692,[45 73] ; [33 47],[46.48484848 71.51515152] ; [31.51515152 48.48484848],0
n1,1,0.668899,0.182892,[10 13] ; [10 10],[10.69767442 12.30232558] ; [ 9.30232558 10.69767442],0
p5,1,0.673841,0.177142,[ 14 102] ; [ 8 71],[ 13.08717949 102.91282051] ; [ 8.91282051 70.08717949],0
p10,1,0.680449,0.16962,[91 24] ; [59 18],[89.84375 25.15625] ; [60.15625 16.84375],0
p11,1,0.686656,0.162729,[90 28] ; [59 21],[88.7979798 29.2020202] ; [60.2020202 19.7979798],0
v4,1,0.728991,0.12004,[108   9] ; [70  7],[107.35051546   9.64948454] ; [70.64948454  6.35051546],0
u4,1,0.781041,0.077263,[  1 117] ; [ 1 79],[  1.19191919 116.80808081] ; [ 0.80808081 79.19191919],0
a6,1,0.804451,0.061301,[67 51] ; [44 36],[66.15151515 51.84848485] ; [44.84848485 35.15151515],0
n6,1,0.889039,0.019466,[92 24] ; [62 17],[91.61025641 24.38974359] ; [62.38974359 16.61025641],0
r1,1,0.919439,0.010229,[90 28] ; [59 19],[89.70408163 28.29591837] ; [59.29591837 18.70408163],0
b5,1,0.927912,0.008185,[73 45] ; [50 30],[73.3030303 44.6969697] ; [49.6969697 30.3030303],0
v3,1,0.96255,0.002205,[47 70] ; [32 47],[47.15816327 69.84183673] ; [31.84183673 47.15816327],0
