Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,26.555115,[20  2] ; [13 38],[ 9.94520548 12.05479452] ; [23.05479452 27.94520548],1
s5,1,0.327143,0.960175,[ 7 16] ; [10 40],[ 5.35616438 17.64383562] ; [11.64383562 38.35616438],0
s3,1,0.417161,0.658298,[12 11] ; [21 29],[10.39726027 12.60273973] ; [22.60273973 27.39726027],0
p6,1,0.494226,0.467313,[ 5 17] ; [ 8 42],[ 3.97222222 18.02777778] ; [ 9.02777778 40.97222222],0
n4,1,0.498092,0.458999,[15  8] ; [29 22],[13.67567568  9.32432432] ; [30.32432432 20.67567568],0
p3,1,0.523061,0.407854,[ 8 15] ; [14 37],[ 6.83783784 16.16216216] ; [15.16216216 35.83783784],0
s7,1,0.552132,0.353512,[ 6 13] ; [12 37],[ 5.02941176 13.97058824] ; [12.97058824 36.02941176],0
p1,1,0.579289,0.307385,[ 1 22] ; [ 4 47],[ 1.55405405 21.44594595] ; [ 3.44594595 47.55405405],0
b2,1,0.589639,0.290909,[ 3 12] ; [ 9 24],[ 3.75 11.25] ; [ 8.25 24.75],0
b3,1,0.589639,0.290909,[ 3 12] ; [ 9 24],[ 3.75 11.25] ; [ 8.25 24.75],0
v4,1,0.611642,0.25779,[15  7] ; [37 13],[15.88888889  6.11111111] ; [36.11111111 13.88888889],0
n6,1,0.631523,0.230001,[14  9] ; [28 23],[13.05405405  9.94594595] ; [28.94594595 22.05405405],0
n5,1,0.658569,0.195267,[13 10] ; [26 25],[12.12162162 10.87837838] ; [26.87837838 24.12162162],0
s1,1,0.674595,0.176274,[ 2 21] ; [ 6 44],[ 2.52054795 20.47945205] ; [ 5.47945205 44.52054795],0
p4,1,0.726122,0.122702,[ 6 16] ; [16 35],[ 6.63013699 15.36986301] ; [15.36986301 35.63013699],0
r4,1,0.746443,0.104544,[14  9] ; [29 22],[13.36486486  9.63513514] ; [29.63513514 21.36486486],0
p7,1,0.779655,0.078271,[10 12] ; [25 26],[10.54794521 11.45205479] ; [24.45205479 26.54794521],0
a1,1,0.787018,0.073,[ 1 22] ; [ 3 48],[ 1.24324324 21.75675676] ; [ 2.75675676 48.24324324],0
s6,1,0.796895,0.066238,[ 9 14] ; [18 32],[ 8.50684932 14.49315068] ; [18.49315068 31.50684932],0
p11,1,0.827472,0.0475,[11 12] ; [23 28],[10.56756757 12.43243243] ; [23.43243243 27.56756757],0
n1,1,0.857541,0.032222,[3 6] ; [ 6 14],[2.79310345 6.20689655] ; [ 6.20689655 13.79310345],0
p2,1,0.896773,0.016832,[10 13] ; [23 28],[10.25675676 12.74324324] ; [22.74324324 28.25675676],0
v1,1,0.935705,0.006508,[ 7 16] ; [16 35],[ 7.14864865 15.85135135] ; [15.85135135 35.14864865],0
