Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6.7e-05,15.898914,[  7 166] ; [11 41],[ 13.84 159.16] ; [ 4.16 47.84],1
a6,1,0.10878,2.571858,[134  40] ; [35 18],[129.54185022  44.45814978] ; [39.45814978 13.54185022],0
p9,1,0.11991,2.418493,[130  40] ; [45  7],[134.00900901  35.99099099] ; [40.99099099 11.00900901],0
p7,1,0.143043,2.144915,[99 72] ; [36 16],[103.52017937  67.47982063] ; [31.47982063 20.52017937],0
v1,1,0.198104,1.656301,[87 86] ; [32 21],[91.09292035 81.90707965] ; [27.90707965 25.09292035],0
v2,1,0.207643,1.587787,[99 71] ; [36 17],[102.91479821  67.08520179] ; [32.08520179 20.91479821],0
n1,1,0.258193,1.27842,[10 39] ; [4 7],[11.43333333 37.56666667] ; [2.56666667 8.43333333],0
d2,1,0.349686,0.874595,[118  55] ; [39 13],[120.71555556  52.28444444] ; [36.28444444 15.71555556],0
n5,1,0.370014,0.803619,[116  57] ; [39 14],[118.65044248  54.34955752] ; [36.34955752 16.65044248],0
v4,1,0.407985,0.684665,[162  12] ; [51  2],[163.26872247  10.73127753] ; [49.73127753  3.26872247],0
b4,1,0.443276,0.587786,[98 76] ; [33 20],[100.41409692  73.58590308] ; [30.58590308 22.41409692],0
a2,1,0.460444,0.544815,[ 53 121] ; [19 34],[ 55.18942731 118.81057269] ; [16.81057269 36.18942731],0
a1,1,0.469943,0.52211,[  6 168] ; [ 3 50],[  6.89867841 167.10132159] ; [ 2.10132159 50.89867841],0
p8,1,0.489792,0.476984,[85 84] ; [29 23],[87.17647059 81.82352941] ; [26.82352941 25.17647059],0
v3,1,0.516304,0.42127,[ 65 102] ; [18 35],[ 63.00454545 103.99545455] ; [19.99545455 33.00454545],0
r4,1,0.571676,0.319886,[149  25] ; [47  6],[150.23788546  23.76211454] ; [45.76211454  7.23788546],0
n3,1,0.600989,0.273507,[30 19] ; [7 3],[30.72881356 18.27118644] ; [6.27118644 3.72881356],0
a8,1,0.655058,0.199583,[ 16 134] ; [ 6 40],[ 16.83673469 133.16326531] ; [ 5.16326531 40.83673469],0
a3,1,0.65586,0.198592,[132  41] ; [42 11],[133.19469027  39.80530973] ; [40.80530973 12.19469027],0
p11,1,0.671392,0.179979,[133  41] ; [39 14],[131.84140969  42.15859031] ; [40.15859031 12.84140969],0
s1,1,0.687841,0.161433,[  2 170] ; [ 1 52],[  2.29333333 169.70666667] ; [ 0.70666667 52.29333333],0
r2,1,0.715512,0.132834,[157  12] ; [50  3],[157.58108108  11.41891892] ; [49.41891892  3.58108108],0
d3,1,0.758127,0.094828,[155  19] ; [48  5],[155.60352423  18.39647577] ; [47.39647577  5.60352423],0
r1,1,0.758757,0.094318,[137  36] ; [43 10],[137.78761062  35.21238938] ; [42.21238938 10.78761062],0
n2,1,0.785301,0.074212,[29 20] ; [7 4],[29.4 19.6] ; [6.6 4.4],0
n4,1,0.822753,0.050179,[132  42] ; [41 12],[132.60792952  41.39207048] ; [40.39207048 12.60792952],0
u2,1,0.892269,0.018342,[20 22] ; [5 5],[20.19230769 21.80769231] ; [4.80769231 5.19230769],0
d4,1,0.923946,0.009114,[171   3] ; [51  1],[170.92035398   3.07964602] ; [51.07964602  0.92035398],0
r3,1,0.934127,0.006832,[160  14] ; [48  4],[160.14159292  13.85840708] ; [47.85840708  4.14159292],0
b1,1,0.944309,0.00488,[ 60 114] ; [18 35],[ 59.78854626 114.21145374] ; [18.21145374 34.78854626],0
p2,1,0.967631,0.001647,[132  39] ; [40 12],[131.89237668  39.10762332] ; [40.10762332 11.89237668],0
u3,1,0.989757,0.000165,[23 19] ; [6 5],[22.98113208 19.01886792] ; [6.01886792 4.98113208],0
