Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3.7e-05,17.040673,[23  8] ; [ 4 19],[15.5 15.5] ; [11.5 11.5],1
u2,1,0.18883,1.726722,[2 5] ; [5 3],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
s7,1,0.200788,1.636635,[14 15] ; [ 6 14],[11.83673469 17.16326531] ; [ 8.16326531 11.83673469],0
p2,1,0.227847,1.454251,[18 13] ; [17  6],[20.09259259 10.90740741] ; [14.90740741  8.09259259],0
r1,1,0.33056,0.946704,[12 19] ; [ 6 17],[10.33333333 20.66666667] ; [ 7.66666667 15.33333333],0
p8,1,0.335314,0.928266,[ 8 22] ; [ 9 14],[ 9.62264151 20.37735849] ; [ 7.37735849 15.62264151],0
s5,1,0.377083,0.780191,[ 9 21] ; [ 4 17],[ 7.64705882 22.35294118] ; [ 5.35294118 15.64705882],0
p12,1,0.385557,0.752908,[ 1 30] ; [ 2 21],[ 1.72222222 29.27777778] ; [ 1.27777778 21.72222222],0
p5,1,0.387338,0.747283,[ 2 30] ; [ 3 20],[ 2.90909091 29.09090909] ; [ 2.09090909 20.90909091],0
n5,1,0.454022,0.560591,[18 13] ; [15  7],[19.30188679 11.69811321] ; [13.69811321  8.30188679],0
p6,1,0.454152,0.560269,[ 8 22] ; [ 8 14],[ 9.23076923 20.76923077] ; [ 6.76923077 15.23076923],0
b4,1,0.493068,0.469825,[21 11] ; [13 10],[19.78181818 12.21818182] ; [14.21818182  8.78181818],0
b5,1,0.493068,0.469825,[21 11] ; [13 10],[19.78181818 12.21818182] ; [14.21818182  8.78181818],0
n6,1,0.517557,0.418758,[21 10] ; [13  9],[19.88679245 11.11320755] ; [14.11320755  7.88679245],0
s3,1,0.543007,0.369996,[13 16] ; [ 8 14],[11.94117647 17.05882353] ; [ 9.05882353 12.94117647],0
s6,1,0.583248,0.301012,[16 14] ; [14  9],[16.98113208 13.01886792] ; [13.01886792  9.98113208],0
r3,1,0.583792,0.300144,[25  5] ; [17  5],[24.23076923  5.76923077] ; [17.76923077  4.23076923],0
n4,1,0.58677,0.295417,[20 12] ; [16  7],[20.94545455 11.05454545] ; [15.05454545  7.94545455],0
s4,1,0.611792,0.257574,[ 4 28] ; [ 4 19],[ 4.65454545 27.34545455] ; [ 3.34545455 19.65454545],0
u1,1,0.655306,0.199275,[ 4 28] ; [ 2 21],[ 3.49090909 28.50909091] ; [ 2.50909091 20.49090909],0
p9,1,0.697743,0.15083,[18 12] ; [15  8],[18.67924528 11.32075472] ; [14.32075472  8.67924528],0
a1,1,0.730464,0.118686,[ 2 30] ; [ 2 21],[ 2.32727273 29.67272727] ; [ 1.67272727 21.32727273],0
a8,1,0.730823,0.118357,[ 2 26] ; [ 1 20],[ 1.71428571 26.28571429] ; [ 1.28571429 19.71428571],0
u3,1,0.771519,0.084325,[3 4] ; [5 5],[3.29411765 3.70588235] ; [4.70588235 5.29411765],0
v4,1,0.797046,0.066138,[22  8] ; [14  6],[21.6  8.4] ; [14.4  5.6],0
p4,1,0.798953,0.064873,[12 18] ; [10 13],[12.45283019 17.54716981] ; [ 9.54716981 13.45283019],0
p10,1,0.879062,0.023152,[17 13] ; [12 10],[16.73076923 13.26923077] ; [12.26923077  9.73076923],0
s8,1,0.911133,0.012457,[ 9 22] ; [ 7 16],[ 9.18518519 21.81481481] ; [ 6.81481481 16.18518519],0
b2,1,0.92809,0.008145,[ 7 15] ; [4 8],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
b3,1,0.92809,0.008145,[ 7 15] ; [4 8],[ 7.11764706 14.88235294] ; [3.88235294 8.11764706],0
p11,1,0.948546,0.004164,[22 10] ; [16  7],[22.10909091  9.89090909] ; [15.89090909  7.10909091],0
p3,1,0.97274,0.001168,[ 9 21] ; [ 7 16],[ 9.05660377 20.94339623] ; [ 6.94339623 16.05660377],0
v1,1,0.97428,0.001039,[15 14] ; [12 11],[15.05769231 13.94230769] ; [11.94230769 11.05769231],0
