Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,23.025086,[16  1] ; [ 3 17],[8.72972973 8.27027027] ; [10.27027027  9.72972973],1
a5,1,0.389412,0.740779,[8 9] ; [ 7 14],[ 6.71052632 10.28947368] ; [ 8.28947368 12.71052632],0
s4,1,0.401309,0.704399,[ 1 16] ; [ 3 18],[ 1.78947368 15.21052632] ; [ 2.21052632 18.78947368],0
a6,1,0.44419,0.585434,[ 6 11] ; [10 11],[7.15789474 9.84210526] ; [ 8.84210526 12.15789474],0
v1,1,0.45494,0.558314,[ 5 12] ; [ 4 17],[ 4.02631579 12.97368421] ; [ 4.97368421 16.02631579],0
s2,1,0.464857,0.534175,[ 4 13] ; [ 3 18],[ 3.13157895 13.86842105] ; [ 3.86842105 17.13157895],0
a7,1,0.491574,0.473078,[10  7] ; [10 11],[8.94736842 8.05263158] ; [11.05263158  9.94736842],0
d2,1,0.507591,0.439031,[ 4 13] ; [ 7 14],[ 4.92105263 12.07894737] ; [ 6.07894737 14.92105263],0
b4,1,0.507591,0.439031,[13  4] ; [14  7],[12.07894737  4.92105263] ; [14.92105263  6.07894737],0
d3,1,0.535899,0.383193,[9 8] ; [ 9 12],[8.05263158 8.94736842] ; [ 9.94736842 11.05263158],0
d1,1,0.574784,0.314743,[ 5 12] ; [ 8 13],[ 5.81578947 11.18421053] ; [ 7.18421053 13.81578947],0
a3,1,0.63007,0.231966,[9 8] ; [ 9 11],[8.27027027 8.72972973] ; [ 9.72972973 10.27027027],0
u3,1,0.648077,0.208333,[2 6] ; [ 2 10],[1.6 6.4] ; [2.4 9.6],0
b3,1,0.658076,0.195869,[2 4] ; [7 9],[2.45454545 3.54545455] ; [6.54545455 9.45454545],0
b2,1,0.658076,0.195869,[2 4] ; [7 9],[2.45454545 3.54545455] ; [6.54545455 9.45454545],0
s1,1,0.67894,0.171322,[ 1 16] ; [ 2 19],[ 1.34210526 15.65789474] ; [ 1.65789474 19.34210526],0
a1,1,0.67894,0.171322,[ 1 16] ; [ 2 19],[ 1.34210526 15.65789474] ; [ 1.65789474 19.34210526],0
n4,1,0.691259,0.157726,[10  7] ; [11 10],[9.39473684 7.60526316] ; [11.60526316  9.39473684],0
n3,1,0.69627,0.152381,[3 3] ; [4 6],[2.625 3.375] ; [4.375 5.625],0
r1,1,0.696574,0.152061,[ 5 12] ; [ 5 16],[ 4.47368421 12.52631579] ; [ 5.52631579 15.47368421],0
a8,1,0.72739,0.121522,[ 2 15] ; [ 3 16],[ 2.36111111 14.63888889] ; [ 2.63888889 16.36111111],0
p3,1,0.774207,0.082298,[ 2 15] ; [ 3 17],[ 2.2972973 14.7027027] ; [ 2.7027027 17.2972973],0
v2,1,0.795953,0.066868,[ 5 12] ; [ 7 14],[ 5.36842105 11.63157895] ; [ 6.63157895 14.36842105],0
p1,1,0.819187,0.052254,[ 2 15] ; [ 3 18],[ 2.23684211 14.76315789] ; [ 2.76315789 18.23684211],0
s3,1,0.827667,0.047391,[ 3 14] ; [ 3 17],[ 2.75675676 14.24324324] ; [ 3.24324324 16.75675676],0
p12,1,0.877769,0.023654,[ 1 16] ; [ 1 20],[ 0.89473684 16.10526316] ; [ 1.10526316 19.89473684],0
b5,1,0.916902,0.010886,[10  7] ; [12  9],[9.84210526 7.15789474] ; [12.15789474  8.84210526],0
p6,1,0.935466,0.006556,[ 1 16] ; [ 1 18],[ 0.94444444 16.05555556] ; [ 1.05555556 17.94444444],0
v4,1,0.972566,0.001183,[9 8] ; [11 10],[8.94736842 8.05263158] ; [11.05263158  9.94736842],0
