Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,53.359684,[ 2 43] ; [64 26],[22. 23.] ; [44. 46.],1
n4,1,0.165662,1.921765,[32 13] ; [53 37],[28.33333333 16.66666667] ; [56.66666667 33.33333333],0
p11,1,0.180599,1.792691,[26 19] ; [41 49],[22.33333333 22.66666667] ; [44.66666667 45.33333333],0
r1,1,0.207578,1.588235,[25 20] ; [60 30],[28.33333333 16.66666667] ; [56.66666667 33.33333333],0
b2,1,0.225833,1.466918,[14 12] ; [23 35],[11.45238095 14.54761905] ; [25.54761905 32.45238095],0
b3,1,0.225833,1.466918,[14 12] ; [23 35],[11.45238095 14.54761905] ; [25.54761905 32.45238095],0
s3,1,0.231028,1.434521,[12 30] ; [35 54],[15.06870229 26.93129771] ; [31.93129771 57.06870229],0
p4,1,0.341818,0.9036,[ 8 36] ; [23 67],[10.17910448 33.82089552] ; [20.82089552 69.17910448],0
p8,1,0.346484,0.886292,[ 7 38] ; [ 9 81],[ 5.33333333 39.66666667] ; [10.66666667 79.33333333],0
s6,1,0.353543,0.8607,[18 26] ; [44 45],[20.5112782 23.4887218] ; [41.4887218 47.5112782],0
p5,1,0.400093,0.708046,[ 3 42] ; [ 3 84],[ 2.04545455 42.95454545] ; [ 3.95454545 83.04545455],0
n1,1,0.415214,0.663821,[11  9] ; [18 23],[ 9.50819672 10.49180328] ; [19.49180328 21.50819672],0
n6,1,0.438578,0.6,[28 17] ; [62 28],[30. 15.] ; [60. 30.],0
p12,1,0.474975,0.510378,[ 4 41] ; [ 5 84],[ 3.02238806 41.97761194] ; [ 5.97761194 83.02238806],0
b4,1,0.535724,0.383523,[25 20] ; [55 35],[26.66666667 18.33333333] ; [53.33333333 36.66666667],0
s5,1,0.544454,0.367347,[ 8 34] ; [20 64],[ 9.33333333 32.66666667] ; [18.66666667 65.33333333],0
a1,1,0.561276,0.3375,[ 4 41] ; [11 79],[ 5. 40.] ; [10. 80.],0
v3,1,0.563802,0.333164,[13 30] ; [29 53],[14.448 28.552] ; [27.552 54.448],0
n3,1,0.624346,0.239806,[12  7] ; [22 17],[11.13793103  7.86206897] ; [22.86206897 16.13793103],0
r4,1,0.698535,0.15,[29 16] ; [61 29],[30. 15.] ; [60. 30.],0
s4,1,0.712647,0.135647,[ 8 37] ; [18 70],[ 8.79699248 36.20300752] ; [17.20300752 70.79699248],0
p3,1,0.742787,0.107692,[ 9 36] ; [20 69],[ 9.73880597 35.26119403] ; [19.26119403 69.73880597],0
p9,1,0.751689,0.100117,[22 21] ; [46 39],[22.84375 20.15625] ; [45.15625 39.84375],0
s1,1,0.794824,0.067627,[ 4 40] ; [ 7 83],[ 3.6119403 40.3880597] ; [ 7.3880597 82.6119403],0
p10,1,0.800266,0.06401,[20 23] ; [43 45],[20.67938931 22.32061069] ; [42.32061069 45.67938931],0
b1,1,0.902994,0.014855,[21 24] ; [43 47],[21.33333333 23.66666667] ; [42.66666667 47.33333333],0
v1,1,0.973422,0.00111,[14 31] ; [27 59],[14.08396947 30.91603053] ; [26.91603053 59.08396947],0
p6,1,0.984565,0.000374,[ 4 40] ; [ 8 81],[ 3.96992481 40.03007519] ; [ 8.03007519 80.96992481],0
