Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.653943,[37  8] ; [12 28],[25.94117647 19.05882353] ; [23.05882353 16.94117647],1
r3,1,0.46291,0.53885,[30 16] ; [23 17],[28.34883721 17.65116279] ; [24.65116279 15.34883721],0
p4,1,0.469634,0.522838,[17 29] ; [17 21],[18.61904762 27.38095238] ; [15.38095238 22.61904762],0
s5,1,0.473658,0.51343,[ 5 37] ; [ 7 33],[ 6.14634146 35.85365854] ; [ 5.85365854 34.14634146],0
b4,1,0.486729,0.48375,[23 23] ; [23 17],[24.60465116 21.39534884] ; [21.39534884 18.60465116],0
v3,1,0.50512,0.444163,[12 34] ; [ 8 32],[10.69767442 35.30232558] ; [ 9.30232558 30.69767442],0
a5,1,0.506793,0.440683,[24 22] ; [18 22],[22.46511628 23.53488372] ; [19.53488372 20.46511628],0
r1,1,0.541382,0.372984,[13 33] ; [ 9 31],[11.76744186 34.23255814] ; [10.23255814 29.76744186],0
a1,1,0.556277,0.346191,[ 3 43] ; [ 4 36],[ 3.74418605 42.25581395] ; [ 3.25581395 36.74418605],0
p8,1,0.580064,0.306131,[18 28] ; [13 26],[16.77647059 29.22352941] ; [14.22352941 24.77647059],0
p1,1,0.641343,0.21699,[ 2 44] ; [ 1 39],[ 1.60465116 44.39534884] ; [ 1.39534884 38.60465116],0
s1,1,0.641343,0.21699,[ 2 44] ; [ 1 39],[ 1.60465116 44.39534884] ; [ 1.39534884 38.60465116],0
n6,1,0.665368,0.187068,[29 17] ; [27 13],[29.95348837 16.04651163] ; [26.04651163 13.95348837],0
n3,1,0.667664,0.184347,[14  9] ; [12 10],[13.28888889  9.71111111] ; [12.71111111  9.28888889],0
s8,1,0.699345,0.149154,[12 34] ; [ 9 31],[11.23255814 34.76744186] ; [ 9.76744186 30.23255814],0
s3,1,0.789785,0.07107,[19 27] ; [15 24],[18.4 27.6] ; [15.6 23.4],0
a3,1,0.819619,0.052,[26 20] ; [23 16],[26.51764706 19.48235294] ; [22.48235294 16.51764706],0
p2,1,0.842275,0.039595,[33 13] ; [28 10],[33.4047619 12.5952381] ; [27.5952381 10.4047619],0
p7,1,0.850358,0.035593,[19 24] ; [16 22],[18.58024691 24.41975309] ; [16.41975309 21.58024691],0
n2,1,0.920183,0.010041,[16  7] ; [15  7],[15.84444444  7.15555556] ; [15.15555556  6.84444444],0
n1,1,0.920183,0.010041,[ 7 16] ; [ 7 15],[ 7.15555556 15.84444444] ; [ 6.84444444 15.15555556],0
b2,1,0.92345,0.009233,[ 7 14] ; [ 8 17],[ 6.84782609 14.15217391] ; [ 8.15217391 16.84782609],0
b3,1,0.92345,0.009233,[ 7 14] ; [ 8 17],[ 6.84782609 14.15217391] ; [ 8.15217391 16.84782609],0
a8,1,0.929428,0.007844,[ 1 42] ; [ 1 37],[ 1.0617284 41.9382716] ; [ 0.9382716 37.0617284],0
p6,1,0.946546,0.004495,[11 33] ; [10 29],[11.13253012 32.86746988] ; [ 9.86746988 29.13253012],0
p11,1,0.951681,0.003672,[25 21] ; [22 18],[25.13953488 20.86046512] ; [21.86046512 18.13953488],0
p9,1,0.956227,0.003013,[30 16] ; [25 13],[30.11904762 15.88095238] ; [24.88095238 13.11904762],0
v1,1,0.964222,0.002012,[16 28] ; [14 24],[16.09756098 27.90243902] ; [13.90243902 24.09756098],0
a4,1,0.965072,0.001918,[14 32] ; [12 28],[13.90697674 32.09302326] ; [12.09302326 27.90697674],0
u2,1,0.985179,0.000345,[10  9] ; [9 8],[10.02777778  8.97222222] ; [8.97222222 8.02777778],0
s2,1,0.991439,0.000115,[15 31] ; [13 27],[14.97674419 31.02325581] ; [13.02325581 26.97674419],0
s7,1,0.995547,3.1e-05,[17 28] ; [14 23],[17.01219512 27.98780488] ; [13.98780488 23.01219512],0
r2,1,1.0,0.0,[28 14] ; [26 13],[28. 14.] ; [26. 13.],0
