Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4.6e-05,16.594881,[46  1] ; [30 16],[38.40860215  8.59139785] ; [37.59139785  8.40860215],1
d3,1,0.101666,2.679212,[36 11] ; [28 18],[32.34408602 14.65591398] ; [31.65591398 14.34408602],0
b4,1,0.114355,2.492984,[33 14] ; [25 21],[29.31182796 17.68817204] ; [28.68817204 17.31182796],0
n6,1,0.116974,2.457381,[39  8] ; [43  3],[41.44086022  5.55913978] ; [40.55913978  5.44086022],0
u1,1,0.144256,2.13196,[13 34] ; [ 7 39],[10.10752688 36.89247312] ; [ 9.89247312 36.10752688],0
a2,1,0.144256,2.13196,[13 34] ; [ 7 39],[10.10752688 36.89247312] ; [ 9.89247312 36.10752688],0
n5,1,0.146775,2.105449,[37 10] ; [30 16],[33.86021505 13.13978495] ; [33.13978495 12.86021505],0
v4,1,0.160311,1.971293,[46  1] ; [42  4],[44.47311828  2.52688172] ; [43.52688172  2.47311828],0
s6,1,0.160655,1.968053,[30 17] ; [34 10],[33.05494505 13.94505495] ; [30.94505495 13.05494505],0
p4,1,0.163153,1.944754,[33 13] ; [26 19],[29.82417582 16.17582418] ; [29.17582418 15.82417582],0
u3,1,0.171188,1.872513,[9 4] ; [ 8 10],[7.12903226 5.87096774] ; [9.87096774 8.12903226],0
p8,1,0.174205,1.846377,[28 18] ; [21 24],[24.76923077 21.23076923] ; [24.23076923 20.76923077],0
a1,1,0.226743,1.461177,[ 2 45] ; [ 5 41],[ 3.53763441 43.46236559] ; [ 3.46236559 42.53763441],0
a3,1,0.240698,1.376503,[34 13] ; [28 18],[31.33333333 15.66666667] ; [30.66666667 15.33333333],0
b1,1,0.249808,1.324376,[15 32] ; [20 26],[17.68817204 29.31182796] ; [17.31182796 28.68817204],0
a4,1,0.345275,0.890746,[24 23] ; [19 27],[21.7311828 25.2688172] ; [21.2688172 24.7311828],0
a8,1,0.365453,0.819068,[ 8 34] ; [ 5 37],[ 6.5 35.5] ; [ 6.5 35.5],0
r3,1,0.421078,0.647304,[44  3] ; [40  5],[42.91304348  4.08695652] ; [41.08695652  3.91304348],0
v3,1,0.424849,0.636862,[18 29] ; [14 32],[16.17204301 30.82795699] ; [15.82795699 30.17204301],0
p11,1,0.444511,0.584609,[36 11] ; [32 14],[34.3655914 12.6344086] ; [33.6344086 12.3655914],0
p5,1,0.470101,0.521739,[13 33] ; [10 36],[11.5 34.5] ; [11.5 34.5],0
d2,1,0.525194,0.403682,[23 24] ; [25 20],[24.52173913 22.47826087] ; [23.47826087 21.52173913],0
n3,1,0.590726,0.289211,[4 3] ; [11  5],[4.56521739 2.43478261] ; [10.43478261  5.56521739],0
s4,1,0.635287,0.224959,[ 8 37] ; [10 36],[ 8.9010989 36.0989011] ; [ 9.0989011 36.9010989],0
r4,1,0.700459,0.147995,[43  4] ; [41  5],[42.4516129  4.5483871] ; [41.5483871  4.4516129],0
p1,1,0.733211,0.116184,[ 6 41] ; [ 7 39],[ 6.56989247 40.43010753] ; [ 6.43010753 39.56989247],0
r1,1,0.756752,0.095944,[38  9] ; [36 10],[37.39784946  9.60215054] ; [36.60215054  9.39784946],0
a5,1,0.764331,0.089879,[36 11] ; [34 12],[35.37634409 11.62365591] ; [34.62365591 11.37634409],0
a6,1,0.898483,0.016276,[28 19] ; [28 18],[28.30107527 18.69892473] ; [27.69892473 18.30107527],0
n1,1,0.906855,0.01369,[3 5] ; [6 9],[3.13043478 4.86956522] ; [5.86956522 9.13043478],0
u2,1,0.960732,0.002424,[7 6] ; [9 8],[6.93333333 6.06666667] ; [9.06666667 7.93333333],0
s7,1,0.967417,0.001669,[18 26] ; [17 25],[17.90697674 26.09302326] ; [17.09302326 24.90697674],0
r2,1,0.971286,0.001296,[42  5] ; [41  5],[41.94623656  5.05376344] ; [41.05376344  4.94623656],0
n2,1,1.0,0.0,[5 3] ; [10  6],[5. 3.] ; [10.  6.],0
p12,1,1.0,0.0,[ 5 41] ; [ 5 41],[ 5. 41.] ; [ 5. 41.],0
