Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.457085,[ 3 15] ; [64 21],[11.70873786  6.29126214] ; [55.29126214 29.70873786],1
n4,1,0.2426,1.36542,[9 9] ; [55 30],[11.18446602  6.81553398] ; [52.81553398 32.18446602],0
s6,1,0.257763,1.280731,[ 5 13] ; [35 48],[ 7.12871287 10.87128713] ; [32.87128713 50.12871287],0
s4,1,0.267013,1.232027,[ 1 17] ; [13 71],[ 2.47058824 15.52941176] ; [11.52941176 72.47058824],0
b4,1,0.287291,1.132274,[12  6] ; [45 40],[9.96116505 8.03883495] ; [47.03883495 37.96116505],0
p3,1,0.310672,1.027815,[ 3 15] ; [24 61],[ 4.7184466 13.2815534] ; [22.2815534 62.7184466],0
u1,1,0.320373,0.987421,[ 1 17] ; [12 73],[ 2.27184466 15.72815534] ; [10.72815534 74.27184466],0
s2,1,0.356552,0.85,[ 4 14] ; [28 56],[ 5.64705882 12.35294118] ; [26.35294118 57.64705882],0
a2,1,0.377088,0.780173,[ 2 16] ; [17 68],[ 3.32038835 14.67961165] ; [15.67961165 69.32038835],0
v3,1,0.392962,0.729758,[ 3 15] ; [21 59],[ 4.40816327 13.59183673] ; [19.59183673 60.40816327],0
a7,1,0.401884,0.702681,[ 8 10] ; [47 38],[9.61165049 8.38834951] ; [45.38834951 39.61165049],0
b3,1,0.415942,0.661751,[ 4 10] ; [23 34],[5.32394366 8.67605634] ; [21.67605634 35.32394366],0
b2,1,0.415942,0.661751,[ 4 10] ; [23 34],[5.32394366 8.67605634] ; [21.67605634 35.32394366],0
n6,1,0.426943,0.631126,[10  8] ; [55 29],[11.47058824  6.52941176] ; [53.52941176 30.47058824],0
s5,1,0.427659,0.629172,[ 2 16] ; [15 64],[ 3.15463918 14.84536082] ; [13.84536082 65.15463918],0
p1,1,0.465265,0.533199,[ 3 15] ; [ 9 76],[ 2.09708738 15.90291262] ; [ 9.90291262 75.09708738],0
p8,1,0.485845,0.485714,[ 2 15] ; [16 69],[ 3. 14.] ; [15. 70.],0
p10,1,0.488952,0.478832,[ 6 12] ; [35 48],[ 7.30693069 10.69306931] ; [33.69306931 49.30693069],0
a6,1,0.517101,0.419671,[9 9] ; [49 35],[10.23529412  7.76470588] ; [47.76470588 36.23529412],0
b5,1,0.536877,0.381358,[12  6] ; [50 35],[10.83495146  7.16504854] ; [51.16504854 33.83495146],0
a5,1,0.552373,0.353083,[9 9] ; [49 36],[10.13592233  7.86407767] ; [47.86407767 37.13592233],0
p9,1,0.567727,0.3265,[ 7 10] ; [40 42],[8.07070707 8.92929293] ; [38.92929293 43.07070707],0
n3,1,0.587594,0.294118,[3 3] ; [21 13],[3.6 2.4] ; [20.4 13.6],0
p7,1,0.594782,0.282938,[ 5 13] ; [18 64],[ 4.14 13.86] ; [18.86 63.14],0
n5,1,0.652322,0.202985,[11  7] ; [56 28],[11.82352941  6.17647059] ; [55.17647059 28.82352941],0
p5,1,0.67349,0.177547,[ 2 15] ; [ 7 75],[ 1.54545455 15.45454545] ; [ 7.45454545 74.54545455],0
u2,1,0.728886,0.120137,[5 5] ; [14 18],[4.52380952 5.47619048] ; [14.47619048 17.52380952],0
s1,1,0.735272,0.114326,[ 2 16] ; [12 73],[ 2.44660194 15.55339806] ; [11.55339806 73.44660194],0
a1,1,0.824929,0.048934,[ 2 16] ; [ 8 77],[ 1.74757282 16.25242718] ; [ 8.25242718 76.74757282],0
s3,1,0.872956,0.02557,[ 6 11] ; [31 52],[ 6.29 10.71] ; [30.71 52.29],0
p4,1,0.911997,0.012215,[ 5 13] ; [22 61],[ 4.81188119 13.18811881] ; [22.18811881 60.81188119],0
d4,1,0.923089,0.009321,[12  6] ; [55 29],[11.82352941  6.17647059] ; [55.17647059 28.82352941],0
n1,1,1.0,0.0,[3 3] ; [18 18],[3. 3.] ; [18. 18.],0
