Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,43.476988,[  7 301] ; [19 66],[ 20.37659033 287.62340967] ; [ 5.62340967 79.37659033],1
u2,1,0.384058,0.757672,[59 51] ; [11 14],[57.03703704 52.96296296] ; [12.96296296 12.03703704],0
d1,1,0.404686,0.694358,[162 147] ; [50 37],[165.42424242 143.57575758] ; [46.57575758 40.42424242],0
r1,1,0.407389,0.686406,[234  74] ; [69 17],[236.86294416  71.13705584] ; [66.13705584 19.86294416],0
a8,1,0.413311,0.669257,[ 31 253] ; [11 66],[ 33.04155125 250.95844875] ; [ 8.95844875 68.04155125],0
d3,1,0.423151,0.641548,[227  80] ; [68 19],[229.86040609  77.13959391] ; [65.13959391 21.86040609],0
u3,1,0.443289,0.587755,[58 51] ; [16 10],[59.74814815 49.25185185] ; [14.25185185 11.74814815],0
r3,1,0.476021,0.507964,[286  21] ; [81  4],[287.42091837  19.57908163] ; [79.57908163  5.42091837],0
p7,1,0.518781,0.416317,[169 134] ; [49 33],[171.56883117 131.43116883] ; [46.43116883 35.56883117],0
n4,1,0.558644,0.342058,[213  95] ; [63 24],[215.21012658  92.78987342] ; [60.78987342 26.21012658],0
v1,1,0.649109,0.207025,[137 164] ; [42 45],[138.86340206 162.13659794] ; [40.13659794 46.86340206],0
s1,1,0.655994,0.198427,[ 11 294] ; [ 4 82],[ 11.70076726 293.29923274] ; [ 3.29923274 82.70076726],0
b2,1,0.718605,0.129834,[ 47 110] ; [16 33],[ 48.01456311 108.98543689] ; [14.98543689 34.01456311],0
b3,1,0.718605,0.129834,[ 47 110] ; [16 33],[ 48.01456311 108.98543689] ; [14.98543689 34.01456311],0
n3,1,0.903224,0.014784,[56 22] ; [11  4],[56.19354839 21.80645161] ; [10.80645161  4.19354839],0
d5,1,0.908664,0.013162,[246  62] ; [69 18],[245.62025316  62.37974684] ; [69.37974684 17.62025316],0
v2,1,0.925282,0.008795,[155 141] ; [45 40],[155.38057743 140.61942257] ; [44.61942257 40.38057743],0
v4,1,0.925573,0.008727,[286  23] ; [78  6],[286.19847328  22.80152672] ; [77.80152672  6.19847328],0
n1,1,0.936643,0.006319,[27 51] ; [5 9],[27.13043478 50.86956522] ; [4.86956522 9.13043478],0
n5,1,0.971342,0.001291,[207  99] ; [58 28],[206.8622449  99.1377551] ; [58.1377551 27.8622449],0
