Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.9e-05,17.50926,[32  2] ; [6 9],[26.36734694  7.63265306] ; [11.63265306  3.36734694],1
n3,1,0.621014,0.244444,[4 2] ; [4 1],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
s3,1,0.654415,0.20038,[22 11] ; [9 6],[21.3125 11.6875] ; [9.6875 5.3125],0
p12,1,0.706523,0.141774,[ 6 28] ; [ 2 13],[ 5.55102041 28.44897959] ; [ 2.44897959 12.55102041],0
v2,1,0.724018,0.124675,[15 18] ; [6 9],[14.4375 18.5625] ; [6.5625 8.4375],0
v1,1,0.725038,0.123717,[14 20] ; [5 9],[13.45833333 20.54166667] ; [5.54166667 8.45833333],0
v3,1,0.742876,0.107615,[13 21] ; [ 5 10],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
d2,1,0.783693,0.075356,[10 24] ; [ 5 10],[10.40816327 23.59183673] ; [ 4.59183673 10.40816327],0
d1,1,0.799389,0.064586,[ 3 31] ; [ 1 14],[ 2.7755102 31.2244898] ; [ 1.2244898 13.7755102],0
r1,1,0.813926,0.055397,[26  8] ; [11  4],[25.67346939  8.32653061] ; [11.32653061  3.67346939],0
a4,1,0.844579,0.038431,[ 6 28] ; [ 3 12],[ 6.24489796 27.75510204] ; [ 2.75510204 12.24489796],0
a3,1,0.852915,0.034373,[16 18] ; [7 7],[16.29166667 17.70833333] ; [6.70833333 7.29166667],0
a7,1,0.894275,0.017661,[22 12] ; [10  5],[22.20408163 11.79591837] ; [9.79591837 5.20408163],0
d3,1,0.906981,0.013653,[13 21] ; [6 9],[13.18367347 20.81632653] ; [5.81632653 9.18367347],0
u1,1,0.915944,0.01114,[ 2 32] ; [ 1 14],[ 2.08163265 31.91836735] ; [ 0.91836735 14.08163265],0
p10,1,0.923642,0.009187,[26  7] ; [12  3],[26.125  6.875] ; [11.875  3.125],0
a6,1,0.938446,0.005963,[20 14] ; [9 6],[20.12244898 13.87755102] ; [8.87755102 6.12244898],0
p7,1,0.946225,0.004549,[23 11] ; [10  5],[22.89795918 11.10204082] ; [10.10204082  4.89795918],0
s4,1,0.988568,0.000205,[ 9 25] ; [ 4 11],[ 9.02040816 24.97959184] ; [ 3.97959184 11.02040816],0
