Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.243853,[26 56] ; [103  63],[42.65322581 39.34677419] ; [86.34677419 79.65322581],1
n4,1,0.426236,0.633058,[53 29] ; [98 67],[50.12955466 31.87044534] ; [100.87044534  64.12955466],0
p9,1,0.458067,0.550613,[58 22] ; [123  37],[60.33333333 19.66666667] ; [120.66666667  39.33333333],0
b4,1,0.474231,0.512102,[46 36] ; [101  65],[48.60483871 33.39516129] ; [98.39516129 67.60483871],0
u1,1,0.481244,0.496044,[ 2 80] ; [  7 159],[ 2.97580645 79.02419355] ; [  6.02419355 159.97580645],0
s7,1,0.485854,0.485694,[26 52] ; [60 98],[28.42372881 49.57627119] ; [ 57.57627119 100.42372881],0
a8,1,0.50914,0.435835,[ 7 72] ; [ 18 136],[ 8.47639485 70.52360515] ; [ 16.52360515 137.47639485],0
p7,1,0.515582,0.422721,[43 36] ; [93 65],[45.33333333 33.66666667] ; [90.66666667 67.33333333],0
u4,1,0.609235,0.26129,[ 1 81] ; [  1 165],[ 0.66129032 81.33870968] ; [  1.33870968 164.66129032],0
n1,1,0.629114,0.233265,[13 16] ; [14 22],[12.04615385 16.95384615] ; [14.95384615 21.04615385],0
p11,1,0.649012,0.207148,[57 25] ; [120  46],[58.52419355 23.47580645] ; [118.47580645  47.52419355],0
p6,1,0.674939,0.175879,[26 53] ; [ 49 113],[24.58506224 54.41493776] ; [ 50.41493776 111.58506224],0
v1,1,0.705933,0.142373,[37 44] ; [69 91],[35.62655602 45.37344398] ; [70.37344398 89.62655602],0
p5,1,0.707911,0.140373,[ 8 72] ; [ 14 150],[ 7.21311475 72.78688525] ; [ 14.78688525 149.21311475],0
b2,1,0.787354,0.072764,[14 33] ; [24 63],[13.32835821 33.67164179] ; [24.67164179 62.32835821],0
b3,1,0.787354,0.072764,[14 33] ; [24 63],[13.32835821 33.67164179] ; [24.67164179 62.32835821],0
s4,1,0.797751,0.065668,[14 68] ; [ 30 133],[14.72653061 67.27346939] ; [ 29.27346939 133.72653061],0
n2,1,0.830008,0.046092,[20  9] ; [25 10],[20.390625  8.609375] ; [24.609375 10.390625],0
p1,1,0.876933,0.023981,[ 8 74] ; [ 15 149],[ 7.66666667 74.33333333] ; [ 15.33333333 148.66666667],0
s3,1,0.878696,0.023294,[45 35] ; [90 73],[44.44444444 35.55555556] ; [90.55555556 72.44444444],0
s8,1,0.893324,0.017983,[25 57] ; [ 52 114],[25.45967742 56.54032258] ; [ 51.54032258 114.45967742],0
p4,1,0.910906,0.012521,[36 44] ; [73 92],[35.59183673 44.40816327] ; [73.40816327 91.59183673],0
s1,1,0.975179,0.000968,[ 4 76] ; [  8 155],[ 3.95061728 76.04938272] ; [  8.04938272 154.95061728],0
