Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.545351,[57 11] ; [ 7 18],[46.79569892 21.20430108] ; [17.20430108  7.79569892],1
s4,1,0.236685,1.400233,[19 49] ; [ 4 21],[16.8172043 51.1827957] ; [ 6.1827957 18.8172043],0
v3,1,0.236839,1.399311,[25 40] ; [ 6 18],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
s1,1,0.239317,1.384615,[ 8 57] ; [ 1 24],[ 6.5 58.5] ; [ 2.5 22.5],0
a8,1,0.256197,1.289193,[11 47] ; [ 2 21],[ 9.30864198 48.69135802] ; [ 3.69135802 19.30864198],0
a3,1,0.2728,1.202614,[53 15] ; [16  8],[51. 17.] ; [18.  6.],0
p1,1,0.302472,1.063263,[11 56] ; [ 2 23],[ 9.4673913 57.5326087] ; [ 3.5326087 21.4673913],0
d3,1,0.313914,1.014135,[50 17] ; [16  9],[48.06521739 18.93478261] ; [17.93478261  7.06521739],0
p7,1,0.326495,0.962751,[34 32] ; [10 15],[31.91208791 34.08791209] ; [12.08791209 12.91208791],0
u1,1,0.36407,0.823806,[20 48] ; [ 5 20],[18.27956989 49.72043011] ; [ 6.72043011 18.27956989],0
b5,1,0.366294,0.816198,[45 23] ; [14 11],[43.13978495 24.86021505] ; [15.86021505  9.13978495],0
p4,1,0.407664,0.685604,[37 31] ; [16  9],[38.75268817 29.24731183] ; [14.24731183 10.75268817],0
n6,1,0.461206,0.542966,[50 15] ; [21  4],[51.27777778 13.72222222] ; [19.72222222  5.27777778],0
a6,1,0.472236,0.516739,[43 24] ; [14 11],[41.51086957 25.48913043] ; [15.48913043  9.51086957],0
d1,1,0.472367,0.516433,[41 27] ; [13 12],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
d5,1,0.512474,0.429012,[55 12] ; [19  6],[53.89130435 13.10869565] ; [20.10869565  4.89130435],0
a2,1,0.516817,0.420241,[21 47] ; [ 6 19],[19.74193548 48.25806452] ; [ 7.25806452 17.74193548],0
n1,1,0.542227,0.371429,[12 12] ; [9 6],[12.92307692 11.07692308] ; [8.07692308 6.92307692],0
p10,1,0.552161,0.35346,[44 22] ; [15 10],[42.79120879 23.20879121] ; [16.20879121  8.79120879],0
r1,1,0.55777,0.343581,[57 10] ; [20  5],[56.07608696 10.92391304] ; [20.92391304  4.07608696],0
a1,1,0.559543,0.340497,[ 5 63] ; [ 1 24],[ 4.38709677 63.61290323] ; [ 1.61290323 23.38709677],0
d4,1,0.627995,0.234789,[54 13] ; [19  6],[53.16304348 13.83695652] ; [19.83695652  5.16304348],0
a5,1,0.702234,0.146159,[49 19] ; [17  8],[48.25806452 19.74193548] ; [17.74193548  7.25806452],0
n5,1,0.764619,0.089653,[47 19] ; [17  8],[46.41758242 19.58241758] ; [17.58241758  7.41758242],0
u2,1,0.794625,0.067761,[7 7] ; [5 4],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
p5,1,0.813869,0.055431,[ 7 61] ; [ 3 22],[ 7.31182796 60.68817204] ; [ 2.68817204 22.31182796],0
b1,1,0.818596,0.052602,[39 29] ; [15 10],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
b4,1,0.818596,0.052602,[39 29] ; [15 10],[39.48387097 28.51612903] ; [14.51612903 10.48387097],0
u3,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
a4,1,0.864201,0.029251,[34 34] ; [12 13],[33.6344086 34.3655914] ; [12.3655914 12.6344086],0
n2,1,0.865961,0.02849,[17  7] ; [11  4],[17.23076923  6.76923077] ; [10.76923077  4.23076923],0
p3,1,0.90699,0.013651,[29 39] ; [11 14],[29.24731183 38.75268817] ; [10.75268817 14.24731183],0
p12,1,0.930851,0.00753,[ 3 65] ; [ 1 24],[ 2.92473118 65.07526882] ; [ 1.07526882 23.92473118],0
