Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.00406,8.25679,[10 28] ; [89 82],[18. 20.] ; [81. 90.],0
d1,1,0.719458,0.129012,[19 19] ; [80 91],[18. 20.] ; [81. 90.],0
n1,1,0.767498,0.087408,[5 8] ; [16 31],[4.55 8.45] ; [16.45 30.55],0
d2,1,0.768955,0.086284,[19 19] ; [81 90],[18.18181818 19.81818182] ; [81.81818182 89.18181818],0
a5,1,0.807543,0.059339,[25 13] ; [116  55],[25.63636364 12.36363636] ; [115.36363636  55.63636364],0
n3,1,0.824637,0.0491,[9 4] ; [31 16],[8.66666667 4.33333333] ; [31.33333333 15.66666667],0
b1,1,0.844378,0.038532,[18 20] ; [78 93],[17.45454545 20.54545455] ; [78.54545455 92.45454545],0
a1,1,0.888529,0.019647,[ 2 36] ; [ 10 161],[ 2.18181818 35.81818182] ; [  9.81818182 161.18181818],0
a6,1,0.89457,0.017563,[16 22] ; [ 70 101],[15.63636364 22.36363636] ; [ 70.36363636 100.63636364],0
r4,1,0.901052,0.015459,[31  7] ; [138  33],[30.72727273  7.27272727] ; [138.27272727  32.72727273],0
s1,1,0.919248,0.010278,[ 1 37] ; [  4 166],[ 0.91346154 37.08653846] ; [  4.08653846 165.91346154],0
n5,1,0.949043,0.004084,[30  8] ; [135  35],[30.14423077  7.85576923] ; [134.85576923  35.14423077],0
r1,1,0.971252,0.001299,[27 11] ; [122  49],[27.09090909 10.90909091] ; [121.90909091  49.09090909],0
